,id,artist,title,label,year,month,week,totalweeksincharts,total2018weeksincharts,total2019weeksincharts,total2020weeksincharts
71,72,Sunrise Avenue,I Help You Hate Me,Universal Domestic Polydor,2018,1,1,2,2,0,0
72,73,Kollegah & Farid Bang,Ave Maria,Banger Musik,2018,1,1,3,3,0,0
73,74,Felix Jaehn x Mike Williams,Feel Good,Virgin Records,2018,1,1,5,5,0,0
74,75,Rin,Bros,Division,2018,1,1,7,7,0,0
75,76,Lost Frequencies & Zonderling,Crazy,Kontor Records,2018,1,1,21,21,0,0
76,77,Shawn Mendes,There's Nothing Holdin' Me Back,Island,2018,1,1,2,2,0,0
77,78,Jazn,Bombay,Optimaluxus,2018,1,1,9,9,0,0
78,79,Clean Bandit feat. Julia Michaels,I Miss You,Atlantic,2018,1,1,14,14,0,0
79,80,Ofenbach,Be Mine,Warner Music International,2018,1,1,1,1,0,0
80,81,SXTN,Von Party zu Party,Jinx Music,2018,1,1,1,1,0,0
81,82,P!nk,Beautiful Trauma,RCA International,2018,1,1,3,3,0,0
82,83,Azet,Gjynah,KMN Gang,2018,1,1,3,3,0,0
83,84,Tom Walker,Leave A Light On,RCA International,2018,1,1,28,28,0,0
84,85,Olexesh,MOB,385ideal,2018,1,1,5,5,0,0
85,86,G-Eazy feat. A$AP Rocky & Cardi B,No Limit,RCA International,2018,1,1,5,5,0,0
86,87,Imagine Dragons,Believer,Interscope,2018,1,1,9,9,0,0
87,88,Trettmann feat. Gzuz,Knöcheltief,SoulForce Records,2018,1,1,11,11,0,0
88,89,Capital Bra feat. RAF Camora & Joshi Mizu,Olé olé,Auf!Keinen!Fall!,2018,1,1,4,4,0,0
89,90,Khalid,Young Dumb & Broke,RCA International,2018,1,1,2,2,0,0
90,91,Capo & Nimo,Mon chéri,Warner Music Germany,2018,1,1,3,3,0,0
91,92,Mark Forster,Sowieso,Four Music,2018,1,1,1,1,0,0
92,93,Kygo & Selena Gomez,It Ain't Me,B1 Recordings,2018,1,1,1,1,0,0
93,94,"Felix Jaehn, Hight & Alex Aiono",Hot2Touch,Virgin Records,2018,1,1,1,1,0,0
94,95,Katja Krasavice,Doggy,PMR Music,2018,1,1,1,1,0,0
95,96,Liam Payne feat. Quavo,Strip That Down,Capitol,2018,1,1,1,1,0,0
96,97,Jason Derulo,If I'm Lucky,Beluga Heights,2018,1,1,2,2,0,0
97,98,Maggie Lindemann,Pretty Girl,300 Entertainment,2018,1,1,1,1,0,0
98,99,Jax Jones feat. Raye,You Don't Know Me,Polydor,2018,1,1,1,1,0,0
99,100,Kollegah & Farid Bang,Zieh' den Rucksack aus,Banger Musik,2018,1,1,3,3,0,0
100,101,Liam Payne & Rita Ora,For You (Fifty Shades Freed),Republic Records,2018,1,2,20,20,0,0
101,102,Bruno Mars,Finesse,Atlantic,2018,1,2,12,12,0,0
102,103,Justin Timberlake,Filthy,RCA International,2018,1,2,3,3,0,0
103,104,Fard,Die Besten sterben jung,Ruhrpott Elite,2018,1,2,1,1,0,0
104,105,Kendrick Lamar & SZA,All The Stars,Universal,2018,1,2,14,14,0,0
105,106,Bebe Rexha feat. Florida Georgia Line,Meant To Be,Warner Music International,2018,1,2,16,16,0,0
106,107,Keala Settle & The Greatest Showman Ensemble,This Is Me,Atlantic,2018,1,2,7,7,0,0
107,108,Jax Jones feat. Ina Wroldsen,Breathe,Polydor,2018,1,2,24,24,0,0
108,109,Axwell Λ Ingrosso,Dreamer,Virgin Records,2018,1,2,18,18,0,0
109,110,Hailee Steinfeld & Alesso feat. Florida Georgia Line & Watt,Let Me Go,Universal,2018,1,2,5,5,0,0
110,111,Demi Lovato,Tell Me You Love Me,Island,2018,1,2,1,1,0,0
111,112,Bonez MC / RAF Camora / GZUZ / Maxwell,Kontrollieren,Indipendenza,2018,1,2,5,5,0,0
112,113,Azet,9 Milly,KMN Gang,2018,1,3,8,8,0,0
113,114,Fler feat. Farid Bang,AMG,Maskulin,2018,1,3,3,3,0,0
114,115,RIN,Data Love,Division,2018,1,3,3,3,0,0
115,116,Camila Cabello,Never Be The Same,Syco Music,2018,1,3,13,13,0,0
116,117,The Cranberries,Zombie,Island,2018,1,3,1,1,0,0
117,118,Troye Sivan,My My My!,EMI,2018,1,3,1,1,0,0
118,119,CamelPhat & Elderbrook,Cola,Defected Records,2018,1,3,9,9,0,0
119,120,Drake,God's Plan,Motown,2018,1,4,30,30,0,0
120,121,The Chainsmokers,Sick Boy,Disruptor Records,2018,1,4,20,20,0,0
121,122,Niska,Réseaux,Capitol,2018,1,4,10,10,0,0
122,123,Eno,Wäwä,Warner Music Germany,2018,1,4,3,3,0,0
123,124,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days,Atlantic,2018,1,4,33,32,1,0
124,125,Veysel & Mozzik,Ti amo,Bela Boyz,2018,1,4,14,14,0,0
125,126,Dua Lipa,IDGAF,Universal Domestic Vertigo,2018,1,4,21,21,0,0
126,127,Justin Timberlake,Supplies,RCA International,2018,1,4,1,1,0,0
127,128,MC Fioti / Future / J Balvin / Stefflon Don / Juan Magan,Bum bum tam tam,Kontor Records,2018,1,4,19,19,0,0
128,129,Zac Efron & Zendaya,Rewrite The Stars,Atlantic,2018,1,4,3,3,0,0
129,130,Mike Singer,Deja Vu,Warner Music Germany,2018,1,4,2,2,0,0
130,131,Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya,So Far Away,B1 Recordings,2018,2,5,16,16,0,0
131,132,Justin Timberlake feat. Chris Stapleton,Say Something,RCA International,2018,2,5,20,20,0,0
132,133,Zedd / Maren Morris / Grey,The Middle,Interscope,2018,2,5,24,24,0,0
133,134,Olexesh,Gopnik,385ideal,2018,2,5,2,2,0,0
134,135,Rea Garvey feat. Kool Savas,Is It Love?,Universal Domestic Island,2018,2,5,24,24,0,0
135,136,Rico feat. Bausa,Junkie,Tag1er Records,2018,2,5,1,1,0,0
136,137,Thirty Seconds To Mars,Dangerous Night,Interscope,2018,2,5,1,1,0,0
137,138,18 Karat,Versace,Banger Musik,2018,2,5,1,1,0,0
138,139,Topic & Ally Brooke,Perfect,B1 Recordings,2018,2,5,1,1,0,0
139,140,Eminem feat. Ed Sheeran,River,Interscope,2018,2,6,16,16,0,0
140,141,Ufo361,Beverly Hills,Stay High,2018,2,6,12,12,0,0
141,142,The Chainsmokers,Sick Boy,Columbia,2018,2,6,18,18,0,0
142,143,The Weeknd & Kendrick Lamar,Pray For Me,Universal,2018,2,6,10,10,0,0
143,144,Dardan x Luciano,Airmax gegen Kopf,Universal Domestic Urban,2018,2,6,7,7,0,0
144,145,Camila Cabello,Never Be The Same,Epic,2018,2,6,10,10,0,0
145,146,Eule,Stehaufmädchen,El Cartel Media,2018,2,6,1,1,0,0
146,147,Fler feat. Rick Ross,Big Dreams,Maskulin,2018,2,6,1,1,0,0
147,148,Bausa feat. Capital Bra,Unterwegs,Warner Music Germany,2018,2,6,2,2,0,0
148,149,Justin Timberlake,Man Of The Woods,RCA International,2018,2,6,1,1,0,0
149,150,Ali As & Juju,Heroin,Jinx Music,2018,2,6,1,1,0,0
150,151,Moe Phoenix feat. PA Sports,Habibi,Life Is Pain,2018,2,6,1,1,0,0
151,152,Gzuz,¿Was hast du gedacht?,187 Strassenbande,2018,2,7,7,7,0,0
152,153,Azet,Ketten Cartier,KMN Gang,2018,2,7,3,3,0,0
153,154,Ingo ohne Flamingo,"Saufen, morgens, mittags, abends",Hitmix Party Music,2018,2,7,3,3,0,0
154,155,Dua Lipa,IDGAF,Universal Domestic Urban,2018,2,7,18,18,0,0
155,156,Marshmello & Anne-Marie,Friends,Atlantic,2018,2,7,34,32,2,0
156,157,18 Karat feat. Farid Bang,Komm ins Café 2,Banger Musik,2018,2,7,1,1,0,0
157,158,Fard,Peter Pan 2,Ruhrpott Elite,2018,2,7,2,2,0,0
158,159,Hailee Steinfeld x BloodPop®,Capital Letters,Republic Records,2018,2,7,9,9,0,0
159,160,Bazzi,Mine,ZZZ Entertainment,2018,2,7,15,15,0,0
160,161,Bausa feat. Reezy,Belle etage 2.0,Warner Music Germany,2018,2,7,1,1,0,0
161,162,Lorenz Büffel,Johnny Däpp,Xtreme Sound Recordings,2018,2,7,1,1,0,0
162,163,Felix Jaehn feat. Marc E. Bassy & Gucci Mane,Cool,Virgin Records,2018,2,7,18,18,0,0
163,164,Brings,Kölsche Jung,Rhingtön,2018,2,7,2,1,1,0
164,165,Brings,"Polka, Polka, Polka",Rhingtön,2018,2,7,1,1,0,0
165,166,BlocBoy JB feat. Drake,Look Alive,OVO Sound,2018,2,7,10,10,0,0
166,167,Querbeat,Guten Morgen Barbarossaplatz,Rhingtön,2018,2,7,1,1,0,0
167,168,Querbeat,Nie mehr Fastelovend,Rhingtön,2018,2,7,1,1,0,0
168,169,Olexesh feat. Edin,Magisch,385ideal,2018,2,8,33,30,3,0
169,170,Sean Paul + David Guetta feat. Becky G,Mad Love,Island,2018,2,8,22,22,0,0
170,171,Dua Lipa,New Rules,Universal Domestic Urban,2018,2,8,9,9,0,0
171,172,Khalid x Normani,Love Lies,RCA International,2018,2,8,15,15,0,0
172,173,Måns Zelmerlöw,Happyland,Warner Music International,2018,2,8,2,2,0,0
173,174,Daddy Yankee,Dura,EMI,2018,2,8,16,16,0,0
174,175,Robin Schulz & Marc Scibilia,Unforgettable,Warner Music Germany,2018,2,8,23,23,0,0
