,id,artist,title,year,month,week,totalweeksincharts,total2018weeksincharts,total2019weeksincharts,total2020weeksincharts,lang,genres,genre,release
98,99,Fler,Pfirsich,2018,3,11,1,1,0,0,de,['german hip hop'],german hip hop,2018-03-23
99,100,Azet feat. Zuna & Noizy,Kriminell,2018,3,12,8,8,0,0,en,"['albanian hip hop', 'german hip hop']",albanian hip hop,2018-03-16
100,101,Ufo361 feat. Capital Bra,Power,2018,3,12,6,6,0,0,de,"['german cloud rap', 'german hip hop']",german cloud rap,2018-04-13
101,102,Kygo feat. Miguel,Remind Me To Forget,2018,3,12,22,22,0,0,en,"['edm', 'pop', 'pop dance', 'tropical house']",edm,2018-03-16
102,103,The Chainsmokers,Everybody Hates Me,2018,3,12,2,2,0,0,en,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",dance pop,2018-12-14
103,104,Lil Dicky feat. Chris Brown,Freaky Friday,2018,3,12,14,14,0,0,en,"['comedy rap', 'pop rap', 'rap']",comedy rap,2018-03-15
104,105,Cro,Noch da,2018,3,12,1,1,0,0,de,"['german hip hop', 'german pop', 'pop rap']",german hip hop,2017-09-08
105,106,XXXTentacion,Moonlight,2018,3,12,12,12,0,0,en,"['emo rap', 'miami hip hop']",emo rap,2018-03-16
106,107,XXXTentacion,Changes,2018,3,12,9,9,0,0,en,"['emo rap', 'miami hip hop']",emo rap,2018-03-16
107,108,Charlie Puth feat. Kehlani,Done For Me,2018,3,12,1,1,0,0,en,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",dance pop,2018-05-11
108,109,Shawn Mendes,In My Blood,2018,3,13,19,19,0,0,en,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",canadian pop,2018-05-25
109,110,Kontra K,Hunger,2018,3,13,1,1,0,0,de,"['christlicher rap', 'german hip hop']",christlicher rap,2018-05-11
110,111,David Guetta & Sia,Flames,2018,3,13,31,30,1,0,en,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house']",dance pop,2018-03-22
111,112,Die Fantastischen Vier feat. Clueso,Zusammen,2018,3,13,27,27,0,0,de,"['german hip hop', 'german pop', 'german rock']",german hip hop,2018-09-28
112,113,Dennis Lloyd,Nevermind,2018,3,13,45,39,6,0,en,['israeli pop'],israeli pop,2017-06-30
113,114,Fler,Flizzy,2018,3,13,1,1,0,0,de,['german hip hop'],german hip hop,2018-03-23
114,115,Shawn Mendes,Lost In Japan,2018,3,13,1,1,0,0,en,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",canadian pop,2018-05-25
115,116,Yonii,Direction,2018,3,13,3,3,0,0,de,"['german hip hop', 'german underground rap', 'turkish trap pop']",german hip hop,2018-03-23
116,117,The Weeknd,Call Out My Name,2018,4,14,7,7,0,0,en,"['canadian contemporary r&b', 'canadian pop', 'pop']",canadian contemporary r&b,2018-03-30
117,118,Gzuz feat. LX,Drück drück,2018,4,14,11,11,0,0,de,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",deep german hip hop,2018-05-25
118,119,Azet,Überlebt,2018,4,14,10,10,0,0,de,"['albanian hip hop', 'german hip hop']",albanian hip hop,2018-03-30
119,120,Alvaro Soler,La cintura,2018,4,14,27,27,0,0,es,['latin pop'],latin pop,2019-05-10
120,121,Azet,Villa in weiss,2018,4,14,2,2,0,0,de,"['albanian hip hop', 'german hip hop']",albanian hip hop,2018-03-30
121,122,The Weeknd,Try Me,2018,4,14,1,1,0,0,en,"['canadian contemporary r&b', 'canadian pop', 'pop']",canadian contemporary r&b,2018-03-30
122,123,Azet,Mama,2018,4,14,1,1,0,0,de,"['albanian hip hop', 'german hip hop']",albanian hip hop,2018-03-30
123,124,The Weeknd,Wasted Times,2018,4,14,1,1,0,0,en,"['canadian contemporary r&b', 'canadian pop', 'pop']",canadian contemporary r&b,2018-03-30
124,125,The Weeknd feat. Gesaffelstein,Hurt You,2018,4,14,1,1,0,0,en,"['canadian contemporary r&b', 'canadian pop', 'pop']",canadian contemporary r&b,2018-03-30
125,126,Azet feat. Miami Yacine,Rein raus,2018,4,14,1,1,0,0,de,"['albanian hip hop', 'german hip hop']",albanian hip hop,2018-03-30
126,127,Azet,Fast Life,2018,4,14,1,1,0,0,de,"['albanian hip hop', 'german hip hop']",albanian hip hop,2018-03-30
127,128,The Weeknd feat. Gesaffelstein,I Was Never There,2018,4,14,1,1,0,0,en,"['canadian contemporary r&b', 'canadian pop', 'pop']",canadian contemporary r&b,2018-03-30
128,129,Rich The Kid,Plug Walk,2018,4,14,5,5,0,0,en,"['atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']",atl hip hop,2018-03-30
129,130,Summer Cem,200 Düsen,2018,4,14,2,2,0,0,de,['german hip hop'],german hip hop,2018-07-27
130,131,Azet feat. Zuna,Wer will mitfahren,2018,4,14,1,1,0,0,de,"['albanian hip hop', 'german hip hop']",albanian hip hop,2018-03-30
131,132,Capital Bra,5 Songs in einer Nacht,2018,4,15,21,21,0,0,de,['german hip hop'],german hip hop,2018-07-06
132,133,Katja Krasavice,Dicke Lippen,2018,4,15,2,2,0,0,de,['frauenrap'],frauenrap,2018-04-06
133,134,Sun Diego,Eloah,2018,4,15,11,11,0,0,de,"['deep german hip hop', 'german hip hop']",deep german hip hop,2018-04-06
134,135,Calvin Harris & Dua Lipa,One Kiss,2018,4,15,42,37,5,0,,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",dance pop,2018-04-06
135,136,Drake,Nice For What,2018,4,15,18,18,0,0,en,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",canadian hip hop,2018-06-29
136,137,Nura feat. Sam,Babebabe,2018,4,15,1,1,0,0,de,"['frauenrap', 'german hip hop', 'german pop']",frauenrap,2018-04-06
137,138,A$AP Rocky feat. Moby,A$AP Forever,2018,4,15,1,1,0,0,en,"['east coast hip hop', 'hip hop', 'rap', 'trap', 'underground hip hop']",east coast hip hop,2018-04-05
138,139,Migos feat. Drake,Walk It Talk It,2018,4,15,1,1,0,0,en,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",atl hip hop,2018-01-26
139,140,Kylie Minogue,Dancing,2018,4,15,2,2,0,0,,"['australian dance', 'australian pop', 'dance pop', 'electropop', 'eurodance', 'europop', 'new wave pop', 'pop', 'pop dance']",australian dance,2018-04-06
140,141,Wincent Weiss,An Wunder,2018,4,16,19,19,0,0,de,['german pop'],german pop,2019-03-29
141,142,Ufo361,Ohne mich,2018,4,16,2,2,0,0,de,"['german cloud rap', 'german hip hop']",german cloud rap,2018-04-13
142,143,Kontra K,Oder nicht,2018,4,16,11,11,0,0,de,"['christlicher rap', 'german hip hop']",christlicher rap,2018-05-11
143,144,Samra,Rohdiamant,2018,4,16,3,3,0,0,de,['german hip hop'],german hip hop,2018-04-13
144,145,Sarah,Genau hier,2018,4,16,2,2,0,0,de,['german pop'],german pop,2018-05-04
145,146,Luciano [DE],Roli,2018,4,16,6,6,0,0,de,"['german drill', 'german hip hop']",german drill,2018-04-13
146,147,Mark Forster feat. Gentleman,Like A Lion,2018,4,16,5,5,0,0,en,['german pop'],german pop,2018-04-12
147,148,Kollegah & Farid Bang,All Eyez On Us,2018,4,16,2,2,0,0,de,['german hip hop'],german hip hop,2018-08-10
148,149,Ufo361,Kontostand,2018,4,16,1,1,0,0,de,"['german cloud rap', 'german hip hop']",german cloud rap,2018-04-13
149,150,Ufo361 feat. Gzuz & RAF Camora,Erober die Welt,2018,4,16,1,1,0,0,de,"['german cloud rap', 'german hip hop']",german cloud rap,2018-04-13
150,151,Ufo361,Stay High 2.0,2018,4,16,1,1,0,0,de,"['german cloud rap', 'german hip hop']",german cloud rap,2018-04-13
151,152,Ufo361,Alpträume,2018,4,16,1,1,0,0,de,"['german cloud rap', 'german hip hop']",german cloud rap,2018-04-13
152,153,Namika feat. Black M,Je ne parle pas français (Beatgees Remix),2018,4,16,36,33,3,0,fr,['german pop'],german pop,2018-04-13
153,154,"Cardi B, Bad Bunny & J Balvin",I Like It,2018,4,16,34,31,3,0,en,"['dance pop', 'pop', 'pop rap', 'rap']",dance pop,2018-04-06
154,155,Eli,Change Your Mind,2018,4,16,24,24,0,0,en,['german pop'],german pop,2018-04-09
155,156,Ufo361 feat. Yung Hurn,Odio,2018,4,16,1,1,0,0,de,"['german cloud rap', 'german hip hop']",german cloud rap,2018-04-13
156,157,Ufo361 feat. Trettmann,Dream,2018,4,16,1,1,0,0,de,"['german cloud rap', 'german hip hop']",german cloud rap,2018-04-13
157,158,Ufo361,Gewinn,2018,4,16,1,1,0,0,de,"['german cloud rap', 'german hip hop']",german cloud rap,2018-04-13
158,159,Ufo361,Superstar,2018,4,16,1,1,0,0,de,"['german cloud rap', 'german hip hop']",german cloud rap,2018-04-13
159,160,Zayn,Let Me,2018,4,16,1,1,0,0,en,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop', 'uk pop']",dance pop,2018-12-14
160,161,Revolverheld,Immer noch fühlen,2018,4,16,1,1,0,0,de,"['german pop', 'german pop rock', 'german rock']",german pop,2018-04-13
161,162,Ariana Grande,No Tears Left To Cry,2018,4,17,23,23,0,0,en,"['pop', 'post-teen pop']",pop,2018-08-17
162,163,Summer Cem,Tamam Tamam,2018,4,17,26,26,0,0,de,['german hip hop'],german hip hop,2018-07-27
163,164,RAF Camora,Maserati,2018,4,17,6,6,0,0,de,['german hip hop'],german hip hop,2018-04-20
164,165,Avicii feat. Sandro Cavazza,Without You,2018,4,17,3,3,0,0,en,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",big room,2017-08-10
165,166,Moe Phoenix,Mama / Baba,2018,4,17,6,6,0,0,de,['german hip hop'],german hip hop,2018-04-20
166,167,Glasperlenspiel feat. Summer Cem,Royals & Kings,2018,4,17,5,5,0,0,,"['german pop', 'metropopolis']",german pop,2018-04-20
167,168,The Chainsmokers feat. Drew Love,Somebody,2018,4,17,1,1,0,0,en,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",dance pop,2018-12-14
168,169,Anne-Marie,2002,2018,4,17,22,22,0,0,en,"['dance pop', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk pop']",dance pop,2018-04-27
169,170,Liam Payne & J Balvin,Familiar,2018,4,17,17,17,0,0,en,"['dance pop', 'pop', 'post-teen pop']",dance pop,2018-04-20
170,171,Capital Bra feat. Ufo361,Neymar,2018,5,18,42,33,9,0,de,['german hip hop'],german hip hop,2018-07-06
171,172,Gzuz feat. Bonez MC,Was erlebt,2018,5,18,8,8,0,0,de,"['deep german hip hop', 'german hip hop', 'hamburg hip hop']",deep german hip hop,2018-05-25
172,173,Post Malone,Better Now,2018,5,18,35,30,5,0,en,"['dfw rap', 'melodic rap', 'rap']",dfw rap,2018-04-27
173,174,Kontra K feat. AK Ausser Kontrolle & Gzuz,Setz dich,2018,5,18,4,4,0,0,de,"['christlicher rap', 'german hip hop']",christlicher rap,2018-05-11
174,175,RIN,Nike,2018,5,18,4,4,0,0,en,"['german cloud rap', 'german hip hop']",german cloud rap,2018-08-17
175,176,Post Malone,Paranoid,2018,5,18,3,3,0,0,en,"['dfw rap', 'melodic rap', 'rap']",dfw rap,2018-04-27
176,177,Lost Frequencies feat. James Blunt,Melody,2018,5,18,19,19,0,0,en,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",belgian edm,2018-04-27
177,178,Post Malone feat. Swae Lee,Spoil My Night,2018,5,18,1,1,0,0,en,"['dfw rap', 'melodic rap', 'rap']",dfw rap,2018-04-27
178,179,Sun Diego x Falco,Rock Me Amadeus,2018,5,18,2,2,0,0,de,"['deep german hip hop', 'german hip hop']",deep german hip hop,2018-04-27
179,180,Post Malone feat. Nicki Minaj,Ball For Me,2018,5,18,1,1,0,0,en,"['dfw rap', 'melodic rap', 'rap']",dfw rap,2018-04-27
180,181,Post Malone feat. G-Eazy & YG,Same Bitches,2018,5,18,1,1,0,0,en,"['dfw rap', 'melodic rap', 'rap']",dfw rap,2018-04-27
181,182,Andreas Gabalier,Verdammt lang her,2018,5,18,2,2,0,0,de,"['partyschlager', 'schlager']",partyschlager,2018-04-27
182,183,Post Malone,Rich & Sad,2018,5,18,1,1,0,0,en,"['dfw rap', 'melodic rap', 'rap']",dfw rap,2018-04-27
183,184,Kollegah feat. DJ Arow,Gigolo (Sommerhit),2018,5,18,1,1,0,0,it,['german hip hop'],german hip hop,2018-04-27
184,185,Post Malone,Over Now,2018,5,18,1,1,0,0,en,"['dfw rap', 'melodic rap', 'rap']",dfw rap,2018-04-27
185,186,Marie Wegener,Königlich,2018,5,19,3,3,0,0,de,['schlager'],schlager,2018-06-01
