,id,artist,title,year,month,week,totalweeksincharts,total2018weeksincharts,total2019weeksincharts,total2020weeksincharts,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,spotify-id,track_href,analysis_url,uri
381,382,Eminem,Greatest,2018,9,36,2,2,0,0,0.809,0.737,1,-5.186,1,0.108,0.0441,0.0,0.341,0.367,80.025,226938,4,2XTquzYQAdT1Hk78bOUwsv,https://api.spotify.com/v1/tracks/2XTquzYQAdT1Hk78bOUwsv,https://api.spotify.com/v1/audio-analysis/2XTquzYQAdT1Hk78bOUwsv,spotify:track:2XTquzYQAdT1Hk78bOUwsv
382,383,Massiv feat. Capital Bra,Hubba Bubba,2018,9,36,2,2,0,0,0.712,0.888,5,-7.314,0,0.519,0.22,0.0,0.121,0.495,139.933,179989,4,5JmBRZy6cXuqJntsAjcGhC,https://api.spotify.com/v1/tracks/5JmBRZy6cXuqJntsAjcGhC,https://api.spotify.com/v1/audio-analysis/5JmBRZy6cXuqJntsAjcGhC,spotify:track:5JmBRZy6cXuqJntsAjcGhC
383,384,Kay One,Es tut mir leid,2018,9,36,1,1,0,0,0.368,0.691,2,-6.837,1,0.382,0.142,0.0,0.128,0.675,74.456,285720,4,0gWs1HxcHWmFsnXP5RoFlf,https://api.spotify.com/v1/tracks/0gWs1HxcHWmFsnXP5RoFlf,https://api.spotify.com/v1/audio-analysis/0gWs1HxcHWmFsnXP5RoFlf,spotify:track:0gWs1HxcHWmFsnXP5RoFlf
384,385,Eminem,Kamikaze,2018,9,36,2,2,0,0,0.78,0.808,2,-5.175,1,0.484,0.112,0.0,0.329,0.642,79.982,216029,4,2gsNpSn7VvvJuSrIDfRoYy,https://api.spotify.com/v1/tracks/2gsNpSn7VvvJuSrIDfRoYy,https://api.spotify.com/v1/audio-analysis/2gsNpSn7VvvJuSrIDfRoYy,spotify:track:2gsNpSn7VvvJuSrIDfRoYy
385,386,Eminem feat. Royce Da 5'9'',Not Alike,2018,9,36,2,2,0,0,0.904,0.756,10,-3.746,1,0.32,0.0692,0.0,0.339,0.342,140.005,288087,4,28FGV3ORH14MYORd7s5dlU,https://api.spotify.com/v1/tracks/28FGV3ORH14MYORd7s5dlU,https://api.spotify.com/v1/audio-analysis/28FGV3ORH14MYORd7s5dlU,spotify:track:28FGV3ORH14MYORd7s5dlU
386,387,Marteria & Casper,Adrenalin,2018,9,36,1,1,0,0,0.72,0.96,7,-6.464,1,0.11,0.114,0.0,0.294,0.484,136.008,173372,4,4jT1jt9doFkHioj1Gr9qZ7,https://api.spotify.com/v1/tracks/4jT1jt9doFkHioj1Gr9qZ7,https://api.spotify.com/v1/audio-analysis/4jT1jt9doFkHioj1Gr9qZ7,spotify:track:4jT1jt9doFkHioj1Gr9qZ7
387,388,Marteria & Casper,1982 (Als ob's gestern war),2018,9,36,1,1,0,0,0.545,0.827,6,-4.742,0,0.343,0.0744,0.0,0.24,0.588,79.47,227919,4,1hhhJKOi5amv2eKGNbSgrn,https://api.spotify.com/v1/tracks/1hhhJKOi5amv2eKGNbSgrn,https://api.spotify.com/v1/audio-analysis/1hhhJKOi5amv2eKGNbSgrn,spotify:track:1hhhJKOi5amv2eKGNbSgrn
388,389,Eminem,Stepping Stone,2018,9,36,1,1,0,0,0.616,0.684,7,-6.032,1,0.311,0.0305,0.0,0.376,0.312,179.503,309638,4,60Z57Wdrn0pEVpHI7d7GAX,https://api.spotify.com/v1/tracks/60Z57Wdrn0pEVpHI7d7GAX,https://api.spotify.com/v1/audio-analysis/60Z57Wdrn0pEVpHI7d7GAX,spotify:track:60Z57Wdrn0pEVpHI7d7GAX
389,390,Eminem,Normal,2018,9,36,1,1,0,0,0.907,0.64,6,-6.542,1,0.354,0.261,0.0,0.0785,0.803,120.995,222477,4,0evt4UZbdhnHtcAnxkm6A1,https://api.spotify.com/v1/tracks/0evt4UZbdhnHtcAnxkm6A1,https://api.spotify.com/v1/audio-analysis/0evt4UZbdhnHtcAnxkm6A1,spotify:track:0evt4UZbdhnHtcAnxkm6A1
390,391,Marteria & Casper,Willkommen in der Vorstadt,2018,9,36,1,1,0,0,0.627,0.725,4,-9.0,1,0.0589,0.00801,0.00143,0.119,0.409,161.015,207373,4,74b2K7bBkccYxuYyQnKRS6,https://api.spotify.com/v1/tracks/74b2K7bBkccYxuYyQnKRS6,https://api.spotify.com/v1/audio-analysis/74b2K7bBkccYxuYyQnKRS6,spotify:track:74b2K7bBkccYxuYyQnKRS6
391,392,6ix9ine feat. Anuel AA,Bebe,2018,9,36,2,2,0,0,0.635,0.902,0,-3.559,1,0.109,0.172,0.0,0.125,0.286,102.063,217822,4,6mKs2kkBgvf090H566n1pd,https://api.spotify.com/v1/tracks/6mKs2kkBgvf090H566n1pd,https://api.spotify.com/v1/audio-analysis/6mKs2kkBgvf090H566n1pd,spotify:track:6mKs2kkBgvf090H566n1pd
392,393,LSD (Labrinth / Sia / Diplo),Thunderclouds,2018,9,36,13,13,0,0,0.69,0.714,7,-5.948,1,0.0338,0.0077,7.23e-05,0.191,0.489,112.009,187027,4,4lJNen4SMTIJMahALc3DcB,https://api.spotify.com/v1/tracks/4lJNen4SMTIJMahALc3DcB,https://api.spotify.com/v1/audio-analysis/4lJNen4SMTIJMahALc3DcB,spotify:track:4lJNen4SMTIJMahALc3DcB
393,394,Eminem,Venom,2018,9,36,4,4,0,0,0.749,0.794,0,-5.063,1,0.064,0.0193,0.0,0.543,0.46,135.959,269554,4,2SL6oP2YAEQbqsrkOzRGO4,https://api.spotify.com/v1/tracks/2SL6oP2YAEQbqsrkOzRGO4,https://api.spotify.com/v1/audio-analysis/2SL6oP2YAEQbqsrkOzRGO4,spotify:track:2SL6oP2YAEQbqsrkOzRGO4
394,395,Kris Kross Amsterdam x The Boy Next Door feat. Conor Maynard,Whenever,2018,9,36,14,13,1,0,0.733,0.765,7,-5.562,1,0.0622,0.151,0.0,0.231,0.518,109.984,163636,4,5w0IaaNTTnrXvuwJR8L87d,https://api.spotify.com/v1/tracks/5w0IaaNTTnrXvuwJR8L87d,https://api.spotify.com/v1/audio-analysis/5w0IaaNTTnrXvuwJR8L87d,spotify:track:5w0IaaNTTnrXvuwJR8L87d
395,396,Jigzaw & Kollegah,Medusablick,2018,9,36,1,1,0,0,0.749,0.828,11,-7.305,1,0.332,0.105,0.0,0.0899,0.489,149.735,192312,4,1htDr3ACVmEcCCpiCDs1hh,https://api.spotify.com/v1/tracks/1htDr3ACVmEcCCpiCDs1hh,https://api.spotify.com/v1/audio-analysis/1htDr3ACVmEcCCpiCDs1hh,spotify:track:1htDr3ACVmEcCCpiCDs1hh
396,397,Eminem feat. Jessie Reyez,Good Guy,2018,9,36,1,1,0,0,0.696,0.634,9,-6.918,0,0.281,0.244,0.0,0.437,0.728,89.973,142192,4,4g32MdRoqwGKQd3NXIRhpU,https://api.spotify.com/v1/tracks/4g32MdRoqwGKQd3NXIRhpU,https://api.spotify.com/v1/audio-analysis/4g32MdRoqwGKQd3NXIRhpU,spotify:track:4g32MdRoqwGKQd3NXIRhpU
397,398,Azzi Memo feat. Nimo,BlaBla,2018,9,37,6,6,0,0,0.852,0.788,6,-6.369,1,0.248,0.0366,3.41e-06,0.0938,0.524,111.975,216717,4,4ZkM6R7P3vGJ3O4ezCGnpy,https://api.spotify.com/v1/tracks/4ZkM6R7P3vGJ3O4ezCGnpy,https://api.spotify.com/v1/audio-analysis/4ZkM6R7P3vGJ3O4ezCGnpy,spotify:track:4ZkM6R7P3vGJ3O4ezCGnpy
398,399,Kanye West & Lil Pump,I Love It,2018,9,37,12,12,0,0,0.901,0.522,2,-8.304,1,0.33,0.0114,0.0,0.259,0.329,104.053,127947,4,4S8d14HvHb70ImctNgVzQQ,https://api.spotify.com/v1/tracks/4S8d14HvHb70ImctNgVzQQ,https://api.spotify.com/v1/audio-analysis/4S8d14HvHb70ImctNgVzQQ,spotify:track:4S8d14HvHb70ImctNgVzQQ
399,400,"Cro, Trettmann & KitschKrieg",10419,2018,9,37,3,3,0,0,0.712,0.725,3,-6.995,0,0.301,0.501,0.0,0.116,0.775,169.939,200570,4,3irKuchN2iCEcFQKPGOBNx,https://api.spotify.com/v1/tracks/3irKuchN2iCEcFQKPGOBNx,https://api.spotify.com/v1/audio-analysis/3irKuchN2iCEcFQKPGOBNx,spotify:track:3irKuchN2iCEcFQKPGOBNx
400,401,Mert,Ekşi,2018,9,37,2,2,0,0,0.593,0.696,2,-5.278,1,0.392,0.285,2.39e-06,0.0993,0.293,91.741,151092,4,3MhCFPbAnGEboerYtltiPk,https://api.spotify.com/v1/tracks/3MhCFPbAnGEboerYtltiPk,https://api.spotify.com/v1/audio-analysis/3MhCFPbAnGEboerYtltiPk,spotify:track:3MhCFPbAnGEboerYtltiPk
401,402,Lenny Kravitz,Low,2018,9,37,1,1,0,0,0.803,0.682,8,-3.459,0,0.037,0.0516,0.000223,0.0456,0.926,106.431,318987,4,2E5ufno5JwzZiA96JiHUGN,https://api.spotify.com/v1/tracks/2E5ufno5JwzZiA96JiHUGN,https://api.spotify.com/v1/audio-analysis/2E5ufno5JwzZiA96JiHUGN,spotify:track:2E5ufno5JwzZiA96JiHUGN
402,403,Silk City & Dua Lipa feat. Diplo & Mark Ronson,Electricity,2018,9,37,7,7,0,0,0.588,0.67,0,-6.439,1,0.0473,0.0104,3.33e-06,0.338,0.505,118.159,238173,4,5N4erncE7kuUccm7zEmwzk,https://api.spotify.com/v1/tracks/5N4erncE7kuUccm7zEmwzk,https://api.spotify.com/v1/audio-analysis/5N4erncE7kuUccm7zEmwzk,spotify:track:5N4erncE7kuUccm7zEmwzk
403,404,Bonez MC & RAF Camora feat. Gzuz,Kokain,2018,9,38,27,15,12,0,0.615,0.677,5,-7.906,0,0.363,0.231,0.0,0.543,0.608,170.117,209232,4,4Bj3usjRTckEJARO0dLbDf,https://api.spotify.com/v1/tracks/4Bj3usjRTckEJARO0dLbDf,https://api.spotify.com/v1/audio-analysis/4Bj3usjRTckEJARO0dLbDf,spotify:track:4Bj3usjRTckEJARO0dLbDf
404,405,Loredana x Mozzik,Bonnie & Clyde,2018,9,38,20,14,6,0,0.792,0.62,8,-4.832,0,0.266,0.11,1.61e-05,0.085,0.637,169.985,175907,4,5UtiebKGhsSce9gX1qCqic,https://api.spotify.com/v1/tracks/5UtiebKGhsSce9gX1qCqic,https://api.spotify.com/v1/audio-analysis/5UtiebKGhsSce9gX1qCqic,spotify:track:5UtiebKGhsSce9gX1qCqic
405,406,Bushido,Mephisto,2018,9,38,3,3,0,0,0.76,0.762,5,-6.076,0,0.319,0.161,0.0,0.137,0.796,85.678,599786,4,4hACX4iRkcXDnWNosvavcJ,https://api.spotify.com/v1/tracks/4hACX4iRkcXDnWNosvavcJ,https://api.spotify.com/v1/audio-analysis/4hACX4iRkcXDnWNosvavcJ,spotify:track:4hACX4iRkcXDnWNosvavcJ
406,407,Eno feat. Raschid Moussa,Cane cane,2018,9,38,2,2,0,0,0.768,0.921,0,-4.997,1,0.143,0.125,0.0,0.266,0.527,111.994,160714,4,4leY6qRRp1GGnv5gvMMYVr,https://api.spotify.com/v1/tracks/4leY6qRRp1GGnv5gvMMYVr,https://api.spotify.com/v1/audio-analysis/4leY6qRRp1GGnv5gvMMYVr,spotify:track:4leY6qRRp1GGnv5gvMMYVr
407,408,Khalid,Better,2018,9,38,13,12,1,0,0.442,0.585,0,-10.332,0,0.0964,0.0984,0.391,0.14,0.116,97.565,229413,4,4T3fNx3CgwDRRYgmFCbD4J,https://api.spotify.com/v1/tracks/4T3fNx3CgwDRRYgmFCbD4J,https://api.spotify.com/v1/audio-analysis/4T3fNx3CgwDRRYgmFCbD4J,spotify:track:4T3fNx3CgwDRRYgmFCbD4J
408,409,"David Guetta, Bebe Rexha & J Balvin",Say My Name,2018,9,38,22,4,18,0,0.703,0.66,10,-5.119,0,0.123,0.137,0.0,0.192,0.79,95.031,198947,4,0YammaEkYSeo9vQYZ1OwS6,https://api.spotify.com/v1/tracks/0YammaEkYSeo9vQYZ1OwS6,https://api.spotify.com/v1/audio-analysis/0YammaEkYSeo9vQYZ1OwS6,spotify:track:0YammaEkYSeo9vQYZ1OwS6
409,410,PA Sports,30 km/h,2018,9,38,1,1,0,0,0.6,0.503,8,-9.175,1,0.377,0.259,4.11e-05,0.0953,0.289,72.73,166894,4,0fRoN30HIQ9pju3O6HLsTz,https://api.spotify.com/v1/tracks/0fRoN30HIQ9pju3O6HLsTz,https://api.spotify.com/v1/audio-analysis/0fRoN30HIQ9pju3O6HLsTz,spotify:track:0fRoN30HIQ9pju3O6HLsTz
410,411,Martin Garrix & Justin Mylo feat. Dewain Whitmore,Burn Out,2018,9,38,1,1,0,0,0.594,0.722,4,-5.751,0,0.0398,0.0156,0.0,0.0667,0.407,127.877,200322,4,7IWTIkiWGWNQyYfOLdMrGD,https://api.spotify.com/v1/tracks/7IWTIkiWGWNQyYfOLdMrGD,https://api.spotify.com/v1/audio-analysis/7IWTIkiWGWNQyYfOLdMrGD,spotify:track:7IWTIkiWGWNQyYfOLdMrGD
411,412,Alligatoah,Ein Problem mit Alkohol,2018,9,38,1,1,0,0,0.81,0.718,6,-8.517,0,0.125,0.151,0.0106,0.557,0.563,107.998,239444,4,7rsE2eXXUbekAmpHkpiKxM,https://api.spotify.com/v1/tracks/7rsE2eXXUbekAmpHkpiKxM,https://api.spotify.com/v1/audio-analysis/7rsE2eXXUbekAmpHkpiKxM,spotify:track:7rsE2eXXUbekAmpHkpiKxM
412,413,Alligatoah feat. Felix Brummer,Beinebrechen,2018,9,38,1,1,0,0,0.711,0.735,6,-8.038,0,0.0943,0.484,0.0,0.34,0.668,128.064,244687,4,4FD1sv2CDjz9ktp0bxdZIS,https://api.spotify.com/v1/tracks/4FD1sv2CDjz9ktp0bxdZIS,https://api.spotify.com/v1/audio-analysis/4FD1sv2CDjz9ktp0bxdZIS,spotify:track:4FD1sv2CDjz9ktp0bxdZIS
413,414,Veysel feat. Gzuz,UFF,2018,9,39,20,14,6,0,0.815,0.828,4,-3.559,1,0.232,0.041,0.0,0.314,0.311,139.972,167627,4,6XjEOPgbgHKcaHcunEHSJJ,https://api.spotify.com/v1/tracks/6XjEOPgbgHKcaHcunEHSJJ,https://api.spotify.com/v1/audio-analysis/6XjEOPgbgHKcaHcunEHSJJ,spotify:track:6XjEOPgbgHKcaHcunEHSJJ
414,415,Farid Bang x Capo x 6ix9ine feat. Sch,International Gangstas,2018,9,39,5,5,0,0,0.74,0.622,1,-6.297,1,0.203,0.0965,0.0,0.099,0.393,148.04,286280,4,4IAVIBh9jbYN30DwpHFMD4,https://api.spotify.com/v1/tracks/4IAVIBh9jbYN30DwpHFMD4,https://api.spotify.com/v1/audio-analysis/4IAVIBh9jbYN30DwpHFMD4,spotify:track:4IAVIBh9jbYN30DwpHFMD4
415,416,Lil Peep & XXXTentacion,Falling Down,2018,9,39,14,12,2,0,0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,196400,4,4jvjzW7Hm0yK4LvvE0Paz9,https://api.spotify.com/v1/tracks/4jvjzW7Hm0yK4LvvE0Paz9,https://api.spotify.com/v1/audio-analysis/4jvjzW7Hm0yK4LvvE0Paz9,spotify:track:4jvjzW7Hm0yK4LvvE0Paz9
416,417,Kollegah,Wie ein Alpha,2018,9,39,2,2,0,0,0.412,0.689,8,-8.339,1,0.298,0.154,0.0,0.445,0.414,80.668,278478,4,6ctK397vh20Ok72DMhbRI6,https://api.spotify.com/v1/tracks/6ctK397vh20Ok72DMhbRI6,https://api.spotify.com/v1/audio-analysis/6ctK397vh20Ok72DMhbRI6,spotify:track:6ctK397vh20Ok72DMhbRI6
