current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Samra,Harami,Universal Domestic Urban,1,1,2019-04-12,2019-04-18,2019,4
2,Capital Bra,Cherry Lady,Universal Domestic Urban,3,1,2019-04-12,2019-04-18,2019,4
3,Shindy,Affalterbach,SME - Friends With Money,3,3,2019-04-12,2019-04-18,2019,4
4,Dardan,Coco Mama,Universal Domestic Urban,1,4,2019-04-12,2019-04-18,2019,4
5,Rammstein,Deutschland,Rammstein,2,1,2019-04-12,2019-04-18,2019,4
6,Eno,Blackberry Sky,Alles Oder Nix Records,3,2,2019-04-12,2019-04-18,2019,4
7,Mero,Wolke 10,Groove Attack,5,1,2019-04-12,2019-04-18,2019,4
8,Shirin David,ICE,Shirin David Music,1,8,2019-04-12,2019-04-18,2019,4
9,Billie Eilish,Bad Guy,Universal,2,9,2019-04-12,2019-04-18,2019,4
10,Capital Bra x Samra,Wir ticken,Universal Domestic Urban,4,1,2019-04-12,2019-04-18,2019,4
11,Bausa,Mary,Warner Music Germany,2,8,2019-04-12,2019-04-18,2019,4
12,Lil Nas X,Old Town Road,SME - Lil Nas X,2,12,2019-04-12,2019-04-18,2019,4
13,Fero47,Puerto Rico,SME - Epic,3,7,2019-04-12,2019-04-18,2019,4
14,Daddy Yankee feat. Snow,Con calma,Universal,8,11,2019-04-12,2019-04-18,2019,4
15,KC Rebell,Alleen,Rebell Army,4,4,2019-04-12,2019-04-18,2019,4
16,Mabel [UK],Don't Call Me Up,Polydor,8,16,2019-04-12,2019-04-18,2019,4
17,Luciano x Samra,Ya salame,Universal Domestic Urban,3,5,2019-04-12,2019-04-18,2019,4
18,Shirin David,Gib ihm,Shirin David Music,8,1,2019-04-12,2019-04-18,2019,4
19,Ufo361,Pass auf wen du liebst,Stay High,4,3,2019-04-12,2019-04-18,2019,4
20,Imagine Dragons,Bad Liar,Interscope,21,16,2019-04-12,2019-04-18,2019,4
21,Ava Max,Sweet But Psycho,Atlantic,25,1,2019-04-12,2019-04-18,2019,4
