current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Rammstein,Deutschland,Rammstein,3,1,2019-04-19,2019-04-25,2019,4
2,Capital Bra feat. Summer Cem & KC Rebell,Rolex,Universal Domestic Urban,1,2,2019-04-19,2019-04-25,2019,4
3,Capital Bra,Cherry Lady,Universal Domestic Urban,4,1,2019-04-19,2019-04-25,2019,4
4,Lil Nas X,Old Town Road,SME - Lil Nas X,3,4,2019-04-19,2019-04-25,2019,4
5,Samra,Harami,Universal Domestic Urban,2,1,2019-04-19,2019-04-25,2019,4
6,Kontra K feat. Veysel,Blei,BMG,1,6,2019-04-19,2019-04-25,2019,4
7,Capital Bra feat. Nimo,Bye Bye,Universal Domestic Urban,1,7,2019-04-19,2019-04-25,2019,4
8,Dardan,Coco Mama,Universal Domestic Urban,2,4,2019-04-19,2019-04-25,2019,4
9,Billie Eilish,Bad Guy,Universal,3,9,2019-04-19,2019-04-25,2019,4
10,Shindy,Affalterbach,SME - Friends With Money,4,3,2019-04-19,2019-04-25,2019,4
11,Avicii feat. Aloe Blacc,SOS,Universal,1,11,2019-04-19,2019-04-25,2019,4
12,Capital Bra x Samra,Wir ticken,Universal Domestic Urban,5,1,2019-04-19,2019-04-25,2019,4
13,Mero,Wolke 10,Groove Attack,6,1,2019-04-19,2019-04-25,2019,4
14,Samra,Shoote ma Shoote,Universal Domestic Urban,2,14,2019-04-19,2019-04-25,2019,4
15,Eno,Blackberry Sky,Alles Oder Nix Records,4,2,2019-04-19,2019-04-25,2019,4
16,Capital Bra,Prinzessa,Universal Domestic Urban,12,1,2019-04-19,2019-04-25,2019,4
17,Daddy Yankee feat. Snow,Con calma,Universal,9,11,2019-04-19,2019-04-25,2019,4
18,Bausa,Mary,Warner Music Germany,3,8,2019-04-19,2019-04-25,2019,4
19,Mabel [UK],Don't Call Me Up,Polydor,9,16,2019-04-19,2019-04-25,2019,4
20,Capital Bra,Cabriolet,Universal Domestic Urban,1,20,2019-04-19,2019-04-25,2019,4
21,Capital Bra,Steh auf,Universal Domestic Urban,1,21,2019-04-19,2019-04-25,2019,4
22,Capital Bra feat. Samra,Click Click,Universal Domestic Urban,1,22,2019-04-19,2019-04-25,2019,4
23,Imagine Dragons,Bad Liar,Interscope,22,16,2019-04-19,2019-04-25,2019,4
24,Shirin David,Gib ihm,Shirin David Music,9,1,2019-04-19,2019-04-25,2019,4
25,Capital Bra,Benzema,Universal Domestic Urban,17,1,2019-04-19,2019-04-25,2019,4
26,Capital Bra feat. Nash,Van der Vaart,Universal Domestic Urban,1,26,2019-04-19,2019-04-25,2019,4
27,Fero47,Puerto Rico,SME - Epic Domestic,4,7,2019-04-19,2019-04-25,2019,4
28,Capital Bra,Capital Bra je m'appelle,Universal Domestic Urban,8,3,2019-04-19,2019-04-25,2019,4
29,Ava Max,Sweet But Psycho,Atlantic,26,1,2019-04-19,2019-04-25,2019,4
30,Capital Bra,Schon ok,Universal Domestic Urban,1,30,2019-04-19,2019-04-25,2019,4
31,Shirin David,ICE,Shirin David Music,2,8,2019-04-19,2019-04-25,2019,4
32,Capital Bra,Sollte so sein,Universal Domestic Urban,1,32,2019-04-19,2019-04-25,2019,4
33,KC Rebell,Alleen,Rebell Army,5,4,2019-04-19,2019-04-25,2019,4
34,Capital Bra,Mexican Mafia,Universal Domestic Urban,1,34,2019-04-19,2019-04-25,2019,4
35,KC Rebell feat. Summer Cem & Capital Bra,DNA,Rebell Army,9,1,2019-04-19,2019-04-25,2019,4
36,Gaullin,Moonlight,B1 Recordings,9,24,2019-04-19,2019-04-25,2019,4
37,Capital Bra,Leg,Universal Domestic Urban,1,37,2019-04-19,2019-04-25,2019,4
38,Ufo361,Pass auf wen du liebst,Stay High,5,3,2019-04-19,2019-04-25,2019,4
39,Capital Bra,Kalt,Universal Domestic Urban,1,39,2019-04-19,2019-04-25,2019,4
40,Luciano x Samra,Ya salame,Universal Domestic Urban,4,5,2019-04-19,2019-04-25,2019,4
41,Post Malone,Wow.,Republic Records,16,16,2019-04-19,2019-04-25,2019,4
42,Calvin Harris & Rag'n'Bone Man,Giant,SME - Columbia,14,6,2019-04-19,2019-04-25,2019,4
43,Lady Gaga & Bradley Cooper,Shallow,Interscope,29,4,2019-04-19,2019-04-25,2019,4
44,Ava Max,So Am I,Atlantic,6,39,2019-04-19,2019-04-25,2019,4
45,Lewis Capaldi,Someone You Loved,Universal Domestic Vertigo,11,37,2019-04-19,2019-04-25,2019,4
46,C Arma,Yapma,C Arma,15,29,2019-04-19,2019-04-25,2019,4
47,BTS feat. Halsey,Boy With Luv,BigHit Entertainment,1,47,2019-04-19,2019-04-25,2019,4
48,Capital Bra,Schwarze Locken,Universal Domestic Urban,1,48,2019-04-19,2019-04-25,2019,4
49,Jonas Brothers,Sucker,Jonas Brothers Recording,7,20,2019-04-19,2019-04-25,2019,4
50,Capital Bra,Blech,Universal Domestic Urban,1,50,2019-04-19,2019-04-25,2019,4
51,Mero,Jay Jay,Groove Attack,5,5,2019-04-19,2019-04-25,2019,4
52,The Prince Karma,Later Bitches,Kontor Records,9,36,2019-04-19,2019-04-25,2019,4
53,Robin Schulz feat. Erika Sirola,Speechless,Warner Music Germany,22,7,2019-04-19,2019-04-25,2019,4
54,Kalim feat. Nimo,Bis um 3,Universal Domestic Urban,3,26,2019-04-19,2019-04-25,2019,4
55,Ariana Grande,7 Rings,Republic Records,13,4,2019-04-19,2019-04-25,2019,4
56,Panic! At The Disco,High Hopes,Atlantic,37,5,2019-04-19,2019-04-25,2019,4
57,Alec Benjamin,Let Me Down Slowly,Atlantic,11,49,2019-04-19,2019-04-25,2019,4
58,Lauv & Troye Sivan,I'm So Tired...,Lauv,12,42,2019-04-19,2019-04-25,2019,4
59,Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,37,1,2019-04-19,2019-04-25,2019,4
60,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,45,1,2019-04-19,2019-04-25,2019,4
61,Billie Eilish,Bury A Friend,Interscope,11,14,2019-04-19,2019-04-25,2019,4
62,Capital Bra,FÃ¼r uns,Universal Domestic Urban,1,62,2019-04-19,2019-04-25,2019,4
63,Juju [DE],Bling Bling,Jinx Music,1,63,2019-04-19,2019-04-25,2019,4
64,Kitschkrieg feat. Gringo,"Aua, Oh Oh, Gringo ist sauer",Soulforce/BMG,1,64,2019-04-19,2019-04-25,2019,4
65,Marshmello feat. Chvrches,Here With Me,MARSHMELLO,5,53,2019-04-19,2019-04-25,2019,4
66,Mathea,2x,Earcandy Recordings,6,49,2019-04-19,2019-04-25,2019,4
67,Sam Smith & Normani,Dancing With A Stranger,Capitol,14,37,2019-04-19,2019-04-25,2019,4
68,A Boogie Wit Da Hoodie,Look Back At It,Atlantic,13,26,2019-04-19,2019-04-25,2019,4
69,SDP feat. Capital Bra,Viva la Dealer,Berliner Plattenbau,7,38,2019-04-19,2019-04-25,2019,4
70,Mero,Baller los,Groove Attack,21,1,2019-04-19,2019-04-25,2019,4
71,Mero,Hobby Hobby,Groove Attack,13,1,2019-04-19,2019-04-25,2019,4
72,Sido,Tausend Tattoos,Universal Domestic Urban,25,2,2019-04-19,2019-04-25,2019,4
73,Sarah Connor,Vincent,Universal Domestic Polydor,2,29,2019-04-19,2019-04-25,2019,4
74,Eno feat. Mero,Ferrari,Alles Oder Nix Records,10,1,2019-04-19,2019-04-25,2019,4
75,Loud Luxury feat. Brando,Body,Kontor Records,47,7,2019-04-19,2019-04-25,2019,4
76,Fero47,Jaja,SME - Epic Domestic,14,8,2019-04-19,2019-04-25,2019,4
77,Azad,Dieser Weg,Bozz Music,1,77,2019-04-19,2019-04-25,2019,4
78,Kool Savas feat. Nessi,Deine Mutter,SME - Essah Entertainment,13,16,2019-04-19,2019-04-25,2019,4
79,Juju [DE],Hardcore High,Jinx Music,4,20,2019-04-19,2019-04-25,2019,4
80,P!nk,Walk Me Home,SME - RCA International,8,33,2019-04-19,2019-04-25,2019,4
81,Alle Farben & Ilira,Fading,B1 Recordings,24,16,2019-04-19,2019-04-25,2019,4
82,Hugel feat. Amber Van Day,WTF,Warner Music Germany,14,21,2019-04-19,2019-04-25,2019,4
83,Halsey,Without Me,Capitol,28,11,2019-04-19,2019-04-25,2019,4
84,Azet & Zuna,Fragen,KMN Gang,8,4,2019-04-19,2019-04-25,2019,4
85,Lena,Don't Lie To Me,Universal Domestic Polydor,4,63,2019-04-19,2019-04-25,2019,4
86,Seeed,Ticket,BMG,1,86,2019-04-19,2019-04-25,2019,4
87,Blackpink,Kill This Love,YG Entertainment,2,58,2019-04-19,2019-04-25,2019,4
88,Marshmello & Bastille,Happier,Universal,35,9,2019-04-19,2019-04-25,2019,4
89,Lena,Thank You,Universal Domestic Polydor,19,40,2019-04-19,2019-04-25,2019,4
90,"David Guetta, Bebe Rexha & J Balvin",Say My Name,Parlophone Label Group,20,30,2019-04-19,2019-04-25,2019,4
91,Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart,SME - Columbia,20,16,2019-04-19,2019-04-25,2019,4
92,"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",Standard,SoulForce Records,26,1,2019-04-19,2019-04-25,2019,4
93,Dean Lewis,Be Alright,Universal,35,8,2019-04-19,2019-04-25,2019,4
94,Kerstin Ott & Helene Fischer,Regenbogenfarben,Universal Domestic Polydor,16,20,2019-04-19,2019-04-25,2019,4
95,LX & Maxwell,Super Lemon Haze,187 Strassenbande,3,15,2019-04-19,2019-04-25,2019,4
96,Dermot Kennedy,Power Over Me,Interscope,13,37,2019-04-19,2019-04-25,2019,4
97,Leon MachÃ¨re,Copacabana,PMR Music,37,13,2019-04-19,2019-04-25,2019,4
98,Nash,Klassik,KMN Gang,2,38,2019-04-19,2019-04-25,2019,4
99,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",Republic Records,10,8,2019-04-19,2019-04-25,2019,4
100,Dennis Lloyd,Never Go Back,SME - Arista,2,95,2019-04-19,2019-04-25,2019,4
