current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Namika feat. Black M,Je ne parle pas franÃ§ais (Beatgees Remix),Jive Germany,11,1,2018-06-29,2018-07-05,2018,6
2,Die Fantastischen Vier feat. Clueso,Zusammen,Columbia,14,2,2018-06-29,2018-07-05,2018,6
3,Clean Bandit feat. Demi Lovato,Solo,Atlantic,6,3,2018-06-29,2018-07-05,2018,6
4,Capital Bra feat. King Khalil,Kennzeichen B-TK,Team Kuku,1,4,2018-06-29,2018-07-05,2018,6
5,El Profesor,Bella ciao (Hugel Remix),Kontor Records,7,5,2018-06-29,2018-07-05,2018,6
6,Capital Bra,Berlin lebt,Team Kuku,3,1,2018-06-29,2018-07-05,2018,6
7,Calvin Harris & Dua Lipa,One Kiss,Columbia,12,1,2018-06-29,2018-07-05,2018,6
8,Summer Cem & Bausa,Casanova,Banger Musik,5,4,2018-06-29,2018-07-05,2018,6
9,Capital Bra feat. Ufo361,Neymar,Team Kuku,9,1,2018-06-29,2018-07-05,2018,6
10,Capital Bra,One Night Stand,Team Kuku,5,1,2018-06-29,2018-07-05,2018,6
11,Dennis Lloyd,Nevermind,Warner Music International,14,3,2018-06-29,2018-07-05,2018,6
12,XXXTentacion,Sad!,Bad Vibes Forever,10,12,2018-06-29,2018-07-05,2018,6
13,XXXTentacion,Changes,Bad Vibes Forever,3,13,2018-06-29,2018-07-05,2018,6
14,Loredana,Sonnenbrille,Loredana,2,12,2018-06-29,2018-07-05,2018,6
15,Pietro Lombardi,PhÃ¤nomenal,Universal Domestic Polydor,6,1,2018-06-29,2018-07-05,2018,6
16,David Guetta & Sia,Flames,Parlophone Label Group,14,7,2018-06-29,2018-07-05,2018,6
17,Alvaro Soler,La cintura,Airforce1,13,8,2018-06-29,2018-07-05,2018,6
18,Capital Bra feat. Capital T,Wann dann,Team Kuku,1,18,2018-06-29,2018-07-05,2018,6
19,Post Malone,Better Now,Universal,9,11,2018-06-29,2018-07-05,2018,6
20,Capital Bra,Giselle BÃ¼ndchen,Team Kuku,1,20,2018-06-29,2018-07-05,2018,6
21,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,3,17,2018-06-29,2018-07-05,2018,6
22,Xatar feat. Azet,Balla,Alles Oder Nix Records,1,22,2018-06-29,2018-07-05,2018,6
23,Capital Bra feat. AK Ausserkontrolle,Darby,Team Kuku,1,23,2018-06-29,2018-07-05,2018,6
24,Capital Bra feat. KC Rebell,Gutes Herz,Team Kuku,1,24,2018-06-29,2018-07-05,2018,6
25,Maroon 5 feat. Cardi B,Girls Like You,Interscope,4,23,2018-06-29,2018-07-05,2018,6
26,Capital Bra,5 Songs in einer Nacht,Team Kuku,12,1,2018-06-29,2018-07-05,2018,6
27,Noizy feat. RAF Camora,Toto,Warner Music Germany,2,18,2018-06-29,2018-07-05,2018,6
28,Summer Cem,Tamam Tamam,Banger Musik,10,7,2018-06-29,2018-07-05,2018,6
29,"Cardi B, Bad Bunny & J Balvin",I Like It,Atlantic,11,22,2018-06-29,2018-07-05,2018,6
30,Nicky Jam feat. Will Smith & Era Istrefi,Live It Up,Sony Music,5,21,2018-06-29,2018-07-05,2018,6
31,Capital Bra feat. Farid Bang,"Panzer, Tiger",Team Kuku,1,31,2018-06-29,2018-07-05,2018,6
32,Ariana Grande,No Tears Left To Cry,Universal,10,2,2018-06-29,2018-07-05,2018,6
33,Selena Gomez,Back To You,Interscope,7,19,2018-06-29,2018-07-05,2018,6
34,XXXTentacion,Moonlight,Bad Vibes Forever,3,34,2018-06-29,2018-07-05,2018,6
35,Eno,Penthouse,Alles Oder Nix Records,2,32,2018-06-29,2018-07-05,2018,6
36,RIN,One Night,Division,1,36,2018-06-29,2018-07-05,2018,6
37,Lost Frequencies feat. James Blunt,Melody,Kontor Records,9,26,2018-06-29,2018-07-05,2018,6
38,Wincent Weiss,An Wunder,Universal Domestic Vertigo,11,12,2018-06-29,2018-07-05,2018,6
39,Eli,Change Your Mind,Prime Entertainment Records,11,14,2018-06-29,2018-07-05,2018,6
