current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Capital Bra x Samra & Lea,110,Universal Domestic Urban,1,1,2019-09-27,2019-10-03,2019,9
2,Tones And I,Dance Monkey,Bad Batch Records,7,1,2019-09-27,2019-10-03,2019,9
3,Apache 207,Roller,SME - Two Sides,5,1,2019-09-27,2019-10-03,2019,9
4,Apache 207,200 km/h,SME - Two Sides,1,4,2019-09-27,2019-10-03,2019,9
5,Bushido - Animus,Ronin,SME - Bushido,1,5,2019-09-27,2019-10-03,2019,9
6,Summer Cem feat. Luciano,Summer Cem,Banger Musik,1,6,2019-09-27,2019-10-03,2019,9
7,RAF Camora,Adriana,Indipendenza,1,7,2019-09-27,2019-10-03,2019,9
8,Shirin David & Xavier Naidoo,Nur mit dir,Juicy Money Records,1,8,2019-09-27,2019-10-03,2019,9
9,Loredana,Genick,Loredana,2,3,2019-09-27,2019-10-03,2019,9
10,Loredana feat. Mero,Kein Plan,Loredana,3,1,2019-09-27,2019-10-03,2019,9
11,Samra x Capital Bra,Huracan,Universal Domestic Urban,3,3,2019-09-27,2019-10-03,2019,9
12,Shawn Mendes & Camila Cabello,Señorita,Island,14,1,2019-09-27,2019-10-03,2019,9
13,Loredana feat. Mozzik,Eiskalt,Loredana,8,2,2019-09-27,2019-10-03,2019,9
14,Fero47,Schau mich an,SME - Epic,1,14,2019-09-27,2019-10-03,2019,9
15,Olexesh & Nimo,Augen Husky,385ideal,2,14,2019-09-27,2019-10-03,2019,9
16,Ed Sheeran feat. Khalid,Beautiful People,Atlantic,13,5,2019-09-27,2019-10-03,2019,9
17,Tim Bendzko,Hoch,SME - Jive Germany,6,17,2019-09-27,2019-10-03,2019,9
18,Mero,Meine Hand,Groove Attack TraX,1,18,2019-09-27,2019-10-03,2019,9
19,RIN,Up In Smoke,SME - Division,4,2,2019-09-27,2019-10-03,2019,9
20,Billie Eilish,Bad Guy,Universal,26,4,2019-09-27,2019-10-03,2019,9
21,Capital Bra x Samra,Tilidin,Universal Domestic Urban,14,1,2019-09-27,2019-10-03,2019,9
22,DJ Snake & J Balvin feat. Tyga,Loco contigo,Geffen Records,15,3,2019-09-27,2019-10-03,2019,9
23,Lil Nas X,Old Town Road,SME - Columbia,26,1,2019-09-27,2019-10-03,2019,9
