current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,7,1,2018-07-27,2018-08-02,2018,7
2,El Profesor,Bella ciao (Hugel Remix),Kontor Records,11,2,2018-07-27,2018-08-02,2018,7
3,Clean Bandit feat. Demi Lovato,Solo,Atlantic,10,1,2018-07-27,2018-08-02,2018,7
4,Drake,In My Feelings,Republic Records,4,4,2018-07-27,2018-08-02,2018,7
5,Namika feat. Black M,Je ne parle pas français (Beatgees Remix),Jive Germany,15,1,2018-07-27,2018-08-02,2018,7
6,Eno,Mercedes,Alles Oder Nix Records,1,6,2018-07-27,2018-08-02,2018,7
7,Dennis Lloyd,Nevermind,Warner Music International,18,3,2018-07-27,2018-08-02,2018,7
8,Calvin Harris & Dua Lipa,One Kiss,Columbia,16,1,2018-07-27,2018-08-02,2018,7
9,Bushido feat. Samra & Capital Bra,Für euch alle,Bushido,3,1,2018-07-27,2018-08-02,2018,7
10,Summer Cem & Bausa,Casanova,Banger Musik,9,4,2018-07-27,2018-08-02,2018,7
11,Jonas Blue feat. Jack & Jack,Rise,Virgin Records,9,11,2018-07-27,2018-08-02,2018,7
12,Loud Luxury feat. Brando,Body,Kontor Records,9,12,2018-07-27,2018-08-02,2018,7
13,Alvaro Soler,La cintura,Airforce1,17,8,2018-07-27,2018-08-02,2018,7
14,Maroon 5 feat. Cardi B,Girls Like You,Interscope,8,14,2018-07-27,2018-08-02,2018,7
15,Luciano [DE],Ballin,Universal Domestic Urban,2,10,2018-07-27,2018-08-02,2018,7
16,Ufo361 feat. Quavo,VVS,Stay High,1,16,2018-07-27,2018-08-02,2018,7
17,Die Fantastischen Vier feat. Clueso,Zusammen,Columbia Domestic,18,2,2018-07-27,2018-08-02,2018,7
18,Bushido,Mythos,Bushido,1,18,2018-07-27,2018-08-02,2018,7
19,Veysel,Habibo,Universal Domestic Urban,4,9,2018-07-27,2018-08-02,2018,7
