current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,8,1,2018-08-03,2018-08-09,2018,8
2,El Profesor,Bella ciao (Hugel Remix),Kontor Records,12,2,2018-08-03,2018-08-09,2018,8
3,Clean Bandit feat. Demi Lovato,Solo,Atlantic,11,1,2018-08-03,2018-08-09,2018,8
4,Drake,In My Feelings,Republic Records,5,4,2018-08-03,2018-08-09,2018,8
5,Namika feat. Black M,Je ne parle pas français (Beatgees Remix),Jive Germany,16,1,2018-08-03,2018-08-09,2018,8
6,Summer Cem & Bausa,Casanova,Banger Musik,10,4,2018-08-03,2018-08-09,2018,8
7,Alvaro Soler,La cintura,Airforce1,18,7,2018-08-03,2018-08-09,2018,8
8,Jonas Blue feat. Jack & Jack,Rise,Virgin Records,10,8,2018-08-03,2018-08-09,2018,8
9,Loud Luxury feat. Brando,Body,Kontor Records,10,9,2018-08-03,2018-08-09,2018,8
10,Dennis Lloyd,Nevermind,Warner Music International,19,3,2018-08-03,2018-08-09,2018,8
11,Eno,Mercedes,Alles Oder Nix Records,2,6,2018-08-03,2018-08-09,2018,8
12,Calvin Harris & Dua Lipa,One Kiss,Columbia,17,1,2018-08-03,2018-08-09,2018,8
13,Maroon 5 feat. Cardi B,Girls Like You,Interscope,9,13,2018-08-03,2018-08-09,2018,8
14,Bushido feat. Samra & Capital Bra,Für euch alle,Bushido,4,1,2018-08-03,2018-08-09,2018,8
15,"DJ Khaled feat. Justin Bieber, Chance The Rapper & Quavo",No Brainer,Epic,1,15,2018-08-03,2018-08-09,2018,8
16,6ix9ine feat. Nicki Minaj & Murda Beatz,Fefe,ScumGang Records,2,16,2018-08-03,2018-08-09,2018,8
17,Luciano [DE],Ballin,Universal Domestic Urban,3,10,2018-08-03,2018-08-09,2018,8
18,Anne-Marie,2002,Atlantic,11,18,2018-08-03,2018-08-09,2018,8
19,Robin Schulz & Piso 21,Oh Child,Warner Music Germany,6,19,2018-08-03,2018-08-09,2018,8
20,Summer Cem feat. Veysel,Santorini,Banger Musik,4,15,2018-08-03,2018-08-09,2018,8
21,"Cardi B, Bad Bunny & J Balvin",I Like It,Atlantic,16,21,2018-08-03,2018-08-09,2018,8
22,Veysel,Habibo,Universal Domestic Urban,5,9,2018-08-03,2018-08-09,2018,8
23,Kygo & Imagine Dragons,Born To Be Yours,B1 Recordings,7,23,2018-08-03,2018-08-09,2018,8
24,Capital Bra,One Night Stand,Team Kuku,10,1,2018-08-03,2018-08-09,2018,8
25,Tiësto & Dzeko feat. Preme & Post Malone,Jackie Chan,Virgin Records,7,25,2018-08-03,2018-08-09,2018,8
26,Post Malone,Better Now,Universal,14,11,2018-08-03,2018-08-09,2018,8
27,Summer Cem feat. RAF Camora,Molotov,Banger Musik,1,27,2018-08-03,2018-08-09,2018,8
28,Die Fantastischen Vier feat. Clueso,Zusammen,Columbia Domestic,19,2,2018-08-03,2018-08-09,2018,8
29,Nico Santos,Safe,Virgin Records,5,29,2018-08-03,2018-08-09,2018,8
30,Capital Bra feat. Ufo361,Neymar,Team Kuku,14,1,2018-08-03,2018-08-09,2018,8
31,David Guetta & Sia,Flames,Parlophone Label Group,19,7,2018-08-03,2018-08-09,2018,8
32,Armin van Buuren,Blah Blah Blah,Kontor Records,3,32,2018-08-03,2018-08-09,2018,8
33,Noizy feat. RAF Camora,Toto,Warner Music Germany,7,18,2018-08-03,2018-08-09,2018,8
34,Loredana,Sonnenbrille,Loredana,7,12,2018-08-03,2018-08-09,2018,8
35,Summer Cem,Tamam Tamam,Banger Musik,15,7,2018-08-03,2018-08-09,2018,8
36,"Benny Blanco, Halsey & Khalid",Eastside,Universal,3,36,2018-08-03,2018-08-09,2018,8
37,Lost Frequencies feat. James Blunt,Melody,Kontor Records,14,26,2018-08-03,2018-08-09,2018,8
38,Eli,Change Your Mind,Prime Entertainment Records,16,14,2018-08-03,2018-08-09,2018,8
39,Juice WRLD,Lucid Dreams (Forget Me),Juice WRLD Mixtape,9,36,2018-08-03,2018-08-09,2018,8
40,Martin Garrix feat. Khalid,Ocean,B1 Recordings,7,38,2018-08-03,2018-08-09,2018,8
41,"Alle Farben, Kelvin Jones & Younotus",Only Thing We Know,B1 Recordings,5,41,2018-08-03,2018-08-09,2018,8
42,George Ezra,Shotgun,Columbia,2,42,2018-08-03,2018-08-09,2018,8
43,Felix Jaehn feat. R. City & Bori,Jennie,Virgin Records,7,40,2018-08-03,2018-08-09,2018,8
44,Summer Cem,Alles vorbei,Banger Musik,2,44,2018-08-03,2018-08-09,2018,8
45,Ed Sheeran,Perfect,Atlantic,53,1,2018-08-03,2018-08-09,2018,8
46,Leon Machère,Copacabana,PMR Music,1,46,2018-08-03,2018-08-09,2018,8
47,Ariana Grande,God Is A Woman,Universal,3,20,2018-08-03,2018-08-09,2018,8
48,XXXTentacion,Sad!,Bad Vibes Forever,15,12,2018-08-03,2018-08-09,2018,8
49,Eno,Penthouse,Alles Oder Nix Records,7,30,2018-08-03,2018-08-09,2018,8
50,Selena Gomez,Back To You,Interscope,12,19,2018-08-03,2018-08-09,2018,8
51,Ufo361 feat. RAF Camora,Paradies,Stay High,3,16,2018-08-03,2018-08-09,2018,8
52,Capital Bra,Berlin lebt,Team Kuku,8,1,2018-08-03,2018-08-09,2018,8
53,Ufo361 feat. Quavo,VVS,Stay High,2,16,2018-08-03,2018-08-09,2018,8
54,5 Seconds Of Summer,Youngblood,Capitol,9,45,2018-08-03,2018-08-09,2018,8
55,Nicky Jam x J Balvin,X,Sony Music,22,13,2018-08-03,2018-08-09,2018,8
56,Ed Sheeran,Happier,Atlantic,19,16,2018-08-03,2018-08-09,2018,8
57,Liam Payne & J Balvin,Familiar,Capitol,14,50,2018-08-03,2018-08-09,2018,8
58,Pietro Lombardi,Phänomenal,Universal Domestic Polydor,11,1,2018-08-03,2018-08-09,2018,8
59,Summer Cem feat. KC Rebell & Capital Bra,Chinchilla,Banger Musik,12,11,2018-08-03,2018-08-09,2018,8
60,Ariana Grande,No Tears Left To Cry,Universal,15,2,2018-08-03,2018-08-09,2018,8
61,Kontra K feat. RAF Camora,Fame,BMG,13,6,2018-08-03,2018-08-09,2018,8
62,Matt Simons,We Can Do Better,Pias,9,52,2018-08-03,2018-08-09,2018,8
63,Marshmello & Anne-Marie,Friends,Atlantic,25,1,2018-08-03,2018-08-09,2018,8
64,Luis Fonsi & Demi Lovato,Échame la culpa,Universal,37,6,2018-08-03,2018-08-09,2018,8
65,Capital Bra feat. Capital T,Wann dann,Team Kuku,6,18,2018-08-03,2018-08-09,2018,8
66,Wincent Weiss,An Wunder,Universal Domestic Vertigo,16,12,2018-08-03,2018-08-09,2018,8
67,Ed Sheeran,Shape Of You,Atlantic,82,1,2018-08-03,2018-08-09,2018,8
68,Olexesh feat. Edin,Magisch,385ideal,24,1,2018-08-03,2018-08-09,2018,8
69,Kontra K,Hoch,BMG,2,26,2018-08-03,2018-08-09,2018,8
70,David Guetta feat. Anne-Marie,Don't Leave Me Alone,Parlophone Label Group,1,70,2018-08-03,2018-08-09,2018,8
71,Alle Farben & Rhodes,H.O.L.Y.,B1 Recordings,11,65,2018-08-03,2018-08-09,2018,8
72,Capital Bra feat. King Khalil,Kennzeichen B-TK,Team Kuku,6,4,2018-08-03,2018-08-09,2018,8
73,Max Giesinger,Legenden,BMG,11,38,2018-08-03,2018-08-09,2018,8
74,Bausa,Was du Liebe nennst,Warner Music Germany,44,1,2018-08-03,2018-08-09,2018,8
75,Drake feat. Michael Jackson,Don't Matter To Me,Republic Records,5,16,2018-08-03,2018-08-09,2018,8
76,"KMN Gang feat. Azet, Miami Yacine, Nash & Zuna",KMN Member,KMN Gang,5,11,2018-08-03,2018-08-09,2018,8
77,Luis Fonsi feat. Daddy Yankee,Despacito,Universal,79,1,2018-08-03,2018-08-09,2018,8
78,Kygo feat. Miguel,Remind Me To Forget,B1 Recordings,20,14,2018-08-03,2018-08-09,2018,8
79,Summer Cem feat. Farid Bang,Weg weg weg,Banger Musik,1,79,2018-08-03,2018-08-09,2018,8
80,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days,Atlantic,28,3,2018-08-03,2018-08-09,2018,8
81,Ramz,Barking,Polydor,23,4,2018-08-03,2018-08-09,2018,8
82,Drake,God's Plan,Motown,28,1,2018-08-03,2018-08-09,2018,8
83,Bushido,Mythos,Bushido,2,18,2018-08-03,2018-08-09,2018,8
84,XXXTentacion,Changes,Bad Vibes Forever,8,13,2018-08-03,2018-08-09,2018,8
85,Capital Bra,5 Songs in einer Nacht,Team Kuku,17,1,2018-08-03,2018-08-09,2018,8
86,LEA,Zu dir,Four Music,5,80,2018-08-03,2018-08-09,2018,8
87,Drake,Nice For What,Young Money,17,9,2018-08-03,2018-08-09,2018,8
88,Summer Cem,Crew,Banger Musik,6,28,2018-08-03,2018-08-09,2018,8
89,A$AP Rocky feat. Skepta,Praise The Lord (Da Shine),A$AP Worldwide,9,59,2018-08-03,2018-08-09,2018,8
90,XXXTentacion,Moonlight,Bad Vibes Forever,8,34,2018-08-03,2018-08-09,2018,8
91,George Ezra,Paradise,Columbia,22,24,2018-08-03,2018-08-09,2018,8
92,"Gringo feat. Maxwell, Moe Phoenix & Laruzo",Wake Up,SLS Music,3,48,2018-08-03,2018-08-09,2018,8
93,Vanessa Mai feat. Olexesh,Wir 2 immer 1,Ariola,4,33,2018-08-03,2018-08-09,2018,8
94,Jason Derulo,Colors,Beluga Heights,18,47,2018-08-03,2018-08-09,2018,8
95,Camila Cabello feat. Young Thug,Havana,Epic,50,2,2018-08-03,2018-08-09,2018,8
96,Zedd & Elley Duhé,Happy Now,Umgri,2,90,2018-08-03,2018-08-09,2018,8
97,Alan Walker feat. Au/Ra & Tomine Harket,Darkside,Mer Recordings,1,97,2018-08-03,2018-08-09,2018,8
98,Imagine Dragons,Natural,Interscope,2,62,2018-08-03,2018-08-09,2018,8
99,Nicky Jam feat. Will Smith & Era Istrefi,Live It Up,Sony Music,10,21,2018-08-03,2018-08-09,2018,8
100,Shawn Mendes,In My Blood,Island,19,8,2018-08-03,2018-08-09,2018,8
