current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Juju x Loredana,Kein Wort,Jinx Music,1,1,2020-01-24,2020-01-30,2020,1
2,Ufo361 feat. Future,Big Drip,Stay High,1,2,2020-01-24,2020-01-30,2020,1
3,The Weeknd,Blinding Lights,Republic Records,8,1,2020-01-24,2020-01-30,2020,1
4,Tones And I,Dance Monkey,Bad Batch Records,24,1,2020-01-24,2020-01-30,2020,1
5,Apache 207,Roller,SME - Two Sides,22,1,2020-01-24,2020-01-30,2020,1
6,Dardan,6AM.........,Hypnotize Entertainment,2,4,2020-01-24,2020-01-30,2020,1
7,Jamule,Ich hol dich ab,Life Is Pain,2,5,2020-01-24,2020-01-30,2020,1
8,Regard,Ride It,B1 Recordings,18,4,2020-01-24,2020-01-30,2020,1
9,Bausa x Joshi Mizu x Maxwell,Skifahren,SME - RBK,10,4,2020-01-24,2020-01-30,2020,1
10,RIN,Alien,SME - Division,7,8,2020-01-24,2020-01-30,2020,1
11,Future feat. Drake,Life Is Good,SME - Epic,2,8,2020-01-24,2020-01-30,2020,1
12,Apache 207,200 km/h,SME - Two Sides,18,4,2020-01-24,2020-01-30,2020,1
13,Roddy Ricch,The Box,Atlantic,3,13,2020-01-24,2020-01-30,2020,1
14,Dua Lipa,Don't Start Now,Urban,12,10,2020-01-24,2020-01-30,2020,1
15,Apache 207,Wieso tust Du dir das an?,SME - Two Sides,14,1,2020-01-24,2020-01-30,2020,1
16,Trevor Daniel,Falling,Alamo Records,3,13,2020-01-24,2020-01-30,2020,1
17,Nimo & Hava,Kein Schlaf,Urban,7,1,2020-01-24,2020-01-30,2020,1
18,Topic feat. A7S,Breaking Me,Virgin Records,3,18,2020-01-24,2020-01-30,2020,1
19,Elias [DE],Benzo,SME - Epic Domestic,2,16,2020-01-24,2020-01-30,2020,1
20,SAINt JHN,Roses (Imanbek Remix),B1 Recordings,8,20,2020-01-24,2020-01-30,2020,1
21,Capital Bra x Samra & Lea,110,Urban,18,1,2020-01-24,2020-01-30,2020,1
22,Tyga,Ayy Macarena,SME - Columbia,10,9,2020-01-24,2020-01-30,2020,1
23,Gzuz,Vor der Tür,187 Strassenbande,5,4,2020-01-24,2020-01-30,2020,1
24,Mark Forster,194 Länder,SME - Four Music,18,13,2020-01-24,2020-01-30,2020,1
25,RAF Camora,Maschine,SME - RBK,3,9,2020-01-24,2020-01-30,2020,1
26,RIN & Bausa,Keine Liebe,SME - Division,14,5,2020-01-24,2020-01-30,2020,1
27,Justin Bieber,Yummy,Def Jam,3,15,2020-01-24,2020-01-30,2020,1
28,Felix Jaehn & Vize feat. Miss Li,Close Your Eyes,Virgin Records,5,28,2020-01-24,2020-01-30,2020,1
29,Samra,Colt,Urban,7,2,2020-01-24,2020-01-30,2020,1
30,Black Eyed Peas x J Balvin,Ritmo (Bad Boys For Life),SME - Epic,12,24,2020-01-24,2020-01-30,2020,1
31,Maroon 5,Memories,A&M Records,18,20,2020-01-24,2020-01-30,2020,1
32,Juju feat. Henning May,Vermissen,Jinx Music,38,1,2020-01-24,2020-01-30,2020,1
33,Reezy,My Little Sunshine,SME - Two Sides,1,33,2020-01-24,2020-01-30,2020,1
34,Riton x Oliver Heldens feat. Vula,Turn Me On,SME - Ministry Of Sound,12,18,2020-01-24,2020-01-30,2020,1
35,Apache 207,Doch in der Nacht,SME - Two Sides,11,7,2020-01-24,2020-01-30,2020,1
36,Billie Eilish,Everything I Wanted,Interscope,10,9,2020-01-24,2020-01-30,2020,1
37,Arizona Zervas,Roxanne,SME - Arizona Zervas,11,27,2020-01-24,2020-01-30,2020,1
38,Meduza x Becky Hill x Goodboys,Lose Control,Virgin Records,15,30,2020-01-24,2020-01-30,2020,1
39,Blackbear,Hot Girl Bummer,Interscope,16,17,2020-01-24,2020-01-30,2020,1
40,Sido feat. Apache 207,2002,Urban,17,6,2020-01-24,2020-01-30,2020,1
41,Lewis Capaldi,Someone You Loved,Universal Domestic Vertigo,51,18,2020-01-24,2020-01-30,2020,1
42,Ufo361,Nur zur Info,Stay High,5,20,2020-01-24,2020-01-30,2020,1
43,Halsey,You Should Be Sad,Capitol,2,43,2020-01-24,2020-01-30,2020,1
44,Katja Krasavice,Casino,Katja Krasavice,4,44,2020-01-24,2020-01-30,2020,1
45,Jerome [DE],Light,Kontor Records,13,39,2020-01-24,2020-01-30,2020,1
46,Billie Eilish,Bad Guy,Universal,43,4,2020-01-24,2020-01-30,2020,1
47,Eminem,Darkness,Interscope,1,47,2020-01-24,2020-01-30,2020,1
48,LUM!X & Gabry Ponte,Monster,Spinnin' Records,26,20,2020-01-24,2020-01-30,2020,1
49,Kianush & PA Sports,Casino Royal,Life Is Pain,7,28,2020-01-24,2020-01-30,2020,1
50,Loredana,Mit dir,Loredana,5,9,2020-01-24,2020-01-30,2020,1
51,Travis Scott,Highest In The Room,SME - Epic,15,8,2020-01-24,2020-01-30,2020,1
52,RAF Camora & Bonez MC,Es geht voran,Indipendenza,2,20,2020-01-24,2020-01-30,2020,1
53,Robin Schulz feat. Alida,In Your Eyes,Warner Music Germany,2,52,2020-01-24,2020-01-30,2020,1
54,Nimo,Karma,Urban,12,4,2020-01-24,2020-01-30,2020,1
55,Post Malone,Circles,Republic Records,21,17,2020-01-24,2020-01-30,2020,1
56,Pashanim,Hauseingang,Urban,3,56,2020-01-24,2020-01-30,2020,1
57,Capital Bra x Samra,Tilidin,Urban,31,1,2020-01-24,2020-01-30,2020,1
58,Apache 207,Kein Problem,SME - Two Sides,22,17,2020-01-24,2020-01-30,2020,1
59,Lewis Capaldi,Before You Go,Universal Domestic Vertigo,6,56,2020-01-24,2020-01-30,2020,1
60,Capital Bra,Der Bratan bleibt der gleiche,Urban,8,1,2020-01-24,2020-01-30,2020,1
61,Selena Gomez,Rare,Universal,2,42,2020-01-24,2020-01-30,2020,1
62,Nico Santos,Play With Fire,Virgin Records,4,62,2020-01-24,2020-01-30,2020,1
63,Sam Feldt feat. Rani,Post Malone,Spinnin' Records,16,46,2020-01-24,2020-01-30,2020,1
64,Lil Nas X,Old Town Road,SME - Columbia,43,1,2020-01-24,2020-01-30,2020,1
65,Selena Gomez,Lose You To Love Me,Interscope,13,7,2020-01-24,2020-01-30,2020,1
66,Tim Bendzko,Hoch,SME - Jive Germany,23,10,2020-01-24,2020-01-30,2020,1
67,Jonas Brothers,What A Man Gotta Do,Republic Records,1,67,2020-01-24,2020-01-30,2020,1
68,Shawn Mendes & Camila Cabello,Señorita,Island,31,1,2020-01-24,2020-01-30,2020,1
69,Apache 207,Sex mit dir,SME - Two Sides,11,13,2020-01-24,2020-01-30,2020,1
70,Ed Sheeran feat. Camila Cabello & Cardi B,South Of The Border,Atlantic,18,33,2020-01-24,2020-01-30,2020,1
71,RAF Camora feat. Ghetto Phenomene,Puta madre,Indipendenza,14,5,2020-01-24,2020-01-30,2020,1
72,The Cratez & Bonez MC,Honda Civic,SME - RBK,16,5,2020-01-24,2020-01-30,2020,1
73,Sero El Mero,Babble la bab,Groove Attack TraX,1,73,2020-01-24,2020-01-30,2020,1
74,Sarah Connor,Vincent,Universal Domestic Polydor,42,9,2020-01-24,2020-01-30,2020,1
75,Mac Miller,Good News,Warner Music International,2,75,2020-01-24,2020-01-30,2020,1
76,Reezy feat. Summer Cem,Phantom,SME - Two Sides,12,9,2020-01-24,2020-01-30,2020,1
77,BTS,Black Swan,BigHit Entertainment,1,77,2020-01-24,2020-01-30,2020,1
