current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Clean Bandit feat. Demi Lovato,Solo,Atlantic,7,1,2018-07-06,2018-07-12,2018,7
2,Namika feat. Black M,Je ne parle pas franÃ§ais (Beatgees Remix),Jive Germany,12,1,2018-07-06,2018-07-12,2018,7
3,El Profesor,Bella ciao (Hugel Remix),Kontor Records,8,3,2018-07-06,2018-07-12,2018,7
4,Calvin Harris & Dua Lipa,One Kiss,Columbia,13,1,2018-07-06,2018-07-12,2018,7
5,Summer Cem & Bausa,Casanova,Banger Musik,6,4,2018-07-06,2018-07-12,2018,7
6,Dennis Lloyd,Nevermind,Warner Music International,15,3,2018-07-06,2018-07-12,2018,7
7,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,4,7,2018-07-06,2018-07-12,2018,7
8,Die Fantastischen Vier feat. Clueso,Zusammen,Columbia Domestic,15,2,2018-07-06,2018-07-12,2018,7
9,Veysel,Habibo,Universal Domestic Urban,1,9,2018-07-06,2018-07-12,2018,7
10,Capital Bra,One Night Stand,Team Kuku,6,1,2018-07-06,2018-07-12,2018,7
11,"KMN Gang feat. Azet, Miami Yacine, Nash & Zuna",KMN Member,KMN Gang,1,11,2018-07-06,2018-07-12,2018,7
12,Capital Bra feat. Ufo361,Neymar,Team Kuku,10,1,2018-07-06,2018-07-12,2018,7
13,Capital Bra,Berlin lebt,Team Kuku,4,1,2018-07-06,2018-07-12,2018,7
14,Alvaro Soler,La cintura,Airforce1,14,8,2018-07-06,2018-07-12,2018,7
15,XXXTentacion,Sad!,Bad Vibes Forever,11,12,2018-07-06,2018-07-12,2018,7
16,Drake feat. Michael Jackson,Don't Matter To Me,Republic Records,1,16,2018-07-06,2018-07-12,2018,7
17,David Guetta & Sia,Flames,Parlophone Label Group,15,7,2018-07-06,2018-07-12,2018,7
18,Loredana,Sonnenbrille,Loredana,3,12,2018-07-06,2018-07-12,2018,7
19,Kollegah & Farid Bang,Mitternacht 2,Banger Musik,1,19,2018-07-06,2018-07-12,2018,7
20,Post Malone,Better Now,Universal,10,11,2018-07-06,2018-07-12,2018,7
21,Maroon 5 feat. Cardi B,Girls Like You,Interscope,5,21,2018-07-06,2018-07-12,2018,7
22,Jonas Blue feat. Jack & Jack,Rise,Positiva,6,22,2018-07-06,2018-07-12,2018,7
23,Noizy feat. RAF Camora,Toto,Warner Music Germany,3,18,2018-07-06,2018-07-12,2018,7
24,Capital Bra feat. King Khalil,Kennzeichen B-TK,Team Kuku,2,4,2018-07-06,2018-07-12,2018,7
25,"Cardi B, Bad Bunny & J Balvin",I Like It,Atlantic,12,22,2018-07-06,2018-07-12,2018,7
26,Loud Luxury feat. Brando,Body,Kontor Records,6,26,2018-07-06,2018-07-12,2018,7
27,Pietro Lombardi,PhÃ¤nomenal,Universal Domestic Polydor,7,1,2018-07-06,2018-07-12,2018,7
28,Drake,Nonstop,Republic Records,1,28,2018-07-06,2018-07-12,2018,7
29,XXXTentacion,Changes,Bad Vibes Forever,4,13,2018-07-06,2018-07-12,2018,7
30,Eno,Penthouse,Alles Oder Nix Records,3,30,2018-07-06,2018-07-12,2018,7
31,Summer Cem,Tamam Tamam,Banger Musik,11,7,2018-07-06,2018-07-12,2018,7
32,Capital Bra feat. Capital T,Wann dann,Team Kuku,2,18,2018-07-06,2018-07-12,2018,7
33,Lost Frequencies feat. James Blunt,Melody,Kontor Records,10,26,2018-07-06,2018-07-12,2018,7
34,Drake,God's Plan,Motown,24,1,2018-07-06,2018-07-12,2018,7
35,Eli,Change Your Mind,Prime Entertainment Records,12,14,2018-07-06,2018-07-12,2018,7
36,Ariana Grande,No Tears Left To Cry,Universal,11,2,2018-07-06,2018-07-12,2018,7
37,Kygo & Imagine Dragons,Born To Be Yours,B1 Recordings,3,27,2018-07-06,2018-07-12,2018,7
38,Selena Gomez,Back To You,Interscope,8,19,2018-07-06,2018-07-12,2018,7
39,Drake,Nice For What,Young Money,13,9,2018-07-06,2018-07-12,2018,7
40,Wincent Weiss,An Wunder,Universal Domestic Vertigo,12,12,2018-07-06,2018-07-12,2018,7
41,Juice WRLD,Lucid Dreams (Forget Me),Juice WRLD Mixtape,5,41,2018-07-06,2018-07-12,2018,7
42,Capital Bra,5 Songs in einer Nacht,Team Kuku,13,1,2018-07-06,2018-07-12,2018,7
43,Nicky Jam x J Balvin,X,Sony Music,18,13,2018-07-06,2018-07-12,2018,7
44,Kontra K feat. RAF Camora,Fame,BMG,9,6,2018-07-06,2018-07-12,2018,7
45,TiÃ«sto & Dzeko feat. Preme & Post Malone,Jackie Chan,Virgin Records,3,45,2018-07-06,2018-07-12,2018,7
46,Nicky Jam feat. Will Smith & Era Istrefi,Live It Up,Sony Music,6,21,2018-07-06,2018-07-12,2018,7
47,Luis Fonsi & Demi Lovato,Ã‰chame la culpa,Universal,33,6,2018-07-06,2018-07-12,2018,7
48,Martin Garrix feat. Khalid,Ocean,B1 Recordings,3,44,2018-07-06,2018-07-12,2018,7
49,Kygo feat. Miguel,Remind Me To Forget,B1 Recordings,16,14,2018-07-06,2018-07-12,2018,7
50,Olexesh feat. Edin,Magisch,385ideal,20,1,2018-07-06,2018-07-12,2018,7
51,Felix Jaehn feat. R. City & Bori,Jennie,Virgin Records,3,51,2018-07-06,2018-07-12,2018,7
52,XXXTentacion,Moonlight,Bad Vibes Forever,4,34,2018-07-06,2018-07-12,2018,7
53,Jason Derulo,Colors,Beluga Heights,14,47,2018-07-06,2018-07-12,2018,7
54,Marshmello & Anne-Marie,Friends,Atlantic,21,1,2018-07-06,2018-07-12,2018,7
55,Liam Payne & J Balvin,Familiar,Capitol,10,50,2018-07-06,2018-07-12,2018,7
56,Ramz,Barking,Polydor,19,4,2018-07-06,2018-07-12,2018,7
57,Ed Sheeran,Perfect,Atlantic,49,1,2018-07-06,2018-07-12,2018,7
58,5 Seconds Of Summer,Youngblood,Capitol,5,45,2018-07-06,2018-07-12,2018,7
59,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days,Atlantic,24,3,2018-07-06,2018-07-12,2018,7
60,Anne-Marie,2002,Atlantic,7,60,2018-07-06,2018-07-12,2018,7
61,George Ezra,Paradise,Columbia,18,24,2018-07-06,2018-07-12,2018,7
62,Xatar feat. Azet,Balla,Alles Oder Nix Records,2,22,2018-07-06,2018-07-12,2018,7
63,Matt Simons,We Can Do Better,Pias,5,63,2018-07-06,2018-07-12,2018,7
64,Kay One feat. Mike Singer,Netflix & Chill,Embassy of Music,6,11,2018-07-06,2018-07-12,2018,7
65,Max Giesinger,Legenden,BMG,7,38,2018-07-06,2018-07-12,2018,7
66,Alle Farben & Rhodes,H.O.L.Y.,B1 Recordings,7,66,2018-07-06,2018-07-12,2018,7
67,Drake,Elevate,Republic Records,1,67,2018-07-06,2018-07-12,2018,7
68,Drake,Emotionless,Republic Records,1,68,2018-07-06,2018-07-12,2018,7
69,Summer Cem feat. KC Rebell & Capital Bra,Chinchilla,Banger Musik,8,11,2018-07-06,2018-07-12,2018,7
70,Shawn Mendes,In My Blood,Island,15,8,2018-07-06,2018-07-12,2018,7
