current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Capital Bra,Berlin lebt,Team Kuku,1,1,2018-06-15,2018-06-21,2018,6
2,Namika feat. Black M,Je ne parle pas franÃ§ais (Beatgees Remix),Jive Germany,9,2,2018-06-15,2018-06-21,2018,6
3,Calvin Harris & Dua Lipa,One Kiss,Columbia,10,1,2018-06-15,2018-06-21,2018,6
4,Capital Bra,One Night Stand,Team Kuku,3,1,2018-06-15,2018-06-21,2018,6
5,Dennis Lloyd,Nevermind,Warner Music International,12,3,2018-06-15,2018-06-21,2018,6
6,Summer Cem & Bausa,Casanova,Banger Musik,3,4,2018-06-15,2018-06-21,2018,6
7,Clean Bandit feat. Demi Lovato,Solo,Atlantic,4,7,2018-06-15,2018-06-21,2018,6
8,Capital Bra feat. Ufo361,Neymar,Team Kuku,7,1,2018-06-15,2018-06-21,2018,6
9,Pietro Lombardi,PhÃ¤nomenal,Universal Domestic Polydor,4,1,2018-06-15,2018-06-21,2018,6
10,El Profesor,Bella ciao (Hugel Remix),Kontor Records,5,10,2018-06-15,2018-06-21,2018,6
11,Alvaro Soler,La cintura,Airforce1,11,8,2018-06-15,2018-06-21,2018,6
12,David Guetta & Sia,Flames,Parlophone Label Group,12,7,2018-06-15,2018-06-21,2018,6
13,Die Fantastischen Vier feat. Clueso,Zusammen,Columbia,12,12,2018-06-15,2018-06-21,2018,6
14,Post Malone,Better Now,Universal,7,11,2018-06-15,2018-06-21,2018,6
15,Summer Cem,Tamam Tamam,Banger Musik,8,7,2018-06-15,2018-06-21,2018,6
16,Wincent Weiss,An Wunder,Universal Domestic Vertigo,9,12,2018-06-15,2018-06-21,2018,6
17,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,1,17,2018-06-15,2018-06-21,2018,6
18,Eli,Change Your Mind,Prime Entertainment Records,9,14,2018-06-15,2018-06-21,2018,6
19,Selena Gomez,Back To You,Interscope,5,19,2018-06-15,2018-06-21,2018,6
20,Olexesh feat. Edin,Magisch,385ideal,17,1,2018-06-15,2018-06-21,2018,6
21,Kygo feat. Miguel,Remind Me To Forget,B1 Recordings,13,14,2018-06-15,2018-06-21,2018,6
22,Ramz,Barking,Polydor,16,4,2018-06-15,2018-06-21,2018,6
23,Ariana Grande,No Tears Left To Cry,Universal,8,2,2018-06-15,2018-06-21,2018,6
24,Shawn Mendes,In My Blood,Island,12,8,2018-06-15,2018-06-21,2018,6
25,Kontra K feat. RAF Camora,Fame,BMG,6,6,2018-06-15,2018-06-21,2018,6
26,Lost Frequencies feat. James Blunt,Melody,Kontor Records,7,26,2018-06-15,2018-06-21,2018,6
27,Rich The Kid,Plug Walk,Universal,3,27,2018-06-15,2018-06-21,2018,6
28,Kay One feat. Mike Singer,Netflix & Chill,Embassy of Music,3,11,2018-06-15,2018-06-21,2018,6
29,Luis Fonsi & Demi Lovato,Ã‰chame la culpa,Universal,30,6,2018-06-15,2018-06-21,2018,6
30,Capital Bra,5 Songs in einer Nacht,Team Kuku,10,1,2018-06-15,2018-06-21,2018,6
31,Marshmello & Anne-Marie,Friends,Atlantic,18,1,2018-06-15,2018-06-21,2018,6
32,Nicky Jam x J Balvin,X,Sony Music,15,13,2018-06-15,2018-06-21,2018,6
33,Nicky Jam feat. Will Smith & Era Istrefi,Live It Up,Sony Music,3,33,2018-06-15,2018-06-21,2018,6
34,Summer Cem feat. KC Rebell & Capital Bra,Chinchilla,Banger Musik,5,11,2018-06-15,2018-06-21,2018,6
