current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Ed Sheeran,Perfect,Atlantic,23,1,2018-01-05,2018-01-11,2018,1
2,Bausa,Was du Liebe nennst,Warner Music Germany,14,1,2018-01-05,2018-01-11,2018,1
3,Camila Cabello feat. Young Thug,Havana,Epic,20,2,2018-01-05,2018-01-11,2018,1
4,Justin Bieber + BloodPop®,Friends,Republic Records,20,4,2018-01-05,2018-01-11,2018,1
5,Eminem feat. Ed Sheeran,River,Universal,3,3,2018-01-05,2018-01-11,2018,1
6,Nico Santos,Rooftop,Virgin Records,8,6,2018-01-05,2018-01-11,2018,1
7,Post Malone feat. 21 Savage,Rockstar,Universal,16,2,2018-01-05,2018-01-11,2018,1
8,G-Eazy & Halsey,Him & I,RCA International,5,8,2018-01-05,2018-01-11,2018,1
9,Ofenbach vs. Nick Waterhouse,Katchi,Warner Music International,10,9,2018-01-05,2018-01-11,2018,1
10,Marshmello feat. Khalid,Silence,RCA International,20,6,2018-01-05,2018-01-11,2018,1
11,NF,Let You Down,Capitol,11,9,2018-01-05,2018-01-11,2018,1
12,Ed Sheeran,Shape Of You,Atlantic,52,1,2018-01-05,2018-01-11,2018,1
13,Zayn feat. Sia,Dusk Till Dawn,RCA International,17,3,2018-01-05,2018-01-11,2018,1
14,Selena Gomez x Marshmello,Wolves,Universal,10,11,2018-01-05,2018-01-11,2018,1
15,Axwell Λ Ingrosso,More Than You Know,Virgin Records,30,1,2018-01-05,2018-01-11,2018,1
16,Portugal. The Man,Feel It Still,Atlantic,16,7,2018-01-05,2018-01-11,2018,1
17,Azet feat. RAF Camora,Qa bone,KMN Gang,2,17,2018-01-05,2018-01-11,2018,1
18,Imagine Dragons,Whatever It Takes,Interscope,14,7,2018-01-05,2018-01-11,2018,1
19,Luis Fonsi feat. Daddy Yankee,Despacito,Universal,49,1,2018-01-05,2018-01-11,2018,1
20,Dua Lipa,New Rules,Universal Domestic Vertigo,23,9,2018-01-05,2018-01-11,2018,1
21,Kay One feat. Pietro Lombardi,Señorita,Princekayone GmbH,17,1,2018-01-05,2018-01-11,2018,1
22,J Balvin & Willy William,Mi gente,B1 Recordings,27,3,2018-01-05,2018-01-11,2018,1
23,Kygo feat. Justin Jesso,Stargazing,B1 Recordings,15,14,2018-01-05,2018-01-11,2018,1
24,Jason Derulo feat. French Montana,Tip Toe,Beluga Heights,8,24,2018-01-05,2018-01-11,2018,1
25,Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya,So Far Away,Epic,5,25,2018-01-05,2018-01-11,2018,1
26,Big Shaq,Man's Not Hot,Island,9,26,2018-01-05,2018-01-11,2018,1
27,Luis Fonsi & Demi Lovato,Échame la culpa,Universal,7,21,2018-01-05,2018-01-11,2018,1
28,French Montana feat. Swae Lee,Unforgettable,Epic,38,6,2018-01-05,2018-01-11,2018,1
29,Maroon 5 feat. SZA,What Lovers Do,A&M Records,18,17,2018-01-05,2018-01-11,2018,1
30,RAF Camora,Sag nix,Indipendenza,4,6,2018-01-05,2018-01-11,2018,1
31,Imagine Dragons,Thunder,Interscope,36,2,2018-01-05,2018-01-11,2018,1
32,RAF Camora,Gotham City,Indipendenza,3,9,2018-01-05,2018-01-11,2018,1
33,Rita Ora,Anywhere,Atlantic,7,33,2018-01-05,2018-01-11,2018,1
34,Lauv,I Like Me Better,Lauv,26,7,2018-01-05,2018-01-11,2018,1
35,RAF Camora,Primo,Indipendenza,19,6,2018-01-05,2018-01-11,2018,1
36,P!nk,What About Us,RCA International,21,3,2018-01-05,2018-01-11,2018,1
37,Mark Forster,Kogong,Four Music,12,34,2018-01-05,2018-01-11,2018,1
38,Robin Schulz & Hugel,I Believe I'm Fine,Warner Music Germany,17,29,2018-01-05,2018-01-11,2018,1
39,Avicii feat. Rita Ora,Lonely Together,Virgin Records,16,24,2018-01-05,2018-01-11,2018,1
40,Helene Fischer,Herzbeben,Universal Domestic Polydor,27,6,2018-01-05,2018-01-11,2018,1
41,Rita Ora,Your Song,Atlantic,32,13,2018-01-05,2018-01-11,2018,1
42,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,Atlantic,7,42,2018-01-05,2018-01-11,2018,1
43,"RAF Camora feat. Bonez MC, Gzuz & Ufo361",Waffen,Indipendenza,3,21,2018-01-05,2018-01-11,2018,1
44,Gestört aber GeiL feat. Lea,Wohin willst du,Kontor Records,30,11,2018-01-05,2018-01-11,2018,1
45,The Chainsmokers & Coldplay,Something Just Like This,Columbia,44,4,2018-01-05,2018-01-11,2018,1
46,Robin Schulz feat. James Blunt,OK,Warner Music Germany,33,2,2018-01-05,2018-01-11,2018,1
47,RIN,Monica Bellucci,Division,21,15,2018-01-05,2018-01-11,2018,1
48,Jason Derulo feat. Nicki Minaj & Ty Dolla $ign,Swalla,Beluga Heights,40,4,2018-01-05,2018-01-11,2018,1
49,Charlie Puth,How Long,Artist Partner Group,13,42,2018-01-05,2018-01-11,2018,1
50,Bonez MC & RAF Camora feat. Maxwell,Ohne mein Team,Auf!Keinen!Fall!,70,7,2018-01-05,2018-01-11,2018,1
51,James Arthur,Naked,Columbia Domestic,6,51,2018-01-05,2018-01-11,2018,1
52,LEA,Leiser,Four Music,5,52,2018-01-05,2018-01-11,2018,1
53,Sam Smith,Too Good At Goodbyes,Capitol,17,18,2018-01-05,2018-01-11,2018,1
54,Burak Yeter feat. Danelle Sandoval,Tuesday,SBA Production,36,2,2018-01-05,2018-01-11,2018,1
55,Kollegah & Farid Bang,One Night Stand,Banger Musik,1,55,2018-01-05,2018-01-11,2018,1
56,Bausa,FML,Warner Music Germany,1,56,2018-01-05,2018-01-11,2018,1
57,Nimo,Heute mit mir,Universal Domestic Urban,30,10,2018-01-05,2018-01-11,2018,1
58,Kontra K,Soldaten 2.0,BMG,12,16,2018-01-05,2018-01-11,2018,1
59,Lil Pump,Gucci Gang,Warner Music International,10,35,2018-01-05,2018-01-11,2018,1
60,Alice Merton,No Roots,Paper Plane Records Int.,39,2,2018-01-05,2018-01-11,2018,1
61,Ed Sheeran,Galway Girl,Atlantic,44,5,2018-01-05,2018-01-11,2018,1
62,Ingo ohne Flamingo,"Saufen, morgens, mittags, abends",UR-MUSIC,2,62,2018-01-05,2018-01-11,2018,1
63,Helene Fischer,Achterbahn,Universal Domestic Polydor,8,10,2018-01-05,2018-01-11,2018,1
64,Jonas Blue feat. William Singe,Mama,Virgin Records,32,5,2018-01-05,2018-01-11,2018,1
65,Azzi Memo x Eno,AMG2,Generation Azzlack,7,8,2018-01-05,2018-01-11,2018,1
66,Miami Yacine,Bon voyage,KMN Gang,25,5,2018-01-05,2018-01-11,2018,1
67,Macklemore feat. Skylar Grey,Glorious,Bendo LLC,24,15,2018-01-05,2018-01-11,2018,1
68,Veysel,Kleiner Cabrón,Bela Boyz,18,18,2018-01-05,2018-01-11,2018,1
69,James Hype feat. Kelli-Leigh,More Than Friends,Warner Music International,6,69,2018-01-05,2018-01-11,2018,1
70,Andreas Gabalier,Hulapalu,Electrola,86,13,2018-01-05,2018-01-11,2018,1
71,Charlie Puth,Attention,Artist Partner Group,34,9,2018-01-05,2018-01-11,2018,1
