current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Capital Bra,One Night Stand,Team Kuku,1,1,2018-06-01,2018-06-07,2018,6
2,Calvin Harris & Dua Lipa,One Kiss,Columbia,8,1,2018-06-01,2018-06-07,2018,6
3,Dennis Lloyd,Nevermind,Warner Music International,10,3,2018-06-01,2018-06-07,2018,6
4,Pietro Lombardi,PhÃ¤nomenal,Universal Domestic Polydor,2,1,2018-06-01,2018-06-07,2018,6
5,Capital Bra feat. Ufo361,Neymar,Team Kuku,5,1,2018-06-01,2018-06-07,2018,6
6,Namika feat. Black M,Je ne parle pas franÃ§ais (Beatgees Remix),Jive Germany,7,5,2018-06-01,2018-06-07,2018,6
7,Summer Cem & Bausa,Casanova,Banger Musik,1,7,2018-06-01,2018-06-07,2018,6
8,"Gzuz feat. Bonez MC, Maxwell & Ufo361",Ãœber Nacht,Universal Domestic Vertigo,2,6,2018-06-01,2018-06-07,2018,6
9,Gzuz,Wolke 7,Universal Domestic Vertigo,1,9,2018-06-01,2018-06-07,2018,6
10,David Guetta & Sia,Flames,Parlophone Label Group,10,7,2018-06-01,2018-06-07,2018,6
11,Kay One feat. Mike Singer,Netflix & Chill,Embassy of Music,1,11,2018-06-01,2018-06-07,2018,6
12,Wincent Weiss,An Wunder,Universal Domestic Vertigo,7,12,2018-06-01,2018-06-07,2018,6
13,Post Malone,Better Now,Universal,5,11,2018-06-01,2018-06-07,2018,6
14,Eli,Change Your Mind,Prime Entertainment Records,7,14,2018-06-01,2018-06-07,2018,6
15,Alvaro Soler,La cintura,Airforce1,9,15,2018-06-01,2018-06-07,2018,6
16,Summer Cem,Tamam Tamam,Banger Musik,6,7,2018-06-01,2018-06-07,2018,6
17,Shawn Mendes,In My Blood,Island,10,8,2018-06-01,2018-06-07,2018,6
18,Olexesh feat. Edin,Magisch,385ideal,15,1,2018-06-01,2018-06-07,2018,6
19,Gzuz,Â¿Warum?,Universal Domestic Vertigo,3,4,2018-06-01,2018-06-07,2018,6
20,Die Fantastischen Vier feat. Clueso,Zusammen,Columbia,10,12,2018-06-01,2018-06-07,2018,6
21,Ramz,Barking,Polydor,14,4,2018-06-01,2018-06-07,2018,6
22,Kontra K feat. RAF Camora,Fame,BMG,4,6,2018-06-01,2018-06-07,2018,6
23,Marshmello & Anne-Marie,Friends,Atlantic,16,1,2018-06-01,2018-06-07,2018,6
24,Kygo feat. Miguel,Remind Me To Forget,Kygo,11,14,2018-06-01,2018-06-07,2018,6
25,Ariana Grande,No Tears Left To Cry,Universal,6,2,2018-06-01,2018-06-07,2018,6
26,Nicky Jam x J Balvin,X,Sony Music,13,13,2018-06-01,2018-06-07,2018,6
27,Gzuz feat. Trettmann,Nur mit den Echten,Universal Domestic Vertigo,1,27,2018-06-01,2018-06-07,2018,6
28,Gzuz feat. Bonez MC,Was erlebt,Universal Domestic Vertigo,5,3,2018-06-01,2018-06-07,2018,6
29,Summer Cem feat. KC Rebell & Capital Bra,Chinchilla,Banger Musik,3,11,2018-06-01,2018-06-07,2018,6
30,El Profesor,Bella ciao (Hugel Remix),Kontor Records,3,30,2018-06-01,2018-06-07,2018,6
31,Capital Bra,5 Songs in einer Nacht,Team Kuku,8,1,2018-06-01,2018-06-07,2018,6
32,Dardan und Nimo,Piccos,Universal Domestic Urban,1,32,2018-06-01,2018-06-07,2018,6
33,Luis Fonsi & Demi Lovato,Ã‰chame la culpa,Universal,28,6,2018-06-01,2018-06-07,2018,6
34,Michael Schulte,You Let Me Walk Alone,Very Us Records,4,3,2018-06-01,2018-06-07,2018,6
35,Robin Schulz & Marc Scibilia,Unforgettable,Warner Music Germany,15,13,2018-06-01,2018-06-07,2018,6
36,Gzuz,Halftime,Universal Domestic Vertigo,1,36,2018-06-01,2018-06-07,2018,6
37,Selena Gomez,Back To You,Interscope,3,30,2018-06-01,2018-06-07,2018,6
38,Gzuz,Niemals satt,Universal Domestic Vertigo,1,38,2018-06-01,2018-06-07,2018,6
39,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days,Atlantic,19,3,2018-06-01,2018-06-07,2018,6
40,Clean Bandit feat. Demi Lovato,Solo,Atlantic,2,33,2018-06-01,2018-06-07,2018,6
41,Sean Paul + David Guetta feat. Becky G,Mad Love,Island,15,10,2018-06-01,2018-06-07,2018,6
42,Kalash feat. Damso,Mwaka Moon,Capitol,4,26,2018-06-01,2018-06-07,2018,6
43,George Ezra,Paradise,Columbia,13,24,2018-06-01,2018-06-07,2018,6
44,Gzuz feat. LX,DrÃ¼ck drÃ¼ck,Universal Domestic Vertigo,9,11,2018-06-01,2018-06-07,2018,6
45,Drake,Nice For What,Young Money,8,9,2018-06-01,2018-06-07,2018,6
46,Gzuz,TrÃ¤ume,Universal Domestic Vertigo,1,46,2018-06-01,2018-06-07,2018,6
47,Lil Dicky feat. Chris Brown,Freaky Friday,Commission Records,11,21,2018-06-01,2018-06-07,2018,6
48,"Cardi B, Bad Bunny & J Balvin",I Like It,Atlantic,7,41,2018-06-01,2018-06-07,2018,6
49,Drake,God's Plan,Motown,19,1,2018-06-01,2018-06-07,2018,6
50,Lost Frequencies feat. James Blunt,Melody,Kontor Records,5,50,2018-06-01,2018-06-07,2018,6
51,Bausa,Was du Liebe nennst,Warner Music Germany,35,1,2018-06-01,2018-06-07,2018,6
52,Rea Garvey feat. Kool Savas,Is It Love?,Universal Domestic Island,18,20,2018-06-01,2018-06-07,2018,6
53,Nicky Jam feat. Will Smith & Era Istrefi,Live It Up,Sony Music,1,53,2018-06-01,2018-06-07,2018,6
54,Ed Sheeran,Perfect,Atlantic,44,1,2018-06-01,2018-06-07,2018,6
55,Gzuz,Bis dass der Tod uns scheidet,Universal Domestic Vertigo,1,55,2018-06-01,2018-06-07,2018,6
56,Zedd / Maren Morris / Grey,The Middle,Interscope,18,15,2018-06-01,2018-06-07,2018,6
57,Gzuz,Neuer Tag neues Drama,Universal Domestic Vertigo,1,57,2018-06-01,2018-06-07,2018,6
58,David Guetta / Martin Garrix / Brooks,Like I Do,Parlophone Label Group,14,23,2018-06-01,2018-06-07,2018,6
59,Tom Walker,Leave A Light On,Relentless Records,22,8,2018-06-01,2018-06-07,2018,6
60,Liam Payne & J Balvin,Familiar,Capitol,5,60,2018-06-01,2018-06-07,2018,6
61,Gzuz,Diskutieren?!,Universal Domestic Vertigo,1,61,2018-06-01,2018-06-07,2018,6
62,Daddy Yankee,Dura,EMI,14,60,2018-06-01,2018-06-07,2018,6
63,Rooz x MoTrip,Immer wieder,Universal Domestic Urban,12,25,2018-06-01,2018-06-07,2018,6
64,Shawn Mendes feat. Khalid,Youth,Island,4,43,2018-06-01,2018-06-07,2018,6
65,Gzuz,Â¿Was hast du gedacht?,187 Strassenbande,7,5,2018-06-01,2018-06-07,2018,6
66,Kurdo,Bugatti Veyron,Universal Domestic Urban,2,41,2018-06-01,2018-06-07,2018,6
67,Camila Cabello feat. Young Thug,Havana,Epic,41,2,2018-06-01,2018-06-07,2018,6
68,A$AP Rocky feat. Skepta,Praise The Lord (Da Shine),A$AP Worldwide,1,68,2018-06-01,2018-06-07,2018,6
69,Sun Diego,Eloah,BBM Records,8,6,2018-06-01,2018-06-07,2018,6
70,Kontra K,Oder nicht,BMG,7,25,2018-06-01,2018-06-07,2018,6
71,Post Malone feat. 21 Savage,Rockstar,Universal,37,2,2018-06-01,2018-06-07,2018,6
72,Luis Fonsi feat. Daddy Yankee,Despacito,Universal,70,1,2018-06-01,2018-06-07,2018,6
73,Kay One feat. Pietro Lombardi,SeÃ±orita,Princekayone GmbH,38,1,2018-06-01,2018-06-07,2018,6
74,Justin Timberlake feat. Chris Stapleton,Say Something,RCA International,18,9,2018-06-01,2018-06-07,2018,6
75,Ed Sheeran,Happier,Atlantic,10,16,2018-06-01,2018-06-07,2018,6
76,Azet,Ãœberlebt,KMN Gang,9,28,2018-06-01,2018-06-07,2018,6
77,Rita Ora / Cardi B / Bebe Rexha / Charli XCX,Girls,Atlantic,2,77,2018-06-01,2018-06-07,2018,6
78,Khalid x Normani,Love Lies,RCA International,15,36,2018-06-01,2018-06-07,2018,6
79,Dua Lipa,IDGAF,Universal Domestic Urban,19,12,2018-06-01,2018-06-07,2018,6
80,LEA,Zu dir,Four Music,1,80,2018-06-01,2018-06-07,2018,6
81,LEA,Leiser,Four Music,26,13,2018-06-01,2018-06-07,2018,6
82,Jax Jones feat. Ina Wroldsen,Breathe,Polydor,21,15,2018-06-01,2018-06-07,2018,6
83,Mikolas Josef,Lie To Me,RCA Domestic,3,29,2018-06-01,2018-06-07,2018,6
84,Felix Jaehn feat. Marc E. Bassy & Gucci Mane,Cool,Virgin Records,16,39,2018-06-01,2018-06-07,2018,6
85,Post Malone feat. Ty Dolla $ign,Psycho,Universal,14,6,2018-06-01,2018-06-07,2018,6
86,Shawn Mendes,Nervous,Island,1,86,2018-06-01,2018-06-07,2018,6
87,Ed Sheeran,Shape Of You,Atlantic,73,1,2018-06-01,2018-06-07,2018,6
88,Childish Gambino,This Is America,RCA International,4,39,2018-06-01,2018-06-07,2018,6
89,The Chainsmokers,Sick Boy,Columbia,19,5,2018-06-01,2018-06-07,2018,6
90,Jason Derulo,Colors,Beluga Heights,9,75,2018-06-01,2018-06-07,2018,6
91,Alle Farben & Rhodes,H.O.L.Y.,B1 Recordings,2,91,2018-06-01,2018-06-07,2018,6
92,Nico Santos,Rooftop,Virgin Records,29,5,2018-06-01,2018-06-07,2018,6
93,Jonas Blue feat. Jack & Jack,Rise,Positiva,1,93,2018-06-01,2018-06-07,2018,6
94,J Balvin & Willy William,Mi gente,B1 Recordings,48,3,2018-06-01,2018-06-07,2018,6
95,Moe Phoenix,Mama / Baba,Life Is Pain,6,46,2018-06-01,2018-06-07,2018,6
96,Loud Luxury feat. Brando,Body,Kontor Records,1,96,2018-06-01,2018-06-07,2018,6
97,Nimo,Akzeptier'n uns nicht,Universal Domestic Urban,2,69,2018-06-01,2018-06-07,2018,6
98,Max Giesinger,Legenden,BMG,2,64,2018-06-01,2018-06-07,2018,6
99,MC Fioti / Future / J Balvin / Stefflon Don / Juan Magan,Bum bum tam tam,Kontor Records,19,51,2018-06-01,2018-06-07,2018,6
100,RAF Camora,Maserati,Indipendenza,6,11,2018-06-01,2018-06-07,2018,6
