current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,16,1,2018-09-28,2018-10-04,2018,9
2,Bonez MC & RAF Camora feat. Gzuz,Kokain,Universal Domestic Vertigo,2,1,2018-09-28,2018-10-04,2018,9
3,Veysel feat. Gzuz,UFF,Bela Boyz,1,3,2018-09-28,2018-10-04,2018,9
4,Loredana x Mozzik,Bonnie & Clyde,Loredana,2,3,2018-09-28,2018-10-04,2018,9
5,Farid Bang x Capo x 6ix9ine feat. Sch,International Gangstas,Banger Musik,1,5,2018-09-28,2018-10-04,2018,9
6,Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,8,2,2018-09-28,2018-10-04,2018,9
7,Calvin Harris & Sam Smith,Promises,Columbia,6,5,2018-09-28,2018-10-04,2018,9
8,RIN,Dior 2001,Division,6,4,2018-09-28,2018-10-04,2018,9
9,Dardan,Facetime,Hypnotize Entertainment,6,7,2018-09-28,2018-10-04,2018,9
10,Kanye West & Lil Pump,I Love It,Def Jam,3,10,2018-09-28,2018-10-04,2018,9
11,Capital Bra feat. Juju,Melodien,Bushido,8,1,2018-09-28,2018-10-04,2018,9
12,Lil Peep & XXXTentacion,Falling Down,Columbia,1,12,2018-09-28,2018-10-04,2018,9
13,El Profesor,Bella ciao (Hugel Remix),Kontor Records,20,2,2018-09-28,2018-10-04,2018,9
14,Loud Luxury feat. Brando,Body,Kontor Records,18,7,2018-09-28,2018-10-04,2018,9
15,George Ezra,Shotgun,Columbia,10,12,2018-09-28,2018-10-04,2018,9
16,Armin van Buuren,Blah Blah Blah,Kontor Records,11,11,2018-09-28,2018-10-04,2018,9
17,Clean Bandit feat. Demi Lovato,Solo,Atlantic,19,1,2018-09-28,2018-10-04,2018,9
18,Bonez MC & RAF Camora,Risiko,Universal Domestic Vertigo,5,2,2018-09-28,2018-10-04,2018,9
19,Marshmello & Bastille,Happier,Astralwerk,6,19,2018-09-28,2018-10-04,2018,9
20,Maroon 5 feat. Cardi B,Girls Like You,Interscope,17,9,2018-09-28,2018-10-04,2018,9
21,LEA x Cyril,Immer wenn wir uns sehn,Four Music,6,21,2018-09-28,2018-10-04,2018,9
22,"Benny Blanco, Halsey & Khalid",Eastside,Universal,11,18,2018-09-28,2018-10-04,2018,9
23,Leon MachÃ¨re,Copacabana,PMR Music,9,13,2018-09-28,2018-10-04,2018,9
24,Jonas Blue feat. Jack & Jack,Rise,Virgin Records,18,8,2018-09-28,2018-10-04,2018,9
25,Panic! At The Disco,High Hopes,Atlantic,8,25,2018-09-28,2018-10-04,2018,9
26,Kollegah,Wie ein Alpha,Alpha Music Empire,1,26,2018-09-28,2018-10-04,2018,9
27,Summer Cem & Bausa,Casanova,Banger Musik,18,4,2018-09-28,2018-10-04,2018,9
28,Kurdo,Wellou,Universal Domestic Urban,1,28,2018-09-28,2018-10-04,2018,9
29,Bausa,Vagabund,Warner Music Germany,5,10,2018-09-28,2018-10-04,2018,9
30,Josh.,Cordula GrÃ¼n,echopilot music,5,30,2018-09-28,2018-10-04,2018,9
31,Azzi Memo feat. Nimo,BlaBla,Generation Azzlack,3,14,2018-09-28,2018-10-04,2018,9
32,"Alle Farben, Kelvin Jones & Younotus",Only Thing We Know,B1 Recordings,13,20,2018-09-28,2018-10-04,2018,9
33,Rita Ora,Let You Love Me,Atlantic,1,33,2018-09-28,2018-10-04,2018,9
34,David Guetta feat. Anne-Marie,Don't Leave Me Alone,Parlophone Label Group,9,32,2018-09-28,2018-10-04,2018,9
35,Eno,Mercedes,Alles Oder Nix Records,10,6,2018-09-28,2018-10-04,2018,9
36,Dean Lewis,Be Alright,Universal,6,36,2018-09-28,2018-10-04,2018,9
37,Dennis Lloyd,Nevermind,Warner Music International,27,3,2018-09-28,2018-10-04,2018,9
38,Eminem feat. Joyner Lucas,Lucky You,Interscope,4,19,2018-09-28,2018-10-04,2018,9
39,Namika feat. Black M,Je ne parle pas franÃ§ais (Beatgees Remix),Jive Germany,24,1,2018-09-28,2018-10-04,2018,9
40,Robin Schulz & Piso 21,Oh Child,Warner Music Germany,14,19,2018-09-28,2018-10-04,2018,9
41,Bushido,Mephisto,Bushido,2,7,2018-09-28,2018-10-04,2018,9
42,Drake,In My Feelings,Republic Records,13,4,2018-09-28,2018-10-04,2018,9
43,"Cardi B, Bad Bunny & J Balvin",I Like It,Atlantic,24,14,2018-09-28,2018-10-04,2018,9
44,Calvin Harris & Dua Lipa,One Kiss,Columbia,25,1,2018-09-28,2018-10-04,2018,9
45,Capital Bra,One Night Stand,Team Kuku,18,1,2018-09-28,2018-10-04,2018,9
46,AK Ausserkontrolle feat. Veysel,Unterwegs,Universal Domestic Vertigo,4,26,2018-09-28,2018-10-04,2018,9
47,Jason Derulo x David Guetta feat. Nicki Minaj and Willy William,Goodbye,Beluga Heights,5,47,2018-09-28,2018-10-04,2018,9
48,Felix Jaehn feat. R. City & Bori,Jennie,Virgin Records,15,40,2018-09-28,2018-10-04,2018,9
49,Nico Santos,Safe,Virgin Records,13,24,2018-09-28,2018-10-04,2018,9
50,Capital Bra feat. Ufo361,Neymar,Team Kuku,22,1,2018-09-28,2018-10-04,2018,9
51,Kris Kross Amsterdam x The Boy Next Door feat. Conor Maynard,Whenever,Spinnin' Records,4,46,2018-09-28,2018-10-04,2018,9
52,6ix9ine feat. Nicki Minaj & Murda Beatz,Fefe,ScumGang Records,10,16,2018-09-28,2018-10-04,2018,9
53,Kygo & Imagine Dragons,Born To Be Yours,B1 Recordings,15,22,2018-09-28,2018-10-04,2018,9
54,Anne-Marie,2002,Atlantic,19,18,2018-09-28,2018-10-04,2018,9
55,Imagine Dragons,Natural,Interscope,6,55,2018-09-28,2018-10-04,2018,9
56,Ed Sheeran,Perfect,Atlantic,61,1,2018-09-28,2018-10-04,2018,9
57,Mert,Ruf mich nicht an,Husla Music,1,57,2018-09-28,2018-10-04,2018,9
58,LEA,Zu dir,Four Music,13,54,2018-09-28,2018-10-04,2018,9
59,Alvaro Soler,La cintura,Airforce1,26,7,2018-09-28,2018-10-04,2018,9
60,Miami Yacine,Testarossa,KMN Gang,6,21,2018-09-28,2018-10-04,2018,9
61,Eno feat. Raschid Moussa,Cane cane,Alles Oder Nix Records,2,25,2018-09-28,2018-10-04,2018,9
62,AnnenMayKantereit,Marie,Universal Domestic Vertigo,1,62,2018-09-28,2018-10-04,2018,9
63,TiÃ«sto & Dzeko feat. Preme & Post Malone,Jackie Chan,Virgin Records,15,25,2018-09-28,2018-10-04,2018,9
64,LSD (Labrinth / Sia / Diplo),Thunderclouds,Columbia,4,56,2018-09-28,2018-10-04,2018,9
65,"DJ Khaled feat. Justin Bieber, Chance The Rapper & Quavo",No Brainer,Epic,9,15,2018-09-28,2018-10-04,2018,9
66,Bushido feat. Samra & Capital Bra,FÃ¼r euch alle,Bushido,12,1,2018-09-28,2018-10-04,2018,9
67,David Guetta & Sia,Flames,Parlophone Label Group,27,7,2018-09-28,2018-10-04,2018,9
68,Post Malone,Better Now,Universal,22,11,2018-09-28,2018-10-04,2018,9
69,Avril Lavigne,Head Above Water,BMG,1,69,2018-09-28,2018-10-04,2018,9
70,Juice WRLD,Lucid Dreams (Forget Me),Juice WRLD Mixtape,17,36,2018-09-28,2018-10-04,2018,9
71,Khalid,Better,Right Hand Music Group,2,69,2018-09-28,2018-10-04,2018,9
72,Luciano [DE],Ballin,Universal Domestic Urban,11,10,2018-09-28,2018-10-04,2018,9
73,Martin Garrix feat. Khalid,Ocean,B1 Recordings,15,38,2018-09-28,2018-10-04,2018,9
74,Veysel,Habibo,Universal Domestic Urban,13,9,2018-09-28,2018-10-04,2018,9
75,Bausa,Was du Liebe nennst,Warner Music Germany,52,1,2018-09-28,2018-10-04,2018,9
76,Silk City & Dua Lipa feat. Diplo & Mark Ronson,Electricity,Columbia,3,64,2018-09-28,2018-10-04,2018,9
77,Azet,Nike Pullover,KMN Gang,8,18,2018-09-28,2018-10-04,2018,9
78,Summer Cem,Tamam Tamam,Banger Musik,23,7,2018-09-28,2018-10-04,2018,9
79,French Montana feat. Drake,No Stylist,Epic,1,79,2018-09-28,2018-10-04,2018,9
80,"Cro, Trettmann & KitschKrieg",10419,Truworks Records,3,24,2018-09-28,2018-10-04,2018,9
81,Eminem,Killshot,"Aftermath/12 Tone Music, LLC",1,81,2018-09-28,2018-10-04,2018,9
82,Zedd & Elley DuhÃ©,Happy Now,Umgri,10,64,2018-09-28,2018-10-04,2018,9
83,XXXTentacion,Sad!,Bad Vibes Forever,23,12,2018-09-28,2018-10-04,2018,9
84,Bazzi,Beautiful,Atlantic,6,79,2018-09-28,2018-10-04,2018,9
85,Gringo feat. 6ix9ine,Gigi (Zkittlez),SLS Music,8,6,2018-09-28,2018-10-04,2018,9
86,Eno,Penthouse,Alles Oder Nix Records,15,30,2018-09-28,2018-10-04,2018,9
