current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Shirin David,90-60-111,Juicy Money Records,1,1,2020-05-01,2020-05-07,2020,5
2,Ufo361,Emotions,Stay High,1,2,2020-05-01,2020-05-07,2020,5
3,The Weeknd,Blinding Lights,Republic Records,22,1,2020-05-01,2020-05-07,2020,5
4,SAINt JHN,Roses (Imanbek Remix),B1 Recordings,22,3,2020-05-01,2020-05-07,2020,5
5,Drake,Toosie Slide,Republic Records,4,2,2020-05-01,2020-05-07,2020,5
6,Topic feat. A7S,Breaking Me,Virgin Records,17,3,2020-05-01,2020-05-07,2020,5
7,Surf Mesa feat. Emilee,ILY (I Love You Baby),Astralwerk,6,7,2020-05-01,2020-05-07,2020,5
8,The Scotts [Travis Scott & Kid Cudi],The Scotts,SME - Epic,1,8,2020-05-01,2020-05-07,2020,5
9,Samra,BaeBae,Urban,3,2,2020-05-01,2020-05-07,2020,5
10,Robin Schulz feat. Alida,In Your Eyes,Warner Music Germany,16,5,2020-05-01,2020-05-07,2020,5
11,Ava Max,Salt,Atlantic,11,10,2020-05-01,2020-05-07,2020,5
12,Tones And I,Dance Monkey,Bad Batch Records,38,1,2020-05-01,2020-05-07,2020,5
13,Kayef,Ich würd' lügen,Recordjet,4,13,2020-05-01,2020-05-07,2020,5
14,Ufo361,Final Fantasy,Stay High,2,7,2020-05-01,2020-05-07,2020,5
15,Nea,Some Say,SME - Milkshake,13,15,2020-05-01,2020-05-07,2020,5
16,Samra & Capital Bra,365 Tage,Urban,2,4,2020-05-01,2020-05-07,2020,5
17,Ufo361,Allein sein,Stay High,5,3,2020-05-01,2020-05-07,2020,5
18,Dardan,Wie lang?????????,Hypnotize Entertainment,2,9,2020-05-01,2020-05-07,2020,5
19,Powfu feat. Beabadoobee,Death Bed,SME - Independently Popular.,8,18,2020-05-01,2020-05-07,2020,5
20,Apache 207,Roller,SME - Two Sides,36,1,2020-05-01,2020-05-07,2020,5
21,Céline [DE],Tränen aus Kajal,BTGS,4,21,2020-05-01,2020-05-07,2020,5
22,The Rolling Stones,Living In A Ghost Town,Polydor,1,22,2020-05-01,2020-05-07,2020,5
23,Loredana x Zuna,Du bist mein,KMN Gang,5,1,2020-05-01,2020-05-07,2020,5
24,Symba [DE],Angels sippen,SME - Symba,5,13,2020-05-01,2020-05-07,2020,5
25,Bonez MC,Shotz Fired,187 Strassenbande,3,4,2020-05-01,2020-05-07,2020,5
26,Benee feat. Gus Dapperton,Supalonely,Universal,7,26,2020-05-01,2020-05-07,2020,5
27,Shindy,What's Luv,SME - Friends With Money,4,3,2020-05-01,2020-05-07,2020,5
28,Dardan & Monet192,H <3 T E L,Hypnotize Entertainment,6,2,2020-05-01,2020-05-07,2020,5
29,Ava Max,Kings & Queens,Atlantic,7,29,2020-05-01,2020-05-07,2020,5
30,Dua Lipa,Physical,Urban,13,14,2020-05-01,2020-05-07,2020,5
31,DaBaby feat. Roddy Ricch,Rockstar,Interscope,2,31,2020-05-01,2020-05-07,2020,5
32,Elias [DE],Underdog,SME - Epic Domestic,1,32,2020-05-01,2020-05-07,2020,5
33,Ufo361 feat. Future,Big Drip,Stay High,7,2,2020-05-01,2020-05-07,2020,5
34,Dua Lipa,Don't Start Now,Urban,26,10,2020-05-01,2020-05-07,2020,5
35,Regard,Ride It,B1 Recordings/Ministry of Sound,32,4,2020-05-01,2020-05-07,2020,5
36,Ufo361,Fokus auf die Zukunft,Stay High,2,26,2020-05-01,2020-05-07,2020,5
37,LEA,Treppenhaus,SME - Four Music,8,18,2020-05-01,2020-05-07,2020,5
38,Alicia Keys,Underdog,SME - RCA International,8,24,2020-05-01,2020-05-07,2020,5
39,Ufo361,Rich Rich,Stay High,7,2,2020-05-01,2020-05-07,2020,5
40,Doja Cat,Boss Bitch,Atlantic,7,31,2020-05-01,2020-05-07,2020,5
41,Roddy Ricch,The Box,Atlantic,17,12,2020-05-01,2020-05-07,2020,5
42,Travis Scott,Highest In The Room,SME - Epic,22,8,2020-05-01,2020-05-07,2020,5
43,Travis Scott,Sicko Mode,SME - Epic,25,43,2020-05-01,2020-05-07,2020,5
44,Ufo361,"Bad Girls, Good Vibes",Stay High,7,4,2020-05-01,2020-05-07,2020,5
