current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Nimo & Hava,Kein Schlaf,Urban,1,1,2019-12-13,2019-12-19,2019,12
2,Samra,Colt,Urban,1,2,2019-12-13,2019-12-19,2019,12
3,Tones And I,Dance Monkey,Bad Batch Records,18,1,2019-12-13,2019-12-19,2019,12
4,Apache 207,Roller,SME - Two Sides,16,1,2019-12-13,2019-12-19,2019,12
5,Capital Bra,Der Bratan bleibt der gleiche,Urban,2,1,2019-12-13,2019-12-19,2019,12
6,Shindy,Tiffany,SME - Friends With Money,1,6,2019-12-13,2019-12-19,2019,12
7,Mariah Carey,All I Want For Christmas Is You,SME - Columbia,67,2,2019-12-13,2019-12-19,2019,12
8,RIN,Alien,SME - Division,1,8,2019-12-13,2019-12-19,2019,12
9,RIN & Bausa,Keine Liebe,SME - Division,8,5,2019-12-13,2019-12-19,2019,12
10,Wham!,Last Christmas,SME - Epic,138,3,2019-12-13,2019-12-19,2019,12
11,"The Cratez, Luciano & Kontra K",Himmel grau,SME - RBK,1,11,2019-12-13,2019-12-19,2019,12
12,Capital Bra x Samra & Lea,110,Urban,12,1,2019-12-13,2019-12-19,2019,12
13,Regard,Ride It,B1 Recordings,12,7,2019-12-13,2019-12-19,2019,12
14,Apache 207,Wieso tust Du dir das an?,SME - Two Sides,8,1,2019-12-13,2019-12-19,2019,12
15,The Weeknd,Blinding Lights,Republic Records,2,11,2019-12-13,2019-12-19,2019,12
16,Apache 207,200 km/h,SME - Two Sides,12,4,2019-12-13,2019-12-19,2019,12
17,Bausa x Joshi Mizu x Maxwell,Skifahren,SME - RBK,4,4,2019-12-13,2019-12-19,2019,12
18,Tyga,Ayy Macarena,SME - Columbia,4,12,2019-12-13,2019-12-19,2019,12
19,Nimo,Karma,Urban,6,4,2019-12-13,2019-12-19,2019,12
20,Mark Forster,194 Länder,SME - Four Music,12,13,2019-12-13,2019-12-19,2019,12
21,Apache 207,Doch in der Nacht,SME - Two Sides,5,7,2019-12-13,2019-12-19,2019,12
22,RIN,Bietigheimication,SME - Division,2,15,2019-12-13,2019-12-19,2019,12
23,Sido feat. Apache 207,2002,Urban,11,6,2019-12-13,2019-12-19,2019,12
24,Dua Lipa,Don't Start Now,Urban,6,16,2019-12-13,2019-12-19,2019,12
25,RIN,Vintage,SME - Division,9,6,2019-12-13,2019-12-19,2019,12
26,Juju feat. Henning May,Vermissen,Jinx Music,32,1,2019-12-13,2019-12-19,2019,12
27,Melanie Thornton,Wonderful Dream (Holidays Are Coming),X-Cell,115,3,2019-12-13,2019-12-19,2019,12
28,Kianush & PA Sports,Casino Royal,Life Is Pain,1,28,2019-12-13,2019-12-19,2019,12
29,Billie Eilish,Everything I Wanted,Universal,4,9,2019-12-13,2019-12-19,2019,12
30,Chris Rea,Driving Home For Christmas,Warner Music International,56,5,2019-12-13,2019-12-19,2019,12
31,Pietro Lombardi x Dardan,Standort,Universal Domestic Polydor,1,31,2019-12-13,2019-12-19,2019,12
32,Veysel,Sorry,Urban,2,18,2019-12-13,2019-12-19,2019,12
33,Maroon 5,Memories,A&M Records,12,21,2019-12-13,2019-12-19,2019,12
34,Summer Cem,Mambo No. 5,Banger Musik,1,34,2019-12-13,2019-12-19,2019,12
35,Ariana Grande,Santa Tell Me,Universal,11,14,2019-12-13,2019-12-19,2019,12
36,Lewis Capaldi,Someone You Loved,Universal Domestic Vertigo,45,18,2019-12-13,2019-12-19,2019,12
37,Shakin' Stevens,Merry Christmas Everyone,SME - Epic,14,9,2019-12-13,2019-12-19,2019,12
38,Juice WRLD,Lucid Dreams (Forget Me),Juice WRLD Mixtape,22,36,2019-12-13,2019-12-19,2019,12
39,Blackbear,Hot Girl Bummer,Interscope,10,17,2019-12-13,2019-12-19,2019,12
40,Billie Eilish,Bad Guy,Universal,37,4,2019-12-13,2019-12-19,2019,12
41,Post Malone,Circles,Republic Records,15,17,2019-12-13,2019-12-19,2019,12
42,LUM!X & Gabry Ponte,Monster,Spinnin' Records,20,20,2019-12-13,2019-12-19,2019,12
43,Capital Bra x Samra,Tilidin,Urban,25,1,2019-12-13,2019-12-19,2019,12
44,Arizona Zervas,Roxanne,SME - Arizona Zervas,5,35,2019-12-13,2019-12-19,2019,12
45,Riton x Oliver Heldens feat. Vula,Turn Me On,SME - Ministry Of Sound,6,42,2019-12-13,2019-12-19,2019,12
46,Apache 207,Sex mit dir,SME - Two Sides,5,13,2019-12-13,2019-12-19,2019,12
47,Lil Nas X,Old Town Road,SME - Columbia,37,1,2019-12-13,2019-12-19,2019,12
48,Apache 207,Kein Problem,SME - Two Sides,16,17,2019-12-13,2019-12-19,2019,12
49,SSIO / Wanja Janeva,Warum lügst du?,Alles Oder Nix Records,1,49,2019-12-13,2019-12-19,2019,12
50,Fero47,Désolé,SME - Epic,2,25,2019-12-13,2019-12-19,2019,12
51,Shawn Mendes & Camila Cabello,Señorita,Island,25,1,2019-12-13,2019-12-19,2019,12
52,Michael Bublé,It's Beginning To Look A Lot Like Christmas,Reprise,13,15,2019-12-13,2019-12-19,2019,12
53,Meduza x Becky Hill x Goodboys,Lose Control,Virgin Records,9,32,2019-12-13,2019-12-19,2019,12
54,Miami Yacine feat. Azet,Hayabusa,KMN Gang,2,17,2019-12-13,2019-12-19,2019,12
55,Tim Bendzko,Hoch,SME - Jive Germany,17,10,2019-12-13,2019-12-19,2019,12
56,RIN,Up In Smoke,SME - Division,11,2,2019-12-13,2019-12-19,2019,12
57,Sarah Connor,Vincent,Universal Domestic Polydor,36,9,2019-12-13,2019-12-19,2019,12
58,RIN,Fabergé,SME - Division,10,7,2019-12-13,2019-12-19,2019,12
59,John & Yoko / The Plastic Ono Band with The Harlem Community Choir,Happy Xmas (War Is Over),EMI,25,10,2019-12-13,2019-12-19,2019,12
60,The Cratez & Bonez MC,Honda Civic,SME - RBK,11,5,2019-12-13,2019-12-19,2019,12
61,Lena x Nico Santos,Better,Universal Domestic Polydor,17,15,2019-12-13,2019-12-19,2019,12
62,Black Eyed Peas x J Balvin,Ritmo (Bad Boys For Life),SME - Epic,6,44,2019-12-13,2019-12-19,2019,12
63,Rolf Zuckowski und seine Freunde,In der Weihnachtsbäckerei,Musik für Dich,12,54,2019-12-13,2019-12-19,2019,12
64,SSIO,Huli,Alles Oder Nix Records,2,24,2019-12-13,2019-12-19,2019,12
65,Ed Sheeran feat. Camila Cabello & Cardi B,South Of The Border,Atlantic,13,33,2019-12-13,2019-12-19,2019,12
66,Paul McCartney,Wonderful Christmastime,Capitol,11,13,2019-12-13,2019-12-19,2019,12
67,RAF Camora feat. Ghetto Phenomene,Puta madre,Indipendenza,9,5,2019-12-13,2019-12-19,2019,12
68,Band Aid,Do They Know It's Christmas?,Mercury,46,1,2019-12-13,2019-12-19,2019,12
69,José Feliciano,Feliz Navidad,SME - RCA International,42,19,2019-12-13,2019-12-19,2019,12
70,Jerome [DE],Light,Kontor Records,7,40,2019-12-13,2019-12-19,2019,12
71,Selena Gomez,Lose You To Love Me,Interscope,8,7,2019-12-13,2019-12-19,2019,12
72,Travis Scott,Highest In The Room,SME - Epic,10,8,2019-12-13,2019-12-19,2019,12
73,Samra & Capital Bra,Wieder Lila,Urban,30,1,2019-12-13,2019-12-19,2019,12
74,Kelly Clarkson,Underneath The Tree,SME - RCA International,7,23,2019-12-13,2019-12-19,2019,12
75,Senidah feat. RAF Camora,100%,Bassivity Digital,2,28,2019-12-13,2019-12-19,2019,12
76,Pentatonix,Hallelujah,SME - RCA International,21,4,2019-12-13,2019-12-19,2019,12
77,Meduza feat. Goodboys,Piece Of Your Heart,Virgin Records,32,4,2019-12-13,2019-12-19,2019,12
78,Jamule x Luciano,Athen,Life Is Pain,2,21,2019-12-13,2019-12-19,2019,12
79,Queen,Thank God It's Christmas,Universal,16,16,2019-12-13,2019-12-19,2019,12
80,Azet,Seele,KMN Gang,5,11,2019-12-13,2019-12-19,2019,12
81,Ed Sheeran feat. Khalid,Beautiful People,Atlantic,24,5,2019-12-13,2019-12-19,2019,12
