current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Capital Bra,Prinzessa,Universal Domestic Urban,1,1,2019-02-01,2019-02-07,2019,2
2,Mero,Hobby Hobby,Groove Attack,2,1,2019-02-01,2019-02-07,2019,2
3,Ava Max,Sweet But Psycho,Atlantic,15,1,2019-02-01,2019-02-07,2019,2
4,Ariana Grande,7 Rings,Universal,2,4,2019-02-01,2019-02-07,2019,2
5,Shirin David,Orbit,Shirin David Music,1,5,2019-02-01,2019-02-07,2019,2
6,Capital Bra,Benzema,Universal Domestic Urban,6,1,2019-02-01,2019-02-07,2019,2
7,Shindy,DODI,SME - Friends With Money,3,1,2019-02-01,2019-02-07,2019,2
8,Robin Schulz feat. Erika Sirola,Speechless,Warner Music Germany,11,7,2019-02-01,2019-02-07,2019,2
9,Panic! At The Disco,High Hopes,Atlantic,26,5,2019-02-01,2019-02-07,2019,2
10,Sido,Tausend Tattoos,Universal Domestic Urban,14,2,2019-02-01,2019-02-07,2019,2
11,Halsey,Without Me,Capitol,17,11,2019-02-01,2019-02-07,2019,2
12,Mero,Baller los,Groove Attack,10,1,2019-02-01,2019-02-07,2019,2
13,Fero47,Jaja,SME - Epic Domestic,3,8,2019-02-01,2019-02-07,2019,2
14,Azet & Zuna,Wenn die Sonne untergeht,KMN Gang,2,7,2019-02-01,2019-02-07,2019,2
15,Calvin Harris & Rag'n'Bone Man,Giant,SME - Columbia,3,15,2019-02-01,2019-02-07,2019,2
16,Gringo x Bonez MC,Dschinni,SME - SLS Music,1,16,2019-02-01,2019-02-07,2019,2
17,Kontra K,Warnung,BMG,2,6,2019-02-01,2019-02-07,2019,2
18,Mark Ronson feat. Miley Cyrus,Nothing Breaks Like A Heart,SME - Columbia,9,18,2019-02-01,2019-02-07,2019,2
19,Alle Farben & Ilira,Fading,B1 Recordings,13,16,2019-02-01,2019-02-07,2019,2
20,"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",Standard,SoulForce Records,15,1,2019-02-01,2019-02-07,2019,2
21,"LX & Maxwell feat. Bonez MC, Gzuz & Sa4",HaifischNikez Allstars,187 Strassenbande,5,3,2019-02-01,2019-02-07,2019,2
22,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,34,1,2019-02-01,2019-02-07,2019,2
23,Nimo & Capo,Roadrunner,Universal Domestic Urban,1,23,2019-02-01,2019-02-07,2019,2
24,Post Malone,Wow.,Republic Records,5,22,2019-02-01,2019-02-07,2019,2
25,Dean Lewis,Be Alright,Universal,24,8,2019-02-01,2019-02-07,2019,2
26,Farid Bang,#niemalsantÃ¤uschen,Banger Musik,3,4,2019-02-01,2019-02-07,2019,2
27,Hugel feat. Amber Van Day,WTF,Warner Music International,3,27,2019-02-01,2019-02-07,2019,2
28,Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,26,1,2019-02-01,2019-02-07,2019,2
29,Lady Gaga & Bradley Cooper,Shallow,Interscope,18,10,2019-02-01,2019-02-07,2019,2
30,Nimo & Capo,Shem Shem & Sex,Universal Domestic Urban,3,12,2019-02-01,2019-02-07,2019,2
31,Rita Ora,Let You Love Me,Atlantic,19,12,2019-02-01,2019-02-07,2019,2
32,Samra,Cataleya,SME - Bushido,12,1,2019-02-01,2019-02-07,2019,2
33,Azet & Zuna,Lelele,KMN Gang,6,6,2019-02-01,2019-02-07,2019,2
34,"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Taki Taki,Geffen Records,18,8,2019-02-01,2019-02-07,2019,2
35,Kool Savas feat. Nessi,Deine Mutter,SME - Essah Entertainment ,2,26,2019-02-01,2019-02-07,2019,2
36,Capital Bra feat. Xatar x SAMY,Ich liebe es,SME - Bushido,14,3,2019-02-01,2019-02-07,2019,2
37,C Arma,Yapma,C Arma,4,37,2019-02-01,2019-02-07,2019,2
38,Capo feat. Nimo,Lambo Diablo GT,Warner Music Germany,31,21,2019-02-01,2019-02-07,2019,2
39,"David Guetta, Bebe Rexha & J Balvin",Say My Name,Parlophone Label Group,9,34,2019-02-01,2019-02-07,2019,2
40,Kontra K,Farben,BMG,7,6,2019-02-01,2019-02-07,2019,2
41,Nimo & Capo,Zoey,Universal Domestic Urban,7,8,2019-02-01,2019-02-07,2019,2
42,Lena,Thank You,Universal Domestic Polydor,8,40,2019-02-01,2019-02-07,2019,2
43,Ariana Grande,"Thank U, Next",Republic Records,13,13,2019-02-01,2019-02-07,2019,2
44,Sam Smith & Normani,Dancing With A Stranger,Capitol,3,44,2019-02-01,2019-02-07,2019,2
45,Post Malone & Swae Lee,Sunflower,Universal,14,36,2019-02-01,2019-02-07,2019,2
46,Marshmello & Bastille,Happier,Universal,24,9,2019-02-01,2019-02-07,2019,2
47,Eno,Mercedes,Alles Oder Nix Records,25,6,2019-02-01,2019-02-07,2019,2
48,XXXTentacion x Lil Pump feat. Maluma & Swae Lee,Arms Around You,Warner Music International,14,16,2019-02-01,2019-02-07,2019,2
49,Josh.,Cordula GrÃ¼n,Warner Music Germany,19,27,2019-02-01,2019-02-07,2019,2
50,Capital Bra,Feuer,SME - Bushido,9,4,2019-02-01,2019-02-07,2019,2
51,Loud Luxury feat. Brando,Body,Kontor Records,36,7,2019-02-01,2019-02-07,2019,2
52,Lost Frequencies feat. The NGHBRS,Like I Love You,Kontor Records,10,40,2019-02-01,2019-02-07,2019,2
53,Kerstin Ott & Helene Fischer,Regenbogenfarben,Universal Domestic Polydor,5,20,2019-02-01,2019-02-07,2019,2
54,RIN,Dior 2001,Division,24,4,2019-02-01,2019-02-07,2019,2
55,Calvin Harris & Sam Smith,Promises,SME - Columbia,24,2,2019-02-01,2019-02-07,2019,2
56,Luciano [DE],Meer,Universal Domestic Urban,14,3,2019-02-01,2019-02-07,2019,2
57,Capital Bra feat. Juju,Melodien,SME - Bushido,26,1,2019-02-01,2019-02-07,2019,2
58,"Benny Blanco, Halsey & Khalid",Eastside,Universal,29,15,2019-02-01,2019-02-07,2019,2
59,Dermot Kennedy,Power Over Me,Interscope,2,59,2019-02-01,2019-02-07,2019,2
60,Imagine Dragons,Natural,Interscope,24,16,2019-02-01,2019-02-07,2019,2
61,Ellie Goulding x Diplo feat. Swae Lee,Close To Me,Polydor,6,44,2019-02-01,2019-02-07,2019,2
62,Loredana,Milliondollar$mile,Loredana,8,11,2019-02-01,2019-02-07,2019,2
63,Lukas Graham,Love Someone,Universal Domestic Island,13,33,2019-02-01,2019-02-07,2019,2
64,RAF Camora & AriBeatz feat. Sofiane,Perfekt,SME - Andere Liga,11,5,2019-02-01,2019-02-07,2019,2
65,Mark Forster,Einmal,SME - Four Music,17,24,2019-02-01,2019-02-07,2019,2
66,Dardan,Facetime,Hypnotize Entertainment,24,7,2019-02-01,2019-02-07,2019,2
67,Gesaffelstein & The Weeknd,Lost In The Fire,SME - Columbia,3,49,2019-02-01,2019-02-07,2019,2
68,Bonez MC & RAF Camora feat. Gzuz,Kokain,Universal Domestic Vertigo,20,1,2019-02-01,2019-02-07,2019,2
69,Lauv & Troye Sivan,I'm So Tired...,Lauv,1,69,2019-02-01,2019-02-07,2019,2
70,J. Cole,Middle Child,"Dreamville, Inc.",1,70,2019-02-01,2019-02-07,2019,2
71,Capital Bra,Allein,SME - Bushido,14,2,2019-02-01,2019-02-07,2019,2
72,Nash & Azet,"Crack, Koks, Piece Unternehmen",KMN Gang,4,13,2019-02-01,2019-02-07,2019,2
73,Leon MachÃ¨re,Copacabana,PMR Music,26,13,2019-02-01,2019-02-07,2019,2
74,Kygo feat. Sandro Cavazza,Happy Now,B1 Recordings,12,54,2019-02-01,2019-02-07,2019,2
75,Veysel feat. Gzuz,UFF,Bela Boyz,19,3,2019-02-01,2019-02-07,2019,2
76,Zara Larsson,Ruin My Life,SME - Epic,10,62,2019-02-01,2019-02-07,2019,2
77,Capital Bra feat. Ufo361,Neymar,SME - Team Kuku,38,1,2019-02-01,2019-02-07,2019,2
78,Armin van Buuren,Blah Blah Blah,Kontor Records,29,11,2019-02-01,2019-02-07,2019,2
79,Bad Bunny feat. Drake,Mia,OVO Sound,15,26,2019-02-01,2019-02-07,2019,2
80,Noah & Capital Bra,Quapo,SQP,1,80,2019-02-01,2019-02-07,2019,2
81,Maroon 5 feat. Cardi B,Girls Like You,Interscope,35,9,2019-02-01,2019-02-07,2019,2
82,Ed Sheeran,Perfect,Atlantic,79,1,2019-02-01,2019-02-07,2019,2
83,Imagine Dragons,Bad Liar,Interscope,11,32,2019-02-01,2019-02-07,2019,2
84,Kodak Black feat. Travis Scott & Offset,Zeze,Atlantic,15,37,2019-02-01,2019-02-07,2019,2
85,El Profesor,Bella ciao (Hugel Remix),Kontor Records,38,2,2019-02-01,2019-02-07,2019,2
86,Travis Scott,Sicko Mode,SME - Epic,21,43,2019-02-01,2019-02-07,2019,2
87,LEA x Cyril,Immer wenn wir uns sehn,SME - Four Music,24,16,2019-02-01,2019-02-07,2019,2
88,Summer Cem & Bausa,Casanova,Banger Musik,35,4,2019-02-01,2019-02-07,2019,2
89,Clean Bandit feat. Demi Lovato,Solo,Atlantic,36,1,2019-02-01,2019-02-07,2019,2
90,A Boogie Wit Da Hoodie,Look Back At It,Atlantic,2,90,2019-02-01,2019-02-07,2019,2
91,Capital Bra,One Night Stand,SME - Team Kuku,30,1,2019-02-01,2019-02-07,2019,2
92,FiNCH ASOZiAL,Abfahrt,Warner Music Germany,4,63,2019-02-01,2019-02-07,2019,2
93,Billie Eilish,When The Party's Over,Universal,10,45,2019-02-01,2019-02-07,2019,2
94,Jonas Blue feat. Jack & Jack,Rise,Virgin Records,35,8,2019-02-01,2019-02-07,2019,2
95,Calvin Harris & Dua Lipa,One Kiss,SME - Columbia,42,1,2019-02-01,2019-02-07,2019,2
96,"NOTD, Felix Jaehn & Captain Cuts feat. Georgia Ku",So Close,Virgin Records,1,96,2019-02-01,2019-02-07,2019,2
97,Post Malone,Better Now,Republic Records,35,11,2019-02-01,2019-02-07,2019,2
98,Loredana x Mozzik,Bonnie & Clyde,Loredana,19,3,2019-02-01,2019-02-07,2019,2
99,Dua Lipa,Swan Song,Universal Domestic Urban,1,99,2019-02-01,2019-02-07,2019,2
100,Dendemann feat. Casper,Alle Jubilare wieder,Universal Domestic Vertigo,1,100,2019-02-01,2019-02-07,2019,2
