current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Tones And I,Dance Monkey,Bad Batch Records,10,1,2019-10-18,2019-10-24,2019,10
2,Apache 207,Roller,SME - Two Sides,8,1,2019-10-18,2019-10-24,2019,10
3,Capital Bra x Samra & Lea,110,Universal Domestic Urban,4,1,2019-10-18,2019-10-24,2019,10
4,Apache 207,200 km/h,SME - Two Sides,4,4,2019-10-18,2019-10-24,2019,10
5,RAF Camora feat. Ghetto Phenomene,Puta madre,Indipendenza,1,5,2019-10-18,2019-10-24,2019,10
6,Sido feat. Apache 207,2002,Universal Domestic Urban,3,6,2019-10-18,2019-10-24,2019,10
7,The Cratez & Bonez MC,Honda Civic,SME - RBK,3,5,2019-10-18,2019-10-24,2019,10
8,Capital Bra & Samra,Berlin lebt wie nie zuvor,Universal Domestic Urban,2,5,2019-10-18,2019-10-24,2019,10
9,Travis Scott,Highest In The Room,SME - Cacts Jack,2,8,2019-10-18,2019-10-24,2019,10
10,Tim Bendzko,Hoch,SME - Jive Germany,9,10,2019-10-18,2019-10-24,2019,10
11,Capo,Im Rhythmus gefangen,Warner Music Germany,1,11,2019-10-18,2019-10-24,2019,10
12,Summer Cem feat. Luciano,Summer Cem,Banger Musik,4,6,2019-10-18,2019-10-24,2019,10
13,Regard,Ride It,SME - Ministry Of Sound,4,13,2019-10-18,2019-10-24,2019,10
14,Capital Bra x Samra,Tilidin,Universal Domestic Urban,17,1,2019-10-18,2019-10-24,2019,10
15,Kalim feat. Nimo,Lowrider,Universal Domestic Urban,1,15,2019-10-18,2019-10-24,2019,10
16,Loredana feat. Mero,Kein Plan,Loredana,6,1,2019-10-18,2019-10-24,2019,10
17,Shawn Mendes & Camila Cabello,SeÃ±orita,Island,17,1,2019-10-18,2019-10-24,2019,10
18,Loredana,Genick,Loredana,5,3,2019-10-18,2019-10-24,2019,10
19,RIN,FabergÃ©,SME - Division,3,7,2019-10-18,2019-10-24,2019,10
20,Samra x Capital Bra,Huracan,Universal Domestic Urban,6,3,2019-10-18,2019-10-24,2019,10
21,Ed Sheeran feat. Khalid,Beautiful People,Atlantic,16,5,2019-10-18,2019-10-24,2019,10
22,Loredana feat. Mozzik,Eiskalt,Loredana,11,2,2019-10-18,2019-10-24,2019,10
23,Lewis Capaldi,Someone You Loved,Universal Domestic Vertigo,37,18,2019-10-18,2019-10-24,2019,10
24,Apache 207,Kein Problem,SME - Two Sides,8,21,2019-10-18,2019-10-24,2019,10
25,RAF Camora,Adriana,Indipendenza,4,7,2019-10-18,2019-10-24,2019,10
26,Lena x Nico Santos,Better,Universal Domestic Polydor,9,26,2019-10-18,2019-10-24,2019,10
27,Post Malone,Circles,Republic Records,7,17,2019-10-18,2019-10-24,2019,10
28,LUM!X & Gabry Ponte,Monster,Spinnin' Records,12,20,2019-10-18,2019-10-24,2019,10
29,Ufo361 & Ezhel,Wir sind Kral,Universal Domestic Urban,1,29,2019-10-18,2019-10-24,2019,10
30,Billie Eilish,Bad Guy,Universal,29,4,2019-10-18,2019-10-24,2019,10
31,Lil Nas X,Old Town Road,SME - Columbia,29,1,2019-10-18,2019-10-24,2019,10
32,Vize feat. Laniia,Stars,Kontor Records,17,18,2019-10-18,2019-10-24,2019,10
33,Blackbear,Hot Girl Bummer,Interscope,2,33,2019-10-18,2019-10-24,2019,10
34,Shirin David & Xavier Naidoo,Nur mit dir,Juicy Money Records,4,8,2019-10-18,2019-10-24,2019,10
35,Meduza feat. Goodboys,Piece Of Your Heart,Virgin Records,24,4,2019-10-18,2019-10-24,2019,10
36,Juju feat. Henning May,Vermissen,Jinx Music,24,1,2019-10-18,2019-10-24,2019,10
37,DJ Snake & J Balvin feat. Tyga,Loco contigo,Geffen Records,18,3,2019-10-18,2019-10-24,2019,10
38,Dardan feat. Xiara,Genauso,Hypnotize Entertainment,7,19,2019-10-18,2019-10-24,2019,10
39,SSIO,Hash Hash,Alles Oder Nix Records,3,8,2019-10-18,2019-10-24,2019,10
40,Lotte & Max Giesinger,"Auf das, was da noch kommt",SME - Columbia,6,40,2019-10-18,2019-10-24,2019,10
41,Trettmann & KitschKrieg feat. Alli Neumann,Zeit steht,Soulforce/BMG,5,10,2019-10-18,2019-10-24,2019,10
42,Capital Bra x Samra,Nummer 1,Universal Domestic Urban,8,1,2019-10-18,2019-10-24,2019,10
43,Jamule,Moneyhoneydrip,Life Is Pain,3,23,2019-10-18,2019-10-24,2019,10
44,Mark Forster,194 LÃ¤nder,SME - Four Music,4,44,2019-10-18,2019-10-24,2019,10
