current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Drake,God's Plan,Motown,6,1,2018-03-02,2018-03-08,2018,3
2,Liam Payne & Rita Ora,For You (Fifty Shades Freed),Republic Records,8,1,2018-03-02,2018-03-08,2018,3
3,Olexesh feat. Edin,Magisch,385ideal,2,3,2018-03-02,2018-03-08,2018,3
4,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days,Atlantic,6,4,2018-03-02,2018-03-08,2018,3
5,Eminem feat. Ed Sheeran,River,Interscope,11,2,2018-03-02,2018-03-08,2018,3
6,Post Malone feat. Ty Dolla $ign,Psycho,Universal,1,6,2018-03-02,2018-03-08,2018,3
7,Bausa,Was du Liebe nennst,Warner Music Germany,22,1,2018-03-02,2018-03-08,2018,3
8,Marshmello & Anne-Marie,Friends,Atlantic,3,8,2018-03-02,2018-03-08,2018,3
9,The Chainsmokers,Sick Boy,Columbia,6,6,2018-03-02,2018-03-08,2018,3
10,Ed Sheeran,Perfect,Atlantic,31,1,2018-03-02,2018-03-08,2018,3
11,Luis Fonsi & Demi Lovato,Ã‰chame la culpa,Universal,15,6,2018-03-02,2018-03-08,2018,3
12,Tom Walker,Leave A Light On,RCA International,9,9,2018-03-02,2018-03-08,2018,3
13,RAF Camora,Corleone,Indipendenza,1,13,2018-03-02,2018-03-08,2018,3
14,Nico Santos,Rooftop,Virgin Records,16,5,2018-03-02,2018-03-08,2018,3
15,Justin Timberlake feat. Chris Stapleton,Say Something,RCA International,5,12,2018-03-02,2018-03-08,2018,3
16,Ufo361,Balenciaga,Stay High,1,16,2018-03-02,2018-03-08,2018,3
17,Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya,So Far Away,B1 Recordings,13,8,2018-03-02,2018-03-08,2018,3
18,Lost Frequencies & Zonderling,Crazy,Kontor Records,10,13,2018-03-02,2018-03-08,2018,3
19,Camila Cabello feat. Young Thug,Havana,Epic,28,2,2018-03-02,2018-03-08,2018,3
20,Jason Derulo feat. French Montana,Tip Toe,Beluga Heights,16,11,2018-03-02,2018-03-08,2018,3
21,Dua Lipa,IDGAF,Universal Domestic Urban,6,21,2018-03-02,2018-03-08,2018,3
22,LEA,Leiser,Four Music,13,13,2018-03-02,2018-03-08,2018,3
23,Post Malone feat. 21 Savage,Rockstar,Universal,24,2,2018-03-02,2018-03-08,2018,3
