current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Marshmello & Anne-Marie,Friends,Atlantic,8,1,2018-04-06,2018-04-12,2018,4
2,Olexesh feat. Edin,Magisch,385ideal,7,1,2018-04-06,2018-04-12,2018,4
3,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days,Atlantic,11,3,2018-04-06,2018-04-12,2018,4
4,Drake,God's Plan,Motown,11,1,2018-04-06,2018-04-12,2018,4
5,Ramz,Barking,Polydor,6,5,2018-04-06,2018-04-12,2018,4
6,The Chainsmokers,Sick Boy,Columbia,11,5,2018-04-06,2018-04-12,2018,4
7,The Weeknd,Call Out My Name,The Weeknd,1,7,2018-04-06,2018-04-12,2018,4
8,Tom Walker,Leave A Light On,Relentless Records,14,8,2018-04-06,2018-04-12,2018,4
9,Justin Timberlake feat. Chris Stapleton,Say Something,RCA International,10,9,2018-04-06,2018-04-12,2018,4
10,Sean Paul + David Guetta feat. Becky G,Mad Love,Island,7,10,2018-04-06,2018-04-12,2018,4
11,Gzuz feat. LX,DrÃ¼ck drÃ¼ck,Universal Domestic Vertigo,1,11,2018-04-06,2018-04-12,2018,4
12,Dua Lipa,IDGAF,Universal Domestic Urban,11,12,2018-04-06,2018-04-12,2018,4
13,Luis Fonsi & Demi Lovato,Ã‰chame la culpa,Universal,20,6,2018-04-06,2018-04-12,2018,4
14,Azet feat. Zuna & Noizy,Kriminell,KMN Gang,3,5,2018-04-06,2018-04-12,2018,4
15,Bausa,Was du Liebe nennst,Warner Music Germany,27,1,2018-04-06,2018-04-12,2018,4
16,Post Malone feat. Ty Dolla $ign,Psycho,Universal,6,6,2018-04-06,2018-04-12,2018,4
17,Zedd / Maren Morris / Grey,The Middle,Interscope,10,15,2018-04-06,2018-04-12,2018,4
18,Ed Sheeran,Perfect,Atlantic,36,1,2018-04-06,2018-04-12,2018,4
19,Nicky Jam x J Balvin,X,Sony Music,5,19,2018-04-06,2018-04-12,2018,4
20,LEA,Leiser,Four Music,18,13,2018-04-06,2018-04-12,2018,4
21,Jax Jones feat. Ina Wroldsen,Breathe,Polydor,13,15,2018-04-06,2018-04-12,2018,4
22,Eminem feat. Ed Sheeran,River,Interscope,16,2,2018-04-06,2018-04-12,2018,4
23,David Guetta / Martin Garrix / Brooks,Like I Do,Parlophone Label Group,6,23,2018-04-06,2018-04-12,2018,4
24,Rea Garvey feat. Kool Savas,Is It Love?,Universal Domestic Island,10,20,2018-04-06,2018-04-12,2018,4
25,Camila Cabello feat. Young Thug,Havana,Epic,33,2,2018-04-06,2018-04-12,2018,4
26,Robin Schulz & Marc Scibilia,Unforgettable,Warner Music Germany,7,26,2018-04-06,2018-04-12,2018,4
27,Nico Santos,Rooftop,Virgin Records,21,5,2018-04-06,2018-04-12,2018,4
28,Azet,Ãœberlebt,KMN Gang,1,28,2018-04-06,2018-04-12,2018,4
29,Shawn Mendes,In My Blood,Island,2,8,2018-04-06,2018-04-12,2018,4
30,Lost Frequencies & Zonderling,Crazy,Kontor Records,15,13,2018-04-06,2018-04-12,2018,4
31,Rooz x MoTrip,Immer wieder,Universal Domestic Urban,4,25,2018-04-06,2018-04-12,2018,4
32,Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya,So Far Away,B1 Recordings,18,8,2018-04-06,2018-04-12,2018,4
33,Post Malone feat. 21 Savage,Rockstar,Universal,29,2,2018-04-06,2018-04-12,2018,4
34,Dennis Lloyd,Nevermind,Warner Music International,2,34,2018-04-06,2018-04-12,2018,4
35,Liam Payne & Rita Ora,For You (Fifty Shades Freed),Republic Records,13,1,2018-04-06,2018-04-12,2018,4
36,Lil Dicky feat. Chris Brown,Freaky Friday,Commission Records,3,36,2018-04-06,2018-04-12,2018,4
37,Jason Derulo feat. French Montana,Tip Toe,Beluga Heights,21,11,2018-04-06,2018-04-12,2018,4
38,Bazzi,Mine,ZZZ Entertainment,8,25,2018-04-06,2018-04-12,2018,4
39,Azet feat. RAF Camora,Qa bone,KMN Gang,15,12,2018-04-06,2018-04-12,2018,4
40,XXXTentacion,Sad!,Bad Vibes Forever,5,33,2018-04-06,2018-04-12,2018,4
41,Felix Jaehn feat. Marc E. Bassy & Gucci Mane,Cool,Virgin Records,8,39,2018-04-06,2018-04-12,2018,4
42,Khalid x Normani,Love Lies,RCA International,7,36,2018-04-06,2018-04-12,2018,4
43,Kygo feat. Miguel,Remind Me To Forget,Kygo,3,41,2018-04-06,2018-04-12,2018,4
44,G-Eazy & Halsey,Him & I,RCA International,18,6,2018-04-06,2018-04-12,2018,4
45,Axwell Λ Ingrosso,Dreamer,Virgin Records,14,34,2018-04-06,2018-04-12,2018,4
46,Alvaro Soler,La cintura,Airforce1,1,46,2018-04-06,2018-04-12,2018,4
47,Azet,Villa in weiss,KMN Gang,1,47,2018-04-06,2018-04-12,2018,4
48,Ed Sheeran,Shape Of You,Atlantic,65,1,2018-04-06,2018-04-12,2018,4
49,Die Fantastischen Vier feat. Clueso,Zusammen,Columbia,2,49,2018-04-06,2018-04-12,2018,4
50,George Ezra,Paradise,Columbia,5,50,2018-04-06,2018-04-12,2018,4
