current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Ufo361,Emotions,Stay High,8,1,2020-06-19,2020-06-25,2020,6
2,Pashanim,Airwaves,Urban,5,2,2020-06-19,2020-06-25,2020,6
3,DaBaby feat. Roddy Ricch,Rockstar,Interscope,9,3,2020-06-19,2020-06-25,2020,6
4,Apache 207,Boot,SME - Two Sides,2,1,2020-06-19,2020-06-25,2020,6
5,Apache 207,Fame,SME - Two Sides,6,1,2020-06-19,2020-06-25,2020,6
6,AK Ausserkontrolle x Bonez MC,In meinem Benz,XY Records,3,1,2020-06-19,2020-06-25,2020,6
7,Mark Forster,Ãœbermorgen,SME - Marecs,7,7,2020-06-19,2020-06-25,2020,6
8,The Weeknd,Blinding Lights,Republic Records,29,1,2020-06-19,2020-06-25,2020,6
9,KC Rebell x Summer Cem feat. Luciano,Valla nein!,Banger Musik,2,2,2020-06-19,2020-06-25,2020,6
10,SAINt JHN,Roses (Imanbek Remix),B1 Recordings,29,3,2020-06-19,2020-06-25,2020,6
11,Bonez MC,Roadrunner,187 Strassenbande,4,1,2020-06-19,2020-06-25,2020,6
12,LEA & Capital Bra,7 Stunden,SME - Four Music,3,10,2020-06-19,2020-06-25,2020,6
13,Surf Mesa feat. Emilee,ILY (I Love You Baby),Astralwerk,13,7,2020-06-19,2020-06-25,2020,6
14,KC Rebell x Summer Cem,Fly,Banger Musik,3,4,2020-06-19,2020-06-25,2020,6
15,Vize & Tom Gregory,Never Let Me Down,Kontor Records,8,15,2020-06-19,2020-06-25,2020,6
16,Ava Max,Kings & Queens,Atlantic,14,16,2020-06-19,2020-06-25,2020,6
17,RIN,Das Rennen,SME - Division,2,6,2020-06-19,2020-06-25,2020,6
18,Topic feat. A7S,Breaking Me,Virgin Records,24,3,2020-06-19,2020-06-25,2020,6
19,Fourty,Weisser Rauch,Life Is Pain,8,19,2020-06-19,2020-06-25,2020,6
20,Nea,Some Say,SME - Milkshake,20,15,2020-06-19,2020-06-25,2020,6
21,Apache 207,Roller,SME - Two Sides,43,1,2020-06-19,2020-06-25,2020,6
22,Robin Schulz feat. Alida,In Your Eyes,Warner Music Germany,23,5,2020-06-19,2020-06-25,2020,6
23,Tones And I,Dance Monkey,Bad Batch Records,45,1,2020-06-19,2020-06-25,2020,6
24,Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),SME - Jawsh 685,1,24,2020-06-19,2020-06-25,2020,6
25,Drake,Toosie Slide,Republic Records,11,2,2020-06-19,2020-06-25,2020,6
26,Lady Gaga & Ariana Grande,Rain On Me,Interscope,4,9,2020-06-19,2020-06-25,2020,6
27,Kalim & Ufo361,SKRR,Urban,3,8,2020-06-19,2020-06-25,2020,6
28,Reezy x Bausa,Sandmann,SME - Two Sides,3,14,2020-06-19,2020-06-25,2020,6
29,LEA,Treppenhaus,SME - Four Music,15,18,2020-06-19,2020-06-25,2020,6
30,Elias [DE],Jacob & Co,SME - Epic Domestic,1,30,2020-06-19,2020-06-25,2020,6
31,Ava Max,Salt,Atlantic,18,10,2020-06-19,2020-06-25,2020,6
32,Zoe Wees,Control,Caroline Records,4,32,2020-06-19,2020-06-25,2020,6
33,Capital Bra x Loredana,Nicht verdient,Urban,7,1,2020-06-19,2020-06-25,2020,6
34,Benee feat. Gus Dapperton,Supalonely,Universal,14,26,2020-06-19,2020-06-25,2020,6
35,Kayef,Ich wÃ¼rd' lÃ¼gen,Recordjet,11,13,2020-06-19,2020-06-25,2020,6
36,Nico Santos & Topic,Like I Love You,Virgin Records,9,24,2020-06-19,2020-06-25,2020,6
37,Shirin David,Hoes Up G's Down,Juicy Money Records,3,6,2020-06-19,2020-06-25,2020,6
38,Black Eyed Peas / Ozuna + J. Rey Soul,Mamacita,SME - Epic,8,37,2020-06-19,2020-06-25,2020,6
39,CÃ©line [DE],TrÃ¤nen aus Kajal,BTGS,11,17,2020-06-19,2020-06-25,2020,6
40,Powfu feat. Beabadoobee,Death Bed,SME - Independently Popular.,15,18,2020-06-19,2020-06-25,2020,6
41,Kasimir1441 feat. Pashanim,Hentai,1441,1,41,2020-06-19,2020-06-25,2020,6
42,Felix Jaehn feat. Gashi & Faangs,Sicko,Virgin Records,6,42,2020-06-19,2020-06-25,2020,6
43,Regard,Ride It,B1 Recordings/Ministry of Sound,39,4,2020-06-19,2020-06-25,2020,6
