current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Ava Max,Sweet But Psycho,Atlantic,8,1,2018-12-14,2018-12-20,2018,12
2,Sido,Tausend Tattoos,Universal Domestic Urban,7,2,2018-12-14,2018-12-20,2018,12
3,Mero,Baller los,Groove Attack,3,1,2018-12-14,2018-12-20,2018,12
4,Mariah Carey,All I Want For Christmas Is You,SME - Columbia,61,3,2018-12-14,2018-12-20,2018,12
5,Wham!,Last Christmas,SME - Epic,132,4,2018-12-14,2018-12-20,2018,12
6,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,27,1,2018-12-14,2018-12-20,2018,12
7,Panic! At The Disco,High Hopes,Atlantic,19,6,2018-12-14,2018-12-20,2018,12
8,Capital Bra,Feuer,SME - Bushido,2,4,2018-12-14,2018-12-20,2018,12
9,"KitschKrieg feat. Trettmann, Gringo, Ufo361 & Gzuz",Standard,SoulForce Records,8,1,2018-12-14,2018-12-20,2018,12
10,Dean Lewis,Be Alright,Universal,17,8,2018-12-14,2018-12-20,2018,12
11,Loredana,Milliondollar$mile,Loredana,1,11,2018-12-14,2018-12-20,2018,12
12,Samra,Cataleya,SME - Bushido,5,1,2018-12-14,2018-12-20,2018,12
13,Rita Ora,Let You Love Me,Atlantic,12,12,2018-12-14,2018-12-20,2018,12
14,Ariana Grande,"Thank U, Next",Universal,6,13,2018-12-14,2018-12-20,2018,12
15,Halsey,Without Me,Capitol,10,15,2018-12-14,2018-12-20,2018,12
16,"DJ Snake feat. Selena Gomez, Ozuna & Cardi B",Taki Taki,Geffen Records,11,8,2018-12-14,2018-12-20,2018,12
17,Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,19,1,2018-12-14,2018-12-20,2018,12
18,Robin Schulz feat. Erika Sirola,Speechless,Warner Music Germany,4,18,2018-12-14,2018-12-20,2018,12
19,Lady Gaga & Bradley Cooper,Shallow,Interscope,11,10,2018-12-14,2018-12-20,2018,12
20,Calvin Harris & Sam Smith,Promises,SME - Columbia,17,2,2018-12-14,2018-12-20,2018,12
21,Chris Rea,Driving Home For Christmas,Warner Music International,51,8,2018-12-14,2018-12-20,2018,12
22,RAF Camora & AriBeatz feat. Sofiane,Perfekt,SME - Andere Liga,4,5,2018-12-14,2018-12-20,2018,12
23,Capital Bra feat. Xatar x SAMY,Ich liebe es,SME - Bushido,7,3,2018-12-14,2018-12-20,2018,12
24,Luciano [DE],Meer,Universal Domestic Urban,7,3,2018-12-14,2018-12-20,2018,12
25,Melanie Thornton,Wonderful Dream (Holidays Are Coming),X-Cell,110,3,2018-12-14,2018-12-20,2018,12
26,Marshmello & Bastille,Happier,Universal,17,9,2018-12-14,2018-12-20,2018,12
27,Alle Farben & Ilira,Fading,B1 Recordings,6,27,2018-12-14,2018-12-20,2018,12
28,Imagine Dragons,Natural,Interscope,17,16,2018-12-14,2018-12-20,2018,12
29,Mark Forster,Einmal,SME - Four Music,10,26,2018-12-14,2018-12-20,2018,12
30,Luciano feat. Nimo,Valentino Camouflage,Universal Domestic Urban,4,6,2018-12-14,2018-12-20,2018,12
31,XXXTentacion x Lil Pump feat. Maluma & Swae Lee,Arms Around You,Warner Music International,7,16,2018-12-14,2018-12-20,2018,12
32,LEA x Cyril,Immer wenn wir uns sehn,SME - Four Music,17,16,2018-12-14,2018-12-20,2018,12
33,Ariana Grande,Santa Tell Me,Universal,6,22,2018-12-14,2018-12-20,2018,12
34,Veysel feat. Summer Cem,Sag schon,Bela Boyz,3,18,2018-12-14,2018-12-20,2018,12
35,Azet & Zuna,Skam koh,KMN Gang,3,5,2018-12-14,2018-12-20,2018,12
