current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Liam Payne & Rita Ora,For You (Fifty Shades Freed),Republic Records,7,1,2018-02-23,2018-03-01,2018,2
2,Bausa,Was du Liebe nennst,Warner Music Germany,21,1,2018-02-23,2018-03-01,2018,2
3,Drake,God's Plan,Motown,5,3,2018-02-23,2018-03-01,2018,2
4,Eminem feat. Ed Sheeran,River,Interscope,10,2,2018-02-23,2018-03-01,2018,2
5,Ed Sheeran,Perfect,Atlantic,30,1,2018-02-23,2018-03-01,2018,2
6,The Chainsmokers,Sick Boy,Columbia,5,6,2018-02-23,2018-03-01,2018,2
7,Luis Fonsi & Demi Lovato,Échame la culpa,Universal,14,6,2018-02-23,2018-03-01,2018,2
8,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days,Atlantic,5,8,2018-02-23,2018-03-01,2018,2
9,Tom Walker,Leave A Light On,RCA International,8,9,2018-02-23,2018-03-01,2018,2
10,Nico Santos,Rooftop,Virgin Records,15,5,2018-02-23,2018-03-01,2018,2
11,Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya,So Far Away,B1 Recordings,12,8,2018-02-23,2018-03-01,2018,2
12,Justin Timberlake feat. Chris Stapleton,Say Something,RCA International,4,12,2018-02-23,2018-03-01,2018,2
13,Camila Cabello feat. Young Thug,Havana,Epic,27,2,2018-02-23,2018-03-01,2018,2
14,Lost Frequencies & Zonderling,Crazy,Kontor Records,9,13,2018-02-23,2018-03-01,2018,2
15,Marshmello & Anne-Marie,Friends,Atlantic,2,15,2018-02-23,2018-03-01,2018,2
16,LEA,Leiser,Four Music,12,13,2018-02-23,2018-03-01,2018,2
17,Jason Derulo feat. French Montana,Tip Toe,Beluga Heights,15,11,2018-02-23,2018-03-01,2018,2
18,G-Eazy & Halsey,Him & I,RCA International,12,6,2018-02-23,2018-03-01,2018,2
19,Post Malone feat. 21 Savage,Rockstar,Universal,23,2,2018-02-23,2018-03-01,2018,2
20,Gzuz,¿Was hast du gedacht?,187 Strassenbande,2,5,2018-02-23,2018-03-01,2018,2
21,Ufo361,Beverly Hills,Stay High,3,4,2018-02-23,2018-03-01,2018,2
22,Ofenbach vs. Nick Waterhouse,Katchi,Warner Music International,17,9,2018-02-23,2018-03-01,2018,2
23,Olexesh feat. Edin,Magisch,385ideal,1,23,2018-02-23,2018-03-01,2018,2
24,Justin Bieber + BloodPop®,Friends,Republic Records,27,4,2018-02-23,2018-03-01,2018,2
25,Dua Lipa,IDGAF,Universal Domestic Urban,5,25,2018-02-23,2018-03-01,2018,2
26,The Weeknd & Kendrick Lamar,Pray For Me,Universal,3,24,2018-02-23,2018-03-01,2018,2
27,NF,Let You Down,Capitol,18,9,2018-02-23,2018-03-01,2018,2
28,Jax Jones feat. Ina Wroldsen,Breathe,Polydor,7,28,2018-02-23,2018-03-01,2018,2
29,James Hype feat. Kelli-Leigh,More Than Friends,Warner Music International,13,23,2018-02-23,2018-03-01,2018,2
30,Azet feat. RAF Camora,Qa bone,KMN Gang,9,12,2018-02-23,2018-03-01,2018,2
31,Kendrick Lamar & SZA,All The Stars,Universal,7,31,2018-02-23,2018-03-01,2018,2
32,Rita Ora,Anywhere,Atlantic,14,18,2018-02-23,2018-03-01,2018,2
33,Selena Gomez x Marshmello,Wolves,Universal,17,11,2018-02-23,2018-03-01,2018,2
34,Bazzi,Mine,ZZZ Entertainment,2,34,2018-02-23,2018-03-01,2018,2
35,Marshmello feat. Khalid,Silence,RCA International,27,6,2018-02-23,2018-03-01,2018,2
36,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,Atlantic,14,27,2018-02-23,2018-03-01,2018,2
37,Zedd / Maren Morris / Grey,The Middle,Interscope,4,37,2018-02-23,2018-03-01,2018,2
38,Axwell Λ Ingrosso,Dreamer,Virgin Records,8,38,2018-02-23,2018-03-01,2018,2
39,Ed Sheeran,Shape Of You,Atlantic,59,1,2018-02-23,2018-03-01,2018,2
40,James Arthur,Naked,Columbia Domestic,13,23,2018-02-23,2018-03-01,2018,2
41,Dardan x Luciano,Airmax gegen Kopf,Universal Domestic Urban,3,28,2018-02-23,2018-03-01,2018,2
42,Portugal. The Man,Feel It Still,Atlantic,23,7,2018-02-23,2018-03-01,2018,2
43,Camila Cabello,Never Be The Same,Epic,6,30,2018-02-23,2018-03-01,2018,2
