current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Bonez MC,Angeklagt,187 Strassenbande,2,1,2020-11-06,2020-11-12,2020,11
2,Lune,Gebe auf.,Lune,4,2,2020-11-06,2020-11-12,2020,11
3,24kGoldn feat. Iann Dior,Mood,SME - Columbia,11,1,2020-11-06,2020-11-12,2020,11
4,Azet x Capital Bra,B.L.F.L.,KMN Gang,1,4,2020-11-06,2020-11-12,2020,11
5,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,Internet Money,12,2,2020-11-06,2020-11-12,2020,11
6,Vize x Joker Bra x Leony,Paradise,Kontor Records,11,4,2020-11-06,2020-11-12,2020,11
7,Joel Corry feat. MNEK,Head & Heart,Atlantic,16,4,2020-11-06,2020-11-12,2020,11
8,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),Elektra France,13,7,2020-11-06,2020-11-12,2020,11
9,Justin Bieber & Benny Blanco,Lonely,Def Jam,3,9,2020-11-06,2020-11-12,2020,11
10,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees & Toes,Spinnin' Records,14,6,2020-11-06,2020-11-12,2020,11
11,Mark Forster x Vize,Bist du okay,SME - Marecs,6,11,2020-11-06,2020-11-12,2020,11
12,Ariana Grande,Positions,Republic Records,2,9,2020-11-06,2020-11-12,2020,11
13,Mero,Ben elimi sana verdim,Groove Attack TraX,1,13,2020-11-06,2020-11-12,2020,11
14,KC Rebell & Summer Cem feat. Capital Bra,Amcaogle,Banger Musik,1,14,2020-11-06,2020-11-12,2020,11
15,Pop Smoke,What You Know Bout Love,Victor Victor Worldwide,6,12,2020-11-06,2020-11-12,2020,11
16,Jawsh 685 & Jason Derulo,Savage Love (Laxed - Siren Beat),SME - Columbia,21,1,2020-11-06,2020-11-12,2020,11
17,Loredana & Delara,Checka,Loredana,6,2,2020-11-06,2020-11-12,2020,11
18,Jason Derulo,Take You Dancing,Atlantic,15,15,2020-11-06,2020-11-12,2020,11
19,Purple Disco Machine & Sophie And The Giants,Hypnotized,SME - Columbia,14,18,2020-11-06,2020-11-12,2020,11
20,Bonez MC feat. LX,Niemals unter Tausend,187 Strassenbande,6,4,2020-11-06,2020-11-12,2020,11
21,The Weeknd,Blinding Lights,Republic Records,49,1,2020-11-06,2020-11-12,2020,11
22,KitschKrieg feat. Jamule,Unterwegs,SoulForce Records / BMG,13,1,2020-11-06,2020-11-12,2020,11
23,LA Vision & Gigi D'Agostino,Hollywood,Universal Domestic Polydor,17,10,2020-11-06,2020-11-12,2020,11
24,Mero feat. Nimo,Désolé,Groove Attack TraX,3,3,2020-11-06,2020-11-12,2020,11
25,HVME,Goosebumps,B1 Recordings,7,23,2020-11-06,2020-11-12,2020,11
26,Tate McRae,You Broke Me First,SME - RCA International,11,26,2020-11-06,2020-11-12,2020,11
27,Bozza,Elbe,Def Jam Germany,6,12,2020-11-06,2020-11-12,2020,11
28,Alligatoah x Sido,Monet,Trailerpark,3,9,2020-11-06,2020-11-12,2020,11
29,Twocolors,Lovefool,Virgin Records,20,11,2020-11-06,2020-11-12,2020,11
30,Miley Cyrus,Midnight Sky,SME - RCA Domestic,12,27,2020-11-06,2020-11-12,2020,11
31,David Guetta & Sia,Let's Love,Parlophone Label Group,8,30,2020-11-06,2020-11-12,2020,11
32,Dennis Lloyd,Alien,SME - Arista,10,32,2020-11-06,2020-11-12,2020,11
33,Felix Jaehn feat. Nea & Bryn Christopher,No Therapy,Virgin Records,10,31,2020-11-06,2020-11-12,2020,11
34,Apache 207,Bläulich,SME - Four Music / TwoSides,18,1,2020-11-06,2020-11-12,2020,11
35,Mark Forster,Übermorgen,SME - Marecs,27,7,2020-11-06,2020-11-12,2020,11
36,Vize & Tom Gregory,Never Let Me Down,Kontor Records,28,8,2020-11-06,2020-11-12,2020,11
37,DaBaby feat. Roddy Ricch,Rockstar,Interscope,29,3,2020-11-06,2020-11-12,2020,11
