current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Olexesh feat. Edin,Magisch,385ideal,3,1,2018-03-09,2018-03-15,2018,3
2,Marshmello & Anne-Marie,Friends,Atlantic,4,2,2018-03-09,2018-03-15,2018,3
3,Drake,God's Plan,Motown,7,1,2018-03-09,2018-03-15,2018,3
4,"Rudimental feat. Jess Glynne, Macklemore & Dan Caplen",These Days,Atlantic,7,4,2018-03-09,2018-03-15,2018,3
5,Liam Payne & Rita Ora,For You (Fifty Shades Freed),Republic Records,9,1,2018-03-09,2018-03-15,2018,3
6,The Chainsmokers,Sick Boy,Columbia,7,6,2018-03-09,2018-03-15,2018,3
7,Eminem feat. Ed Sheeran,River,Interscope,12,2,2018-03-09,2018-03-15,2018,3
8,Bausa,Was du Liebe nennst,Warner Music Germany,23,1,2018-03-09,2018-03-15,2018,3
9,Luis Fonsi & Demi Lovato,Ã‰chame la culpa,Universal,16,6,2018-03-09,2018-03-15,2018,3
10,Ed Sheeran,Perfect,Atlantic,32,1,2018-03-09,2018-03-15,2018,3
11,Tom Walker,Leave A Light On,RCA International,10,9,2018-03-09,2018-03-15,2018,3
12,Post Malone feat. Ty Dolla $ign,Psycho,Universal,2,6,2018-03-09,2018-03-15,2018,3
13,Nico Santos,Rooftop,Virgin Records,17,5,2018-03-09,2018-03-15,2018,3
14,Justin Timberlake feat. Chris Stapleton,Say Something,RCA International,6,12,2018-03-09,2018-03-15,2018,3
15,Kontra K,Zwischen Himmel & HÃ¶lle,BMG,1,15,2018-03-09,2018-03-15,2018,3
16,Lost Frequencies & Zonderling,Crazy,Kontor Records,11,13,2018-03-09,2018-03-15,2018,3
17,Dua Lipa,IDGAF,Universal Domestic Urban,7,17,2018-03-09,2018-03-15,2018,3
18,Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya,So Far Away,B1 Recordings,14,8,2018-03-09,2018-03-15,2018,3
19,Camila Cabello feat. Young Thug,Havana,Epic,29,2,2018-03-09,2018-03-15,2018,3
20,Jason Derulo feat. French Montana,Tip Toe,Beluga Heights,17,11,2018-03-09,2018-03-15,2018,3
21,LEA,Leiser,Four Music,14,13,2018-03-09,2018-03-15,2018,3
22,Jax Jones feat. Ina Wroldsen,Breathe,Polydor,9,22,2018-03-09,2018-03-15,2018,3
23,Zuna,AyÃ©,KMN Gang,1,23,2018-03-09,2018-03-15,2018,3
24,Post Malone feat. 21 Savage,Rockstar,Universal,25,2,2018-03-09,2018-03-15,2018,3
25,G-Eazy & Halsey,Him & I,RCA International,14,6,2018-03-09,2018-03-15,2018,3
26,Zedd / Maren Morris / Grey,The Middle,Interscope,6,26,2018-03-09,2018-03-15,2018,3
27,Bazzi,Mine,ZZZ Entertainment,4,27,2018-03-09,2018-03-15,2018,3
28,Kendrick Lamar & SZA,All The Stars,Universal,9,28,2018-03-09,2018-03-15,2018,3
29,The Weeknd & Kendrick Lamar,Pray For Me,Universal,5,24,2018-03-09,2018-03-15,2018,3
30,RAF Camora,Corleone,Indipendenza,2,13,2018-03-09,2018-03-15,2018,3
31,Ofenbach vs. Nick Waterhouse,Katchi,Warner Music International,19,9,2018-03-09,2018-03-15,2018,3
32,Hailee Steinfeld x BloodPopÂ®,Capital Letters,Republic Records,4,32,2018-03-09,2018-03-15,2018,3
33,NF,Let You Down,Capitol,20,9,2018-03-09,2018-03-15,2018,3
34,James Hype feat. Kelli-Leigh,More Than Friends,Warner Music International,15,23,2018-03-09,2018-03-15,2018,3
35,Rita Ora,Anywhere,Atlantic,16,18,2018-03-09,2018-03-15,2018,3
36,Selena Gomez x Marshmello,Wolves,Universal,19,11,2018-03-09,2018-03-15,2018,3
37,Ufo361,Beverly Hills,Stay High,5,4,2018-03-09,2018-03-15,2018,3
38,Azet feat. RAF Camora,Qa bone,KMN Gang,11,12,2018-03-09,2018-03-15,2018,3
39,Olexesh feat. Capital Bra,Frisch aus dem Block,385ideal,1,39,2018-03-09,2018-03-15,2018,3
40,Axwell Λ Ingrosso,Dreamer,Virgin Records,10,38,2018-03-09,2018-03-15,2018,3
41,Ufo361,Balenciaga,Stay High,2,16,2018-03-09,2018-03-15,2018,3
42,Veysel & Mozzik,Ti amo,Bela Boyz,7,42,2018-03-09,2018-03-15,2018,3
43,Marshmello feat. Khalid,Silence,RCA International,29,6,2018-03-09,2018-03-15,2018,3
44,Khalid x Normani,Love Lies,RCA International,3,44,2018-03-09,2018-03-15,2018,3
45,Ramz,Barking,Polydor,2,45,2018-03-09,2018-03-15,2018,3
46,Ed Sheeran,Shape Of You,Atlantic,61,1,2018-03-09,2018-03-15,2018,3
47,Olexesh feat. Bonez MC,SchÃ¼sse aus'm Benz,385ideal,1,47,2018-03-09,2018-03-15,2018,3
48,Justin Bieber + BloodPopÂ®,Friends,Republic Records,29,4,2018-03-09,2018-03-15,2018,3
49,BlocBoy JB feat. Drake,Look Alive,OVO Sound,4,49,2018-03-09,2018-03-15,2018,3
50,Haftbefehl feat. Farid Bang,Chabos wissen wer der Babo ist,Universal Domestic Urban,10,30,2018-03-09,2018-03-15,2018,3
51,Portugal. The Man,Feel It Still,Atlantic,25,7,2018-03-09,2018-03-15,2018,3
52,James Arthur,Naked,Columbia Domestic,15,23,2018-03-09,2018-03-15,2018,3
53,Olexesh feat. Nimo,Geld spielt keine Rolex,385ideal,1,53,2018-03-09,2018-03-15,2018,3
54,Felix Jaehn feat. Marc E. Bassy & Gucci Mane,Cool,Virgin Records,4,44,2018-03-09,2018-03-15,2018,3
