current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Ed Sheeran,Perfect,Atlantic,25,1,2018-01-19,2018-01-25,2018,1
2,Bausa,Was du Liebe nennst,Warner Music Germany,16,1,2018-01-19,2018-01-25,2018,1
3,Camila Cabello feat. Young Thug,Havana,Epic,22,2,2018-01-19,2018-01-25,2018,1
4,Eminem feat. Ed Sheeran,River,Universal,5,3,2018-01-19,2018-01-25,2018,1
5,Nico Santos,Rooftop,Virgin Records,10,5,2018-01-19,2018-01-25,2018,1
6,G-Eazy & Halsey,Him & I,RCA International,7,6,2018-01-19,2018-01-25,2018,1
7,Post Malone feat. 21 Savage,Rockstar,Universal,18,2,2018-01-19,2018-01-25,2018,1
8,Justin Bieber + BloodPop®,Friends,Republic Records,22,4,2018-01-19,2018-01-25,2018,1
9,Ofenbach vs. Nick Waterhouse,Katchi,Warner Music International,12,9,2018-01-19,2018-01-25,2018,1
10,Martin Garrix & David Guetta feat. Jamie Scott & Romy Dya,So Far Away,Epic,7,10,2018-01-19,2018-01-25,2018,1
11,NF,Let You Down,Capitol,13,9,2018-01-19,2018-01-25,2018,1
12,Azet feat. RAF Camora,Qa bone,KMN Gang,4,12,2018-01-19,2018-01-25,2018,1
13,Azet,9 Milly,KMN Gang,1,13,2018-01-19,2018-01-25,2018,1
14,Marshmello feat. Khalid,Silence,RCA International,22,6,2018-01-19,2018-01-25,2018,1
15,Luis Fonsi & Demi Lovato,Échame la culpa,Universal,9,15,2018-01-19,2018-01-25,2018,1
16,Jason Derulo feat. French Montana,Tip Toe,Beluga Heights,10,16,2018-01-19,2018-01-25,2018,1
17,Selena Gomez x Marshmello,Wolves,Universal,12,11,2018-01-19,2018-01-25,2018,1
18,Zayn feat. Sia,Dusk Till Dawn,RCA International,19,3,2018-01-19,2018-01-25,2018,1
19,Fler feat. Farid Bang,AMG,Maskulin,1,19,2018-01-19,2018-01-25,2018,1
20,Portugal. The Man,Feel It Still,Atlantic,18,7,2018-01-19,2018-01-25,2018,1
21,LEA,Leiser,Four Music,7,21,2018-01-19,2018-01-25,2018,1
22,Rita Ora,Anywhere,Atlantic,9,22,2018-01-19,2018-01-25,2018,1
23,James Arthur,Naked,Columbia Domestic,8,23,2018-01-19,2018-01-25,2018,1
24,RIN,Data Love,Division,1,24,2018-01-19,2018-01-25,2018,1
25,Imagine Dragons,Whatever It Takes,Interscope,16,7,2018-01-19,2018-01-25,2018,1
26,Ed Sheeran,Shape Of You,Atlantic,54,1,2018-01-19,2018-01-25,2018,1
27,Dua Lipa,New Rules,Universal Domestic Vertigo,25,9,2018-01-19,2018-01-25,2018,1
28,Kay One feat. Pietro Lombardi,Señorita,Princekayone GmbH,19,1,2018-01-19,2018-01-25,2018,1
29,Kygo feat. Justin Jesso,Stargazing,B1 Recordings,17,14,2018-01-19,2018-01-25,2018,1
30,Camila Cabello,Never Be The Same,Syco Music,1,30,2018-01-19,2018-01-25,2018,1
31,Axwell Λ Ingrosso,More Than You Know,Virgin Records,32,1,2018-01-19,2018-01-25,2018,1
32,RAF Camora,Sag nix,Indipendenza,6,6,2018-01-19,2018-01-25,2018,1
33,Lost Frequencies & Zonderling,Crazy,Kontor Records,4,33,2018-01-19,2018-01-25,2018,1
34,Bruno Mars,Finesse,Atlantic,2,31,2018-01-19,2018-01-25,2018,1
35,Tom Walker,Leave A Light On,RCA International,3,35,2018-01-19,2018-01-25,2018,1
36,RAF Camora,Gotham City,Indipendenza,5,9,2018-01-19,2018-01-25,2018,1
37,Liam Payne & Rita Ora,For You (Fifty Shades Freed),Republic Records,2,16,2018-01-19,2018-01-25,2018,1
38,Big Shaq,Man's Not Hot,Island,11,26,2018-01-19,2018-01-25,2018,1
39,French Montana feat. Swae Lee,Unforgettable,Epic,40,6,2018-01-19,2018-01-25,2018,1
40,RAF Camora,Primo,Indipendenza,21,6,2018-01-19,2018-01-25,2018,1
41,Bausa,FML,Warner Music Germany,3,33,2018-01-19,2018-01-25,2018,1
42,"Machine Gun Kelly, X Ambassadors & Bebe Rexha",Home,Atlantic,9,38,2018-01-19,2018-01-25,2018,1
43,J Balvin & Willy William,Mi gente,B1 Recordings,29,3,2018-01-19,2018-01-25,2018,1
44,"RAF Camora feat. Bonez MC, Gzuz & Ufo361",Waffen,Indipendenza,5,21,2018-01-19,2018-01-25,2018,1
45,Luis Fonsi feat. Daddy Yankee,Despacito,Universal,51,1,2018-01-19,2018-01-25,2018,1
46,Maroon 5 feat. SZA,What Lovers Do,A&M Records,20,17,2018-01-19,2018-01-25,2018,1
47,Imagine Dragons,Thunder,Interscope,38,2,2018-01-19,2018-01-25,2018,1
48,Lauv,I Like Me Better,Lauv,28,7,2018-01-19,2018-01-25,2018,1
49,Avicii feat. Rita Ora,Lonely Together,Virgin Records,18,24,2018-01-19,2018-01-25,2018,1
50,Mark Forster,Kogong,Four Music,14,34,2018-01-19,2018-01-25,2018,1
51,Charlie Puth,How Long,Artist Partner Group,15,42,2018-01-19,2018-01-25,2018,1
52,Robin Schulz & Hugel,I Believe I'm Fine,Warner Music Germany,19,29,2018-01-19,2018-01-25,2018,1
53,Jazn,Bombay,Optimaluxus,3,53,2018-01-19,2018-01-25,2018,1
54,Veysel,Kleiner Cabrón,Bela Boyz,20,18,2018-01-19,2018-01-25,2018,1
55,RIN,Monica Bellucci,Division,23,15,2018-01-19,2018-01-25,2018,1
56,Azzi Memo x Eno,AMG2,Generation Azzlack,9,8,2018-01-19,2018-01-25,2018,1
57,Kontra K,Soldaten 2.0,BMG,14,16,2018-01-19,2018-01-25,2018,1
58,Clean Bandit feat. Julia Michaels,I Miss You,Atlantic,10,52,2018-01-19,2018-01-25,2018,1
59,Jax Jones feat. Ina Wroldsen,Breathe,Polydor,2,59,2018-01-19,2018-01-25,2018,1
60,Helene Fischer,Herzbeben,Universal Domestic Polydor,29,6,2018-01-19,2018-01-25,2018,1
61,Gestört aber GeiL feat. Lea,Wohin willst du,Kontor Records,32,11,2018-01-19,2018-01-25,2018,1
62,Keala Settle & The Greatest Showman Ensemble,This Is Me,Atlantic,2,62,2018-01-19,2018-01-25,2018,1
63,P!nk,What About Us,RCA International,23,3,2018-01-19,2018-01-25,2018,1
64,Kollegah & Farid Bang,One Night Stand,Banger Musik,3,51,2018-01-19,2018-01-25,2018,1
65,Nimo,Heute mit mir,Universal Domestic Urban,32,10,2018-01-19,2018-01-25,2018,1
66,Rita Ora,Your Song,Atlantic,34,13,2018-01-19,2018-01-25,2018,1
67,Bonez MC & RAF Camora feat. Maxwell,Ohne mein Team,Auf!Keinen!Fall!,72,7,2018-01-19,2018-01-25,2018,1
68,Axwell Λ Ingrosso,Dreamer,Virgin Records,3,68,2018-01-19,2018-01-25,2018,1
69,James Hype feat. Kelli-Leigh,More Than Friends,Warner Music International,8,64,2018-01-19,2018-01-25,2018,1
70,Ingo ohne Flamingo,"Saufen, morgens, mittags, abends",UR-MUSIC,4,62,2018-01-19,2018-01-25,2018,1
71,Miami Yacine,Bon voyage,KMN Gang,27,5,2018-01-19,2018-01-25,2018,1
72,Felix Jaehn x Mike Williams,Feel Good,Virgin Records,9,72,2018-01-19,2018-01-25,2018,1
73,Kendrick Lamar & SZA,All The Stars,Universal,2,73,2018-01-19,2018-01-25,2018,1
74,Sam Smith,Too Good At Goodbyes,Capitol,19,18,2018-01-19,2018-01-25,2018,1
75,G-Eazy feat. A$AP Rocky & Cardi B,No Limit,RCA International,3,63,2018-01-19,2018-01-25,2018,1
76,Helene Fischer,Achterbahn,Universal Domestic Polydor,10,10,2018-01-19,2018-01-25,2018,1
77,Justin Timberlake,Filthy,RCA International,2,42,2018-01-19,2018-01-25,2018,1
78,Rin,Bros,Division,36,27,2018-01-19,2018-01-25,2018,1
79,Lil Pump,Gucci Gang,Warner Music International,12,35,2018-01-19,2018-01-25,2018,1
80,Bebe Rexha feat. Florida Georgia Line,Meant To Be,Warner Music International,2,78,2018-01-19,2018-01-25,2018,1
