current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Apache 207,Boot,SME - Two Sides,1,1,2020-06-12,2020-06-18,2020,6
2,KC Rebell x Summer Cem feat. Luciano,Valla nein!,Banger Musik,1,2,2020-06-12,2020-06-18,2020,6
3,Pashanim,Airwaves,Urban,4,2,2020-06-12,2020-06-18,2020,6
4,DaBaby feat. Roddy Ricch,Rockstar,Interscope,8,4,2020-06-12,2020-06-18,2020,6
5,Apache 207,Fame,SME - Two Sides,5,1,2020-06-12,2020-06-18,2020,6
6,RIN,Das Rennen,SME - Division,1,6,2020-06-12,2020-06-18,2020,6
7,AK Ausserkontrolle x Bonez MC,In meinem Benz,XY Records,2,1,2020-06-12,2020-06-18,2020,6
8,The Weeknd,Blinding Lights,Republic Records,28,1,2020-06-12,2020-06-18,2020,6
9,Bonez MC,Roadrunner,187 Strassenbande,3,1,2020-06-12,2020-06-18,2020,6
10,Ufo361,Emotions,Stay High,7,2,2020-06-12,2020-06-18,2020,6
11,KC Rebell x Summer Cem,Fly,Banger Musik,2,4,2020-06-12,2020-06-18,2020,6
12,Mark Forster,Übermorgen,SME - Marecs,6,12,2020-06-12,2020-06-18,2020,6
13,LEA & Capital Bra,7 Stunden,SME - Four Music,2,10,2020-06-12,2020-06-18,2020,6
14,SAINt JHN,Roses (Imanbek Remix),B1 Recordings,28,3,2020-06-12,2020-06-18,2020,6
15,Haftbefehl & Shindy,KMDF,Urban,1,15,2020-06-12,2020-06-18,2020,6
16,Surf Mesa feat. Emilee,ILY (I Love You Baby),Astralwerk,12,7,2020-06-12,2020-06-18,2020,6
17,Ava Max,Kings & Queens,Atlantic,13,16,2020-06-12,2020-06-18,2020,6
18,Kalim & Ufo361,SKRR,Urban,2,8,2020-06-12,2020-06-18,2020,6
19,Vize & Tom Gregory,Never Let Me Down,Kontor Records,7,19,2020-06-12,2020-06-18,2020,6
20,"Dardan, Eno & Noah",Aventador,Hypnotize Entertainment,1,20,2020-06-12,2020-06-18,2020,6
21,Topic feat. A7S,Breaking Me,Virgin Records,23,3,2020-06-12,2020-06-18,2020,6
22,Shirin David,Hoes Up G's Down,Juicy Money Records,2,6,2020-06-12,2020-06-18,2020,6
23,Apache 207,Roller,SME - Two Sides,42,1,2020-06-12,2020-06-18,2020,6
24,Scooter / Finch Asozial,Bassdrum,Sheffield Tunes,1,24,2020-06-12,2020-06-18,2020,6
25,Reezy x Bausa,Sandmann,SME - Two Sides,2,14,2020-06-12,2020-06-18,2020,6
26,Tones And I,Dance Monkey,Bad Batch Records,44,1,2020-06-12,2020-06-18,2020,6
27,Fourty,Weisser Rauch,Life Is Pain,7,27,2020-06-12,2020-06-18,2020,6
28,Robin Schulz feat. Alida,In Your Eyes,Warner Music Germany,22,5,2020-06-12,2020-06-18,2020,6
29,Lady Gaga & Ariana Grande,Rain On Me,Interscope,3,9,2020-06-12,2020-06-18,2020,6
30,Nea,Some Say,SME - Milkshake,19,15,2020-06-12,2020-06-18,2020,6
31,Drake,Toosie Slide,Republic Records,10,2,2020-06-12,2020-06-18,2020,6
32,Capital Bra x Loredana,Nicht verdient,Urban,6,1,2020-06-12,2020-06-18,2020,6
33,Ava Max,Salt,Atlantic,17,10,2020-06-12,2020-06-18,2020,6
34,Kayef,Ich würd' lügen,Recordjet,10,13,2020-06-12,2020-06-18,2020,6
35,Capital Bra,Komm komm,Urban,3,2,2020-06-12,2020-06-18,2020,6
36,Nico Santos & Topic,Like I Love You,Virgin Records,8,24,2020-06-12,2020-06-18,2020,6
37,Benee feat. Gus Dapperton,Supalonely,Universal,13,26,2020-06-12,2020-06-18,2020,6
38,LEA,Treppenhaus,SME - Four Music,14,18,2020-06-12,2020-06-18,2020,6
39,Zuna,Benzema,KMN Gang,1,39,2020-06-12,2020-06-18,2020,6
40,Zoe Wees,Control,Caroline Records,3,40,2020-06-12,2020-06-18,2020,6
41,Farid Bang feat. Capo & Rick Ross,Scarface,Farid Bang,2,15,2020-06-12,2020-06-18,2020,6
42,Mero,Bogota,Groove Attack TraX,2,13,2020-06-12,2020-06-18,2020,6
43,Black Eyed Peas / Ozuna + J. Rey Soul,Mamacita,SME - Epic,7,37,2020-06-12,2020-06-18,2020,6
44,Powfu feat. Beabadoobee,Death Bed,SME - Independently Popular.,14,18,2020-06-12,2020-06-18,2020,6
45,Luciano [DE],Late Night,Urban,6,7,2020-06-12,2020-06-18,2020,6
46,Céline [DE],Tränen aus Kajal,BTGS,10,17,2020-06-12,2020-06-18,2020,6
47,Hava,Krank,Imperium Music,1,47,2020-06-12,2020-06-18,2020,6
48,Regard,Ride It,B1 Recordings/Ministry of Sound,38,4,2020-06-12,2020-06-18,2020,6
49,Dardan & Monet192,H <3 T E L,Hypnotize Entertainment,12,2,2020-06-12,2020-06-18,2020,6
50,Felix Jaehn feat. Gashi & Faangs,Sicko,Virgin Records,5,50,2020-06-12,2020-06-18,2020,6
51,Dardan,Favela,Hypnotize Entertainment,3,11,2020-06-12,2020-06-18,2020,6
52,Dua Lipa,Physical,Urban,19,14,2020-06-12,2020-06-18,2020,6
53,Luciano [DE],Maison,Urban,4,9,2020-06-12,2020-06-18,2020,6
54,Nimo feat. Ramo,Alles zu viel,385ideal,2,32,2020-06-12,2020-06-18,2020,6
