current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,13,1,2018-09-07,2018-09-13,2018,9
2,Bonez MC & RAF Camora,500 PS,187 Strassenbande,5,2,2018-09-07,2018-09-13,2018,9
3,Capital Bra feat. Juju,Melodien,Bushido,5,1,2018-09-07,2018-09-13,2018,9
4,El Profesor,Bella ciao (Hugel Remix),Kontor Records,17,2,2018-09-07,2018-09-13,2018,9
5,RIN,Dior 2001,Division,3,4,2018-09-07,2018-09-13,2018,9
6,Bonez MC & RAF Camora,Risiko,187 Strassenbande,2,2,2018-09-07,2018-09-13,2018,9
7,Clean Bandit feat. Demi Lovato,Solo,Atlantic,16,1,2018-09-07,2018-09-13,2018,9
8,Loud Luxury feat. Brando,Body,Kontor Records,15,7,2018-09-07,2018-09-13,2018,9
9,Dardan,Facetime,Hypnotize Entertainment,3,9,2018-09-07,2018-09-13,2018,9
10,Maroon 5 feat. Cardi B,Girls Like You,Interscope,14,9,2018-09-07,2018-09-13,2018,9
11,Jonas Blue feat. Jack & Jack,Rise,Virgin Records,15,8,2018-09-07,2018-09-13,2018,9
12,George Ezra,Shotgun,Columbia,7,12,2018-09-07,2018-09-13,2018,9
13,Calvin Harris & Sam Smith,Promises,Columbia,3,13,2018-09-07,2018-09-13,2018,9
14,Leon Machère,Copacabana,PMR Music,6,14,2018-09-07,2018-09-13,2018,9
15,Armin van Buuren,Blah Blah Blah,Kontor Records,8,15,2018-09-07,2018-09-13,2018,9
16,Summer Cem & Bausa,Casanova,Banger Musik,15,4,2018-09-07,2018-09-13,2018,9
17,Bausa,Vagabund,Warner Music Germany,2,10,2018-09-07,2018-09-13,2018,9
18,"Benny Blanco, Halsey & Khalid",Eastside,Universal,8,18,2018-09-07,2018-09-13,2018,9
19,Eminem feat. Joyner Lucas,Lucky You,Interscope,1,19,2018-09-07,2018-09-13,2018,9
20,"Alle Farben, Kelvin Jones & Younotus",Only Thing We Know,B1 Recordings,10,20,2018-09-07,2018-09-13,2018,9
21,Eminem,The Ringer,Interscope,1,21,2018-09-07,2018-09-13,2018,9
22,Namika feat. Black M,Je ne parle pas français (Beatgees Remix),Jive Germany,21,1,2018-09-07,2018-09-13,2018,9
23,Drake,In My Feelings,Republic Records,10,4,2018-09-07,2018-09-13,2018,9
24,Dennis Lloyd,Nevermind,Warner Music International,24,3,2018-09-07,2018-09-13,2018,9
25,Eno,Mercedes,Alles Oder Nix Records,7,6,2018-09-07,2018-09-13,2018,9
26,AK Ausserkontrolle feat. Veysel,Unterwegs,Universal Domestic Vertigo,1,26,2018-09-07,2018-09-13,2018,9
27,"Cardi B, Bad Bunny & J Balvin",I Like It,Atlantic,21,14,2018-09-07,2018-09-13,2018,9
28,Calvin Harris & Dua Lipa,One Kiss,Columbia,22,1,2018-09-07,2018-09-13,2018,9
29,Robin Schulz & Piso 21,Oh Child,Warner Music Germany,11,19,2018-09-07,2018-09-13,2018,9
30,Nico Santos,Safe,Virgin Records,10,24,2018-09-07,2018-09-13,2018,9
31,Kygo & Imagine Dragons,Born To Be Yours,B1 Recordings,12,22,2018-09-07,2018-09-13,2018,9
32,Anne-Marie,2002,Atlantic,16,18,2018-09-07,2018-09-13,2018,9
33,Panic! At The Disco,High Hopes,Atlantic,5,33,2018-09-07,2018-09-13,2018,9
34,"DJ Khaled feat. Justin Bieber, Chance The Rapper & Quavo",No Brainer,Epic,6,15,2018-09-07,2018-09-13,2018,9
35,Tiësto & Dzeko feat. Preme & Post Malone,Jackie Chan,Virgin Records,12,25,2018-09-07,2018-09-13,2018,9
36,Marshmello & Bastille,Happier,Astralwerk,3,36,2018-09-07,2018-09-13,2018,9
37,Eminem,Fall,Interscope,1,37,2018-09-07,2018-09-13,2018,9
38,Capital Bra,One Night Stand,Team Kuku,15,1,2018-09-07,2018-09-13,2018,9
39,Alvaro Soler,La cintura,Airforce1,23,7,2018-09-07,2018-09-13,2018,9
40,Eminem,Greatest,Interscope,1,40,2018-09-07,2018-09-13,2018,9
41,6ix9ine feat. Nicki Minaj & Murda Beatz,Fefe,ScumGang Records,7,16,2018-09-07,2018-09-13,2018,9
42,Azet,Nike Pullover,KMN Gang,5,18,2018-09-07,2018-09-13,2018,9
43,Massiv feat. Capital Bra,Hubba Bubba,Al Massiva,1,43,2018-09-07,2018-09-13,2018,9
44,Gringo feat. 6ix9ine,Gigi (Zkittlez),SLS Music,5,6,2018-09-07,2018-09-13,2018,9
45,Capital Bra feat. Ufo361,Neymar,Team Kuku,19,1,2018-09-07,2018-09-13,2018,9
46,Marteria & Casper,Supernova,Zwei Bernds tanken super,3,46,2018-09-07,2018-09-13,2018,9
47,Katja Krasavice,Sex Tape,PMR Music,4,6,2018-09-07,2018-09-13,2018,9
48,Miami Yacine,Testarossa,KMN Gang,3,21,2018-09-07,2018-09-13,2018,9
49,Marteria & Casper,Chardonnay & Purple Haze,Zwei Bernds tanken super,2,44,2018-09-07,2018-09-13,2018,9
50,Bushido feat. Samra & Capital Bra,Für euch alle,Bushido,9,1,2018-09-07,2018-09-13,2018,9
51,Felix Jaehn feat. R. City & Bori,Jennie,Virgin Records,12,40,2018-09-07,2018-09-13,2018,9
52,Kay One,Es tut mir leid,Embassy Of Music,1,52,2018-09-07,2018-09-13,2018,9
53,Eminem,Kamikaze,Interscope,1,53,2018-09-07,2018-09-13,2018,9
54,Luciano [DE],Ballin,Universal Domestic Urban,8,10,2018-09-07,2018-09-13,2018,9
55,Post Malone,Better Now,Universal,19,11,2018-09-07,2018-09-13,2018,9
56,Veysel,Habibo,Universal Domestic Urban,10,9,2018-09-07,2018-09-13,2018,9
57,Eminem feat. Royce Da 5'9'',Not Alike,Interscope,1,57,2018-09-07,2018-09-13,2018,9
58,Ufo361,40K,Stay High,4,13,2018-09-07,2018-09-13,2018,9
59,Marteria & Casper,Adrenalin,Zwei Bernds tanken super,1,59,2018-09-07,2018-09-13,2018,9
60,Ed Sheeran,Perfect,Atlantic,58,1,2018-09-07,2018-09-13,2018,9
61,David Guetta feat. Anne-Marie,Don't Leave Me Alone,Parlophone Label Group,6,61,2018-09-07,2018-09-13,2018,9
62,Juice WRLD,Lucid Dreams (Forget Me),Juice WRLD Mixtape,14,36,2018-09-07,2018-09-13,2018,9
63,Die Fantastischen Vier feat. Clueso,Zusammen,Columbia Domestic,24,2,2018-09-07,2018-09-13,2018,9
64,Martin Garrix feat. Khalid,Ocean,B1 Recordings,12,38,2018-09-07,2018-09-13,2018,9
65,Marteria & Casper,Champion Sound,Zwei Bernds tanken super,2,65,2018-09-07,2018-09-13,2018,9
66,Ariana Grande,God Is A Woman,Universal,8,20,2018-09-07,2018-09-13,2018,9
67,Marteria & Casper,1982 (Als ob's gestern war),Zwei Bernds tanken super,1,67,2018-09-07,2018-09-13,2018,9
68,David Guetta & Sia,Flames,Parlophone Label Group,24,7,2018-09-07,2018-09-13,2018,9
69,Eminem,Stepping Stone,Interscope,1,69,2018-09-07,2018-09-13,2018,9
70,LEA x Cyril,Immer wenn wir uns sehn,Four Music,3,63,2018-09-07,2018-09-13,2018,9
71,Eminem,Normal,Interscope,1,71,2018-09-07,2018-09-13,2018,9
72,Eli,Change Your Mind,Prime Entertainment Records,21,14,2018-09-07,2018-09-13,2018,9
73,Marteria & Casper,Willkommen in der Vorstadt,Zwei Bernds tanken super,1,73,2018-09-07,2018-09-13,2018,9
74,Zedd & Elley Duhé,Happy Now,Umgri,7,64,2018-09-07,2018-09-13,2018,9
75,Josh.,Cordula Grün,echopilot music,2,75,2018-09-07,2018-09-13,2018,9
76,Noizy feat. RAF Camora,Toto,Warner Music Germany,12,18,2018-09-07,2018-09-13,2018,9
77,6ix9ine feat. Anuel AA,Bebe,Caroline Distribution,1,77,2018-09-07,2018-09-13,2018,9
78,Ariana Grande,Breathin,Universal,3,35,2018-09-07,2018-09-13,2018,9
79,Dean Lewis,Be Alright,Universal,3,79,2018-09-07,2018-09-13,2018,9
80,LEA,Zu dir,Four Music,10,64,2018-09-07,2018-09-13,2018,9
81,Summer Cem,Tamam Tamam,Banger Musik,20,7,2018-09-07,2018-09-13,2018,9
82,LSD (Labrinth / Sia / Diplo),Thunderclouds,Columbia,1,82,2018-09-07,2018-09-13,2018,9
83,Capital Bra,Berlin lebt,Team Kuku,13,1,2018-09-07,2018-09-13,2018,9
84,Eminem,Venom,Interscope,1,84,2018-09-07,2018-09-13,2018,9
85,Ariana Grande,No Tears Left To Cry,Universal,20,2,2018-09-07,2018-09-13,2018,9
86,Eno,Penthouse,Alles Oder Nix Records,12,30,2018-09-07,2018-09-13,2018,9
87,Jason Derulo x David Guetta feat. Nicki Minaj and Willy William,Goodbye,Beluga Heights,2,55,2018-09-07,2018-09-13,2018,9
88,Bausa,Was du Liebe nennst,Warner Music Germany,49,1,2018-09-07,2018-09-13,2018,9
89,Kris Kross Amsterdam x The Boy Next Door feat. Conor Maynard,Whenever,Spinnin' Records,1,89,2018-09-07,2018-09-13,2018,9
90,Bebe Rexha,I'm A Mess,Warner Music International,3,86,2018-09-07,2018-09-13,2018,9
91,5 Seconds Of Summer,Youngblood,Capitol,14,45,2018-09-07,2018-09-13,2018,9
92,Travis Scott,Sicko Mode,Epic,5,43,2018-09-07,2018-09-13,2018,9
93,Bazzi,Beautiful,Atlantic,3,83,2018-09-07,2018-09-13,2018,9
94,Jigzaw & Kollegah,Medusablick,Alpha Music Empire,1,94,2018-09-07,2018-09-13,2018,9
95,Imagine Dragons,Natural,Interscope,3,62,2018-09-07,2018-09-13,2018,9
96,XXXTentacion,Sad!,Bad Vibes Forever,20,12,2018-09-07,2018-09-13,2018,9
97,Lost Frequencies feat. James Blunt,Melody,Kontor Records,19,26,2018-09-07,2018-09-13,2018,9
98,Eminem feat. Jessie Reyez,Good Guy,Interscope,1,98,2018-09-07,2018-09-13,2018,9
99,Selena Gomez,Back To You,Interscope,17,19,2018-09-07,2018-09-13,2018,9
100,Capital Bra feat. King Khalil,Kennzeichen B-TK,Team Kuku,11,4,2018-09-07,2018-09-13,2018,9
