current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,The Weeknd,Blinding Lights,Republic Records,17,1,2020-03-27,2020-04-02,2020,3
2,Dardan & Monet192,H <3 T E L,Hypnotize Entertainment,1,2,2020-03-27,2020-04-02,2020,3
3,Topic feat. A7S,Breaking Me,Virgin Records,12,3,2020-03-27,2020-04-02,2020,3
4,SAINt JHN,Roses (Imanbek Remix),B1 Recordings,17,4,2020-03-27,2020-04-02,2020,3
5,Robin Schulz feat. Alida,In Your Eyes,Warner Music Germany,11,5,2020-03-27,2020-04-02,2020,3
6,Tones And I,Dance Monkey,Bad Batch Records,33,1,2020-03-27,2020-04-02,2020,3
7,Samra & Capital Bra,Berlin,Urban,2,2,2020-03-27,2020-04-02,2020,3
8,Loredana feat. Rymez,Angst,Loredana,3,1,2020-03-27,2020-04-02,2020,3
9,Apache 207,Roller,SME - Two Sides,31,1,2020-03-27,2020-04-02,2020,3
10,Soolking feat. Mero,Hayati,Universal,1,10,2020-03-27,2020-04-02,2020,3
11,Ufo361,"Bad Girls, Good Vibes",Stay High,2,4,2020-03-27,2020-04-02,2020,3
12,Roddy Ricch,The Box,Atlantic,12,12,2020-03-27,2020-04-02,2020,3
13,Pietro Lombardi,Kämpferherz,Universal Domestic Polydor,1,13,2020-03-27,2020-04-02,2020,3
14,Joker Bra & Vize,Baby,Urban,8,1,2020-03-27,2020-04-02,2020,3
15,Dua Lipa,Don't Start Now,Urban,21,10,2020-03-27,2020-04-02,2020,3
16,Luciano [DE],Sip,Urban,3,3,2020-03-27,2020-04-02,2020,3
17,Nea,Some Say,SME - Milkshake,8,17,2020-03-27,2020-04-02,2020,3
18,Ava Max,Salt,Atlantic,6,18,2020-03-27,2020-04-02,2020,3
19,Dua Lipa,Physical,Urban,8,19,2020-03-27,2020-04-02,2020,3
20,Apache 207,Matrix,SME - Two Sides,5,2,2020-03-27,2020-04-02,2020,3
21,Juju x Loredana,Kein Wort,Jinx Music,10,1,2020-03-27,2020-04-02,2020,3
