current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Bushido feat. Samra & Capital Bra,Für euch alle,Bushido,1,1,2018-07-13,2018-07-19,2018,7
2,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,5,2,2018-07-13,2018-07-19,2018,7
3,El Profesor,Bella ciao (Hugel Remix),Kontor Records,9,3,2018-07-13,2018-07-19,2018,7
4,Clean Bandit feat. Demi Lovato,Solo,Atlantic,8,1,2018-07-13,2018-07-19,2018,7
5,Namika feat. Black M,Je ne parle pas français (Beatgees Remix),Jive Germany,13,1,2018-07-13,2018-07-19,2018,7
6,Summer Cem & Bausa,Casanova,Banger Musik,7,4,2018-07-13,2018-07-19,2018,7
7,Dennis Lloyd,Nevermind,Warner Music International,16,3,2018-07-13,2018-07-19,2018,7
8,Calvin Harris & Dua Lipa,One Kiss,Columbia,14,1,2018-07-13,2018-07-19,2018,7
9,Veysel,Habibo,Universal Domestic Urban,2,9,2018-07-13,2018-07-19,2018,7
10,Capital Bra,One Night Stand,Team Kuku,7,1,2018-07-13,2018-07-19,2018,7
11,Die Fantastischen Vier feat. Clueso,Zusammen,Columbia Domestic,16,2,2018-07-13,2018-07-19,2018,7
12,Capital Bra feat. Ufo361,Neymar,Team Kuku,11,1,2018-07-13,2018-07-19,2018,7
13,Alvaro Soler,La cintura,Airforce1,15,8,2018-07-13,2018-07-19,2018,7
14,Jonas Blue feat. Jack & Jack,Rise,Positiva,7,14,2018-07-13,2018-07-19,2018,7
15,Summer Cem feat. Veysel,Santorini,Banger Musik,1,15,2018-07-13,2018-07-19,2018,7
16,Maroon 5 feat. Cardi B,Girls Like You,Interscope,6,16,2018-07-13,2018-07-19,2018,7
17,Loud Luxury feat. Brando,Body,Kontor Records,7,17,2018-07-13,2018-07-19,2018,7
18,Capital Bra,Berlin lebt,Team Kuku,5,1,2018-07-13,2018-07-19,2018,7
19,Loredana,Sonnenbrille,Loredana,4,12,2018-07-13,2018-07-19,2018,7
20,David Guetta & Sia,Flames,Parlophone Label Group,16,7,2018-07-13,2018-07-19,2018,7
21,Drake feat. Michael Jackson,Don't Matter To Me,Republic Records,2,16,2018-07-13,2018-07-19,2018,7
22,"KMN Gang feat. Azet, Miami Yacine, Nash & Zuna",KMN Member,KMN Gang,2,11,2018-07-13,2018-07-19,2018,7
23,Post Malone,Better Now,Universal,11,11,2018-07-13,2018-07-19,2018,7
24,XXXTentacion,Sad!,Bad Vibes Forever,12,12,2018-07-13,2018-07-19,2018,7
25,"Cardi B, Bad Bunny & J Balvin",I Like It,Atlantic,13,22,2018-07-13,2018-07-19,2018,7
26,Noizy feat. RAF Camora,Toto,Warner Music Germany,4,18,2018-07-13,2018-07-19,2018,7
27,Drake,In My Feelings,Republic Records,2,27,2018-07-13,2018-07-19,2018,7
28,Summer Cem,Tamam Tamam,Banger Musik,12,7,2018-07-13,2018-07-19,2018,7
29,Kygo & Imagine Dragons,Born To Be Yours,B1 Recordings,4,27,2018-07-13,2018-07-19,2018,7
30,Lost Frequencies feat. James Blunt,Melody,Kontor Records,11,26,2018-07-13,2018-07-19,2018,7
31,Eno,Penthouse,Alles Oder Nix Records,4,30,2018-07-13,2018-07-19,2018,7
32,Capital Bra feat. King Khalil,Kennzeichen B-TK,Team Kuku,3,4,2018-07-13,2018-07-19,2018,7
33,Vanessa Mai feat. Olexesh,Wir 2 immer 1,Ariola,1,33,2018-07-13,2018-07-19,2018,7
34,Capital Bra feat. Capital T,Wann dann,Team Kuku,3,18,2018-07-13,2018-07-19,2018,7
35,Pietro Lombardi,Phänomenal,Universal Domestic Polydor,8,1,2018-07-13,2018-07-19,2018,7
36,Eli,Change Your Mind,Prime Entertainment Records,13,14,2018-07-13,2018-07-19,2018,7
37,Ariana Grande,No Tears Left To Cry,Universal,12,2,2018-07-13,2018-07-19,2018,7
38,Tiësto & Dzeko feat. Preme & Post Malone,Jackie Chan,Virgin Records,4,38,2018-07-13,2018-07-19,2018,7
39,Martin Garrix feat. Khalid,Ocean,B1 Recordings,4,39,2018-07-13,2018-07-19,2018,7
40,Selena Gomez,Back To You,Interscope,9,19,2018-07-13,2018-07-19,2018,7
41,Juice WRLD,Lucid Dreams (Forget Me),Juice WRLD Mixtape,6,41,2018-07-13,2018-07-19,2018,7
42,XXXTentacion,Changes,Bad Vibes Forever,5,13,2018-07-13,2018-07-19,2018,7
43,Kollegah & Farid Bang,Mitternacht 2,Banger Musik,2,19,2018-07-13,2018-07-19,2018,7
44,Wincent Weiss,An Wunder,Universal Domestic Vertigo,13,12,2018-07-13,2018-07-19,2018,7
45,Felix Jaehn feat. R. City & Bori,Jennie,Virgin Records,4,45,2018-07-13,2018-07-19,2018,7
46,Capital Bra,5 Songs in einer Nacht,Team Kuku,14,1,2018-07-13,2018-07-19,2018,7
