current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Bonez MC,Roadrunner,187 Strassenbande,1,1,2020-05-29,2020-06-04,2020,5
2,Capital Bra,Komm komm,Urban,1,2,2020-05-29,2020-06-04,2020,5
3,Apache 207,Fame,SME - Two Sides,3,1,2020-05-29,2020-06-04,2020,5
4,Pashanim,Airwaves,Urban,2,2,2020-05-29,2020-06-04,2020,5
5,DaBaby feat. Roddy Ricch,Rockstar,Interscope,6,5,2020-05-29,2020-06-04,2020,5
6,Ufo361,Emotions,Stay High,5,2,2020-05-29,2020-06-04,2020,5
7,The Weeknd,Blinding Lights,Republic Records,26,1,2020-05-29,2020-06-04,2020,5
8,SAINt JHN,Roses (Imanbek Remix),B1 Recordings,26,3,2020-05-29,2020-06-04,2020,5
9,Lady Gaga & Ariana Grande,Rain On Me,Interscope,1,9,2020-05-29,2020-06-04,2020,5
10,Capital Bra x Loredana,Nicht verdient,Urban,4,1,2020-05-29,2020-06-04,2020,5
11,Dardan,Favela,Hypnotize Entertainment,1,11,2020-05-29,2020-06-04,2020,5
12,Surf Mesa feat. Emilee,ILY (I Love You Baby),Astralwerk,10,7,2020-05-29,2020-06-04,2020,5
13,Topic feat. A7S,Breaking Me,Virgin Records,21,3,2020-05-29,2020-06-04,2020,5
14,Robin Schulz feat. Alida,In Your Eyes,Warner Music Germany,20,5,2020-05-29,2020-06-04,2020,5
15,Mark Forster,Ãœbermorgen,SME - Marecs,4,15,2020-05-29,2020-06-04,2020,5
16,Ava Max,Kings & Queens,Atlantic,11,16,2020-05-29,2020-06-04,2020,5
17,Drake,Toosie Slide,Republic Records,8,2,2020-05-29,2020-06-04,2020,5
18,Kayef,Ich wÃ¼rd' lÃ¼gen,Recordjet,8,13,2020-05-29,2020-06-04,2020,5
19,Apache 207,Roller,SME - Two Sides,40,1,2020-05-29,2020-06-04,2020,5
20,KC Rebell x Summer Cem,Geht nich gibs nich,Banger Musik,2,4,2020-05-29,2020-06-04,2020,5
21,Tones And I,Dance Monkey,Bad Batch Records,42,1,2020-05-29,2020-06-04,2020,5
22,Nea,Some Say,SME - Milkshake,17,15,2020-05-29,2020-06-04,2020,5
23,Ava Max,Salt,Atlantic,15,10,2020-05-29,2020-06-04,2020,5
24,Sarah Lombardi,Te amo mi amor,SME - Ariola,2,11,2020-05-29,2020-06-04,2020,5
25,Luciano [DE],Late Night,Urban,4,7,2020-05-29,2020-06-04,2020,5
26,Vize & Tom Gregory,Never Let Me Down,Kontor Records,5,26,2020-05-29,2020-06-04,2020,5
27,Luciano [DE],Maison,Urban,2,9,2020-05-29,2020-06-04,2020,5
28,CÃ©line [DE],TrÃ¤nen aus Kajal,BTGS,8,17,2020-05-29,2020-06-04,2020,5
29,Nico Santos & Topic,Like I Love You,Virgin Records,6,24,2020-05-29,2020-06-04,2020,5
30,Fourty,Weisser Rauch,Life Is Pain,5,30,2020-05-29,2020-06-04,2020,5
31,Shirin David,90-60-111,Juicy Money Records,5,1,2020-05-29,2020-06-04,2020,5
32,Powfu feat. Beabadoobee,Death Bed,SME - Independently Popular.,12,18,2020-05-29,2020-06-04,2020,5
33,Benee feat. Gus Dapperton,Supalonely,Universal,11,26,2020-05-29,2020-06-04,2020,5
34,Fourty x Monet192,Wieder mal,Life Is Pain,1,34,2020-05-29,2020-06-04,2020,5
35,Fero47,Anders,SME - Epic Domestic,2,27,2020-05-29,2020-06-04,2020,5
36,Samra,BaeBae,Urban,7,2,2020-05-29,2020-06-04,2020,5
37,Black Eyed Peas / Ozuna + J. Rey Soul,Mamacita,SME - Epic,5,37,2020-05-29,2020-06-04,2020,5
38,Doja Cat,Say So,SME - RCA International,13,33,2020-05-29,2020-06-04,2020,5
39,The Scotts [Travis Scott & Kid Cudi],The Scotts,SME - Epic,5,8,2020-05-29,2020-06-04,2020,5
40,Nimo & Rina,Trendsetter,385ideal,4,18,2020-05-29,2020-06-04,2020,5
41,Regard,Ride It,B1 Recordings/Ministry of Sound,36,4,2020-05-29,2020-06-04,2020,5
42,BadmÃ³mzjay,Rollercoaster,Universal Domestic Vertigo,1,42,2020-05-29,2020-06-04,2020,5
43,Kontra K,Namen,BMG,4,5,2020-05-29,2020-06-04,2020,5
44,Haftbefehl x Shirin David,Conan x Xenia,Urban,3,4,2020-05-29,2020-06-04,2020,5
45,Dua Lipa,Physical,Urban,17,14,2020-05-29,2020-06-04,2020,5
46,LEA,Treppenhaus,SME - Four Music,12,18,2020-05-29,2020-06-04,2020,5
47,Dardan & Monet192,H <3 T E L,Hypnotize Entertainment,10,2,2020-05-29,2020-06-04,2020,5
48,Ariana Grande & Justin Bieber,Stuck With U,Universal,3,19,2020-05-29,2020-06-04,2020,5
49,Ardian Bujupi,Modela,SME - Columbia Domestic,1,49,2020-05-29,2020-06-04,2020,5
50,Felix Jaehn feat. Gashi & Faangs,Sicko,Virgin Records,3,50,2020-05-29,2020-06-04,2020,5
51,Megan Thee Stallion,Savage,300 Entertainment,9,33,2020-05-29,2020-06-04,2020,5
52,Alicia Keys,Underdog,SME - RCA International,12,24,2020-05-29,2020-06-04,2020,5
53,Apache 207,200 km/h,SME - Two Sides,36,4,2020-05-29,2020-06-04,2020,5
54,Dua Lipa,Don't Start Now,Urban,30,10,2020-05-29,2020-06-04,2020,5
55,Sinan-G,RÃ¼ckspiegel,7M2-Music,1,55,2020-05-29,2020-06-04,2020,5
56,Shindy,What's Luv,SME - Friends With Money,8,3,2020-05-29,2020-06-04,2020,5
57,Ra'is & Xatar,Sehe schwarz,Groove Attack TraX,1,57,2020-05-29,2020-06-04,2020,5
58,Bonez MC,Shotz Fired,187 Strassenbande,7,4,2020-05-29,2020-06-04,2020,5
59,Symba [DE],Angels sippen,SME - Symba,9,13,2020-05-29,2020-06-04,2020,5
60,Tom Gregory,Fingertips,Kontor Records,12,33,2020-05-29,2020-06-04,2020,5
61,Doja Cat,Boss Bitch,Atlantic,11,31,2020-05-29,2020-06-04,2020,5
62,Pashanim,Hauseingang,Urban,14,56,2020-05-29,2020-06-04,2020,5
63,Zoe Wees,Control,Caroline Records,1,63,2020-05-29,2020-06-04,2020,5
64,LUM!X x Mokaby & D.T.E x Gabry Ponte,The Passenger (LaLaLa),Spinnin' Records,10,58,2020-05-29,2020-06-04,2020,5
65,Felix Jaehn & Vize feat. Miss Li,Close Your Eyes,Virgin Records,23,21,2020-05-29,2020-06-04,2020,5
66,Loredana x Zuna,Du bist mein,KMN Gang,9,1,2020-05-29,2020-06-04,2020,5
67,Dua Lipa,Break My Heart,Urban,9,26,2020-05-29,2020-06-04,2020,5
68,Kygo & OneRepublic,Lose Somebody,SME - Kygo,2,45,2020-05-29,2020-06-04,2020,5
69,Roddy Ricch,The Box,Atlantic,21,12,2020-05-29,2020-06-04,2020,5
70,Trevor Daniel,Falling,Alamo Records,21,13,2020-05-29,2020-06-04,2020,5
71,LUM!X & Gabry Ponte,Monster,Spinnin' Records,44,20,2020-05-29,2020-06-04,2020,5
72,DripReport,Skechers,SME - Arista,7,41,2020-05-29,2020-06-04,2020,5
73,Lewis Capaldi,Someone You Loved,Universal Domestic Vertigo,69,18,2020-05-29,2020-06-04,2020,5
74,Olexesh x Manuellsen,Click Click,385ideal,1,74,2020-05-29,2020-06-04,2020,5
75,Capital Bra x Samra & Lea,110,Urban,36,1,2020-05-29,2020-06-04,2020,5
76,Billie Eilish,Bad Guy,Universal,61,4,2020-05-29,2020-06-04,2020,5
77,Lewis Capaldi,Before You Go,Universal Domestic Vertigo,24,42,2020-05-29,2020-06-04,2020,5
78,MoTrip,80 Millionen [Live],Music for Millions,3,60,2020-05-29,2020-06-04,2020,5
79,Travis Scott,Highest In The Room,SME - Epic,26,8,2020-05-29,2020-06-04,2020,5
80,Joker Bra & Vize,Baby,Urban,17,1,2020-05-29,2020-06-04,2020,5
81,Jack Harlow,Whats Poppin,Generation Azzlack,4,81,2020-05-29,2020-06-04,2020,5
82,Samra & Capital Bra,365 Tage,Urban,6,4,2020-05-29,2020-06-04,2020,5
83,Juju feat. Henning May,Vermissen,Jinx Music,56,1,2020-05-29,2020-06-04,2020,5
84,Future feat. Drake,Life Is Good,SME - Epic,20,8,2020-05-29,2020-06-04,2020,5
85,Jerome [DE],Take My Hand,Kontor Records,1,85,2020-05-29,2020-06-04,2020,5
86,Juju x Loredana,Kein Wort,Jinx Music,19,1,2020-05-29,2020-06-04,2020,5
87,Sido feat. Apache 207,2002,Urban,34,6,2020-05-29,2020-06-04,2020,5
88,Vize & Felix Jaehn,Thank You (Not So Bad),Virgin Records,5,80,2020-05-29,2020-06-04,2020,5
89,Gamper & Dadoni,Gimme! Gimme! Gimme!,Big Top Amsterdam,9,69,2020-05-29,2020-06-04,2020,5
90,Marshmello & Halsey,Be Kind,Astralwerk,4,54,2020-05-29,2020-06-04,2020,5
91,Ali471,Goalgetter,SME - Ali471,6,38,2020-05-29,2020-06-04,2020,5
92,Sam Feldt feat. Rani,Post Malone,Spinnin' Records,33,46,2020-05-29,2020-06-04,2020,5
93,Ufo361,Allein sein,Stay High,9,3,2020-05-29,2020-06-04,2020,5
94,Dardan & Veysel,Viele,Hypnotize Entertainment,4,19,2020-05-29,2020-06-04,2020,5
95,Lady Gaga,Stupid Love,Interscope,7,21,2020-05-29,2020-06-04,2020,5
96,Jerome [DE],Light,Kontor Records,27,39,2020-05-29,2020-06-04,2020,5
97,Jalil / Samra,45,SME - Swish,2,37,2020-05-29,2020-06-04,2020,5
98,Surfaces,Sunday Best,Caroline Records,13,50,2020-05-29,2020-06-04,2020,5
99,Michael Patrick Kelly,Beautiful Madness,SME - Columbia Domestic,2,66,2020-05-29,2020-06-04,2020,5
100,Kasimir1441,Kickdown,1441,1,100,2020-05-29,2020-06-04,2020,5
