current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Juju feat. Henning May,Vermissen,Jinx Music,1,1,2019-05-10,2019-05-16,2019,5
2,Lil Nas X,Old Town Road,SME - Columbia,6,1,2019-05-10,2019-05-16,2019,5
3,Pietro Lombardi,Bella Donna,Universal Domestic Polydor,1,3,2019-05-10,2019-05-16,2019,5
4,Billie Eilish,Bad Guy,Universal,6,4,2019-05-10,2019-05-16,2019,5
5,Ufo361 feat. RIN,Next,Stay High,2,3,2019-05-10,2019-05-16,2019,5
6,Capital Bra feat. Summer Cem & KC Rebell,Rolex,Universal Domestic Urban,4,2,2019-05-10,2019-05-16,2019,5
7,Capital Bra,Cherry Lady,Universal Domestic Urban,7,1,2019-05-10,2019-05-16,2019,5
8,Daddy Yankee feat. Snow,Con calma,Universal,12,6,2019-05-10,2019-05-16,2019,5
9,Avicii feat. Aloe Blacc,SOS,Universal,4,9,2019-05-10,2019-05-16,2019,5
10,Sero el Mero,Ohne Sinn,Groove Attack,1,10,2019-05-10,2019-05-16,2019,5
11,Rammstein,Deutschland,Rammstein,6,1,2019-05-10,2019-05-16,2019,5
12,Mabel [UK],Don't Call Me Up,Polydor,12,10,2019-05-10,2019-05-16,2019,5
13,Bausa,Mary,Warner Music Germany,6,8,2019-05-10,2019-05-16,2019,5
14,Shawn Mendes,If I Can't Have You,Island,1,14,2019-05-10,2019-05-16,2019,5
15,Dardan,Coco Mama,Universal Domestic Urban,5,4,2019-05-10,2019-05-16,2019,5
16,Ardian Bujupi x Fero47,Wie im Traum,SME - Columbia Domestic,2,15,2019-05-10,2019-05-16,2019,5
17,Imagine Dragons,Bad Liar,Interscope,25,16,2019-05-10,2019-05-16,2019,5
18,Samra,Harami,Universal Domestic Urban,5,1,2019-05-10,2019-05-16,2019,5
19,"Samra feat. Capital Bra, Brudi30 & Kalazh44",Ghetto,Universal Domestic Urban,1,19,2019-05-10,2019-05-16,2019,5
20,Eno,Blackberry Sky,Alles Oder Nix Records,7,2,2019-05-10,2019-05-16,2019,5
21,Mero,Wolke 10,Groove Attack,9,1,2019-05-10,2019-05-16,2019,5
22,KC Rebell,Quarterback,Rebell Army,3,8,2019-05-10,2019-05-16,2019,5
23,Kontra K feat. Veysel,Blei,BMG,4,6,2019-05-10,2019-05-16,2019,5
24,Ava Max,So Am I,Atlantic,9,21,2019-05-10,2019-05-16,2019,5
25,Lewis Capaldi,Someone You Loved,Universal Domestic Vertigo,14,25,2019-05-10,2019-05-16,2019,5
26,Taylor Swift feat. Brendon Urie of Panic! At The Disco,Me!,Taylor Swift Productions,2,12,2019-05-10,2019-05-16,2019,5
27,Ava Max,Sweet But Psycho,Atlantic,29,1,2019-05-10,2019-05-16,2019,5
28,LX & Maxwell,Mercy Mercy,187 Strassenbande,2,11,2019-05-10,2019-05-16,2019,5
29,Shindy,Affalterbach,SME - Friends With Money,7,3,2019-05-10,2019-05-16,2019,5
30,Lady Gaga & Bradley Cooper,Shallow,Interscope,32,4,2019-05-10,2019-05-16,2019,5
31,Capital Bra x Samra,Wir ticken,Universal Domestic Urban,8,1,2019-05-10,2019-05-16,2019,5
32,The BossHoss feat. Mimi & Josy,Little Help,Universal Domestic Island,1,32,2019-05-10,2019-05-16,2019,5
33,Gaullin,Moonlight,B1 Recordings,12,24,2019-05-10,2019-05-16,2019,5
34,KC Rebell feat. Summer Cem & Capital Bra,DNA,Rebell Army,12,1,2019-05-10,2019-05-16,2019,5
35,Capital Bra,Prinzessa,Universal Domestic Urban,15,1,2019-05-10,2019-05-16,2019,5
36,Eno,Souvenir,Alles Oder Nix Records,1,36,2019-05-10,2019-05-16,2019,5
37,Jonas Brothers,Sucker,Jonas Brothers Recording,10,20,2019-05-10,2019-05-16,2019,5
38,Logic feat. Eminem,Homicide,Def Jam,1,38,2019-05-10,2019-05-16,2019,5
39,C Arma,Yapma,C Arma,18,29,2019-05-10,2019-05-16,2019,5
40,The Prince Karma,Later Bitches,Kontor Records,12,36,2019-05-10,2019-05-16,2019,5
41,Rammstein,Radio,Rammstein,2,4,2019-05-10,2019-05-16,2019,5
42,Gringo & Nimo,Blue Lagoon,SME - SLS Music,1,42,2019-05-10,2019-05-16,2019,5
43,KC Rebell,Alleen,Rebell Army,8,4,2019-05-10,2019-05-16,2019,5
44,Post Malone,Wow.,Republic Records,19,16,2019-05-10,2019-05-16,2019,5
45,Samra,Shoote ma Shoote,Universal Domestic Urban,5,14,2019-05-10,2019-05-16,2019,5
46,Shirin David,Gib ihm,Shirin David Music,12,1,2019-05-10,2019-05-16,2019,5
47,Alec Benjamin,Let Me Down Slowly,Atlantic,14,40,2019-05-10,2019-05-16,2019,5
48,Calvin Harris & Rag'n'Bone Man,Giant,SME - Columbia,17,6,2019-05-10,2019-05-16,2019,5
49,Robin Schulz feat. Harlœ,All This Love,Warner Music Germany,1,49,2019-05-10,2019-05-16,2019,5
50,18 Karat,FMFL 3.0,Banger Musik,1,50,2019-05-10,2019-05-16,2019,5
51,Lena,Don't Lie To Me,Universal Domestic Polydor,7,51,2019-05-10,2019-05-16,2019,5
52,Lauv & Troye Sivan,I'm So Tired...,Lauv,15,42,2019-05-10,2019-05-16,2019,5
53,Robin Schulz feat. Erika Sirola,Speechless,Warner Music Germany,25,7,2019-05-10,2019-05-16,2019,5
54,Marshmello feat. Chvrches,Here With Me,MARSHMELLO,8,49,2019-05-10,2019-05-16,2019,5
55,Capital Bra,Benzema,Universal Domestic Urban,20,1,2019-05-10,2019-05-16,2019,5
56,Panic! At The Disco,High Hopes,Atlantic,40,5,2019-05-10,2019-05-16,2019,5
57,P!nk,Walk Me Home,SME - RCA International,11,33,2019-05-10,2019-05-16,2019,5
58,Capital Bra feat. Nimo,Bye Bye,Universal Domestic Urban,4,7,2019-05-10,2019-05-16,2019,5
59,Fero47,Puerto Rico,SME - Epic,7,7,2019-05-10,2019-05-16,2019,5
60,Ariana Grande,7 Rings,Republic Records,16,4,2019-05-10,2019-05-16,2019,5
61,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,48,1,2019-05-10,2019-05-16,2019,5
62,Mathea,2x,Earcandy Recordings,9,49,2019-05-10,2019-05-16,2019,5
63,Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,40,1,2019-05-10,2019-05-16,2019,5
64,Matt Simons,Open Up,Pias,3,63,2019-05-10,2019-05-16,2019,5
65,Dominic Fike,3 Nights,SME - Columbia,3,65,2019-05-10,2019-05-16,2019,5
66,Luciano [DE],Millies,Universal Domestic Urban,3,19,2019-05-10,2019-05-16,2019,5
67,Billie Eilish,Bury A Friend,Interscope,14,14,2019-05-10,2019-05-16,2019,5
68,Ufo361,Pass auf wen du liebst,Stay High,8,3,2019-05-10,2019-05-16,2019,5
69,Sarah Connor,Vincent,Universal Domestic Polydor,5,29,2019-05-10,2019-05-16,2019,5
70,Kerstin Ott & Helene Fischer,Regenbogenfarben,Universal Domestic Polydor,19,20,2019-05-10,2019-05-16,2019,5
71,Kygo and Rita Ora,Carry On,SME - RCA International,3,66,2019-05-10,2019-05-16,2019,5
72,Samra,Mosaik,Universal Domestic Urban,2,43,2019-05-10,2019-05-16,2019,5
73,Michael Schulte,Back To The Start,Very Us Records,2,73,2019-05-10,2019-05-16,2019,5
74,Loud Luxury feat. Brando,Body,Kontor Records,50,7,2019-05-10,2019-05-16,2019,5
75,Dennis Lloyd,Never Go Back,SME - Arista,5,74,2019-05-10,2019-05-16,2019,5
76,Seeed,Ticket,BMG,4,63,2019-05-10,2019-05-16,2019,5
77,Lil Dicky,Earth,BMG,2,77,2019-05-10,2019-05-16,2019,5
78,Meduza feat. Goodboys,Piece Of Your Heart,Virgin Records,1,78,2019-05-10,2019-05-16,2019,5
79,Jigzaw feat. Nimo,Wer,Alpha Empire,2,38,2019-05-10,2019-05-16,2019,5
80,Capital Bra,Capital Bra je m'appelle,Universal Domestic Urban,11,3,2019-05-10,2019-05-16,2019,5
81,Eno feat. Mero,Ferrari,Alles Oder Nix Records,12,1,2019-05-10,2019-05-16,2019,5
82,Eno feat. Noah,Plaza,Alles Oder Nix Records,3,38,2019-05-10,2019-05-16,2019,5
83,Sam Smith & Normani,Dancing With A Stranger,Capitol,17,37,2019-05-10,2019-05-16,2019,5
84,Halsey,Without Me,Capitol,31,11,2019-05-10,2019-05-16,2019,5
85,Juju [DE],Hardcore High,Jinx Music,5,20,2019-05-10,2019-05-16,2019,5
86,Miami Yacine,Paul Castellano,KMN Gang,1,86,2019-05-10,2019-05-16,2019,5
87,Sido,Tausend Tattoos,Universal Domestic Urban,28,2,2019-05-10,2019-05-16,2019,5
