current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Mariah Carey,All I Want For Christmas Is You,Sony Music,72,1,2020-12-04,2020-12-10,2020,12
2,Wham!,Last Christmas,Epic,143,2,2020-12-04,2020-12-10,2020,12
3,Luna [DE],Verlierer,Four Music / Treppenhaus,1,3,2020-12-04,2020-12-10,2020,12
4,Master KG feat. Burna Boy & Nomcebo Zikode,Jerusalema (Remix),Elektra France,17,4,2020-12-04,2020-12-10,2020,12
5,24kGoldn feat. Iann Dior,Mood,Columbia,15,1,2020-12-04,2020-12-10,2020,12
6,Melanie Thornton,Wonderful Dream (Holidays Are Coming),X-Cell,119,3,2020-12-04,2020-12-10,2020,12
7,Chris Rea,Driving Home For Christmas,Warner Music International,60,5,2020-12-04,2020-12-10,2020,12
8,Lune,Gebe auf.,Lune,8,2,2020-12-04,2020-12-10,2020,12
9,Michael Bublé,It's Beginning To Look A Lot Like Christmas,Reprise Records,17,9,2020-12-04,2020-12-10,2020,12
10,Shakin' Stevens,Merry Christmas Everyone,Epic,18,7,2020-12-04,2020-12-10,2020,12
11,Ariana Grande,Santa Tell Me,Universal,15,11,2020-12-04,2020-12-10,2020,12
12,Zuna,1 Stunde,KMN Gang,1,12,2020-12-04,2020-12-10,2020,12
13,Bonez MC,Angeklagt,187 Strassenbande,6,1,2020-12-04,2020-12-10,2020,12
14,Joel Corry feat. MNEK,Head & Heart,Atlantic,20,4,2020-12-04,2020-12-10,2020,12
15,Kelly Clarkson,Underneath The Tree,RCA International,11,15,2020-12-04,2020-12-10,2020,12
16,Internet Money & Gunna feat. Don Toliver & Nav,Lemonade,Internet Money,16,2,2020-12-04,2020-12-10,2020,12
17,Billie Eilish,Therefore I Am,Interscope,3,5,2020-12-04,2020-12-10,2020,12
18,Luciano [DE],Aqua,Urban,1,18,2020-12-04,2020-12-10,2020,12
19,Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees & Toes,Spinnin' Records,18,6,2020-12-04,2020-12-10,2020,12
20,Rolf Zuckowski und seine Freunde,In der Weihnachtsbäckerei,Musik für Dich,16,20,2020-12-04,2020-12-10,2020,12
21,Shawn Mendes / Justin Bieber,Monster,Shawn Mendes LP4-5 PS,2,6,2020-12-04,2020-12-10,2020,12
22,Robin Schulz feat. Kiddo,All We Got,Warner Music Germany,7,14,2020-12-04,2020-12-10,2020,12
23,Vize x Joker Bra x Leony,Paradise,Kontor Records,15,4,2020-12-04,2020-12-10,2020,12
24,Paul McCartney,Wonderful Christmastime,Capitol,14,12,2020-12-04,2020-12-10,2020,12
25,KC Rebell x Summer Cem,Down,Banger Musik,2,5,2020-12-04,2020-12-10,2020,12
26,John & Yoko / The Plastic Ono Band with The Harlem Community Choir,Happy Xmas (War Is Over),EMI,28,10,2020-12-04,2020-12-10,2020,12
27,Justin Bieber,Mistletoe,Island,14,27,2020-12-04,2020-12-10,2020,12
28,Band Aid,Do They Know It's Christmas?,Mercury,49,1,2020-12-04,2020-12-10,2020,12
29,Mark Forster x Vize,Bist du okay,Four Music,10,11,2020-12-04,2020-12-10,2020,12
30,Reezy feat. Nimo,Trance,Four Music / TwoSides,1,30,2020-12-04,2020-12-10,2020,12
31,The Weeknd,Blinding Lights,Republic Records,53,1,2020-12-04,2020-12-10,2020,12
32,Miley Cyrus feat. Dua Lipa,Prisoner,RCA International,2,20,2020-12-04,2020-12-10,2020,12
33,Purple Disco Machine & Sophie And The Giants,Hypnotized,Columbia,18,18,2020-12-04,2020-12-10,2020,12
34,Brenda Lee,Rockin' Around The Christmas Tree,Universal,10,26,2020-12-04,2020-12-10,2020,12
35,Miley Cyrus,Midnight Sky,RCA,16,27,2020-12-04,2020-12-10,2020,12
36,Bobby Helms,Jingle Bell Rock,K-Tel,10,32,2020-12-04,2020-12-10,2020,12
37,Loredana,Gangster,Loredana,1,37,2020-12-04,2020-12-10,2020,12
38,Queen,Thank God It's Christmas,Universal,19,16,2020-12-04,2020-12-10,2020,12
