current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Capital Bra x Samra,Wir ticken,Universal Domestic Urban,1,1,2019-03-22,2019-03-28,2019,3
2,Mero,Wolke 10,Groove Attack,2,1,2019-03-22,2019-03-28,2019,3
3,Ufo361,Pass auf wen du liebst,Stay High,1,3,2019-03-22,2019-03-28,2019,3
4,KC Rebell,Alleen,Rebell Army,1,4,2019-03-22,2019-03-28,2019,3
5,Mero,Jay Jay,Groove Attack,1,5,2019-03-22,2019-03-28,2019,3
6,Shirin David,Gib ihm,Shirin David Music,5,1,2019-03-22,2019-03-28,2019,3
7,Mero feat. Brrado,TrÃ¤ume werden wahr,Groove Attack,1,7,2019-03-22,2019-03-28,2019,3
8,Mero,Wie Buffon,Groove Attack,1,8,2019-03-22,2019-03-28,2019,3
9,Mero,Hobby Hobby,Groove Attack,9,1,2019-03-22,2019-03-28,2019,3
10,Ava Max,Sweet But Psycho,Atlantic,22,1,2019-03-22,2019-03-28,2019,3
11,Kontra K,Kampfgeist 4,BMG,1,11,2019-03-22,2019-03-28,2019,3
12,Mero,Hops,Groove Attack,1,12,2019-03-22,2019-03-28,2019,3
13,KC Rebell feat. Summer Cem & Capital Bra,DNA,Rebell Army,5,1,2019-03-22,2019-03-28,2019,3
14,Calvin Harris & Rag'n'Bone Man,Giant,SME - Columbia,10,6,2019-03-22,2019-03-28,2019,3
15,Daddy Yankee feat. Snow,Con calma,Universal,5,14,2019-03-22,2019-03-28,2019,3
16,Mero,Baller los,Groove Attack,17,1,2019-03-22,2019-03-28,2019,3
17,Capital Bra,Capital Bra je m'appelle,Universal Domestic Urban,4,3,2019-03-22,2019-03-28,2019,3
18,Mero,Gib ihn,Groove Attack,1,18,2019-03-22,2019-03-28,2019,3
19,Mero,Mill'n,Groove Attack,1,19,2019-03-22,2019-03-28,2019,3
20,Capital Bra,Prinzessa,Universal Domestic Urban,8,1,2019-03-22,2019-03-28,2019,3
