current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Bonez MC & RAF Camora feat. Gzuz,Kokain,Universal Domestic Vertigo,1,1,2018-09-21,2018-09-27,2018,9
2,Dynoro & Gigi D'Agostino,In My Mind,B1 Recordings,15,1,2018-09-21,2018-09-27,2018,9
3,Loredana x Mozzik,Bonnie & Clyde,Loredana,1,3,2018-09-21,2018-09-27,2018,9
4,Bonez MC & RAF Camora,500 PS,Universal Domestic Vertigo,7,2,2018-09-21,2018-09-27,2018,9
5,RIN,Dior 2001,Division,5,4,2018-09-21,2018-09-27,2018,9
6,Calvin Harris & Sam Smith,Promises,Columbia,5,5,2018-09-21,2018-09-27,2018,9
7,Bushido,Mephisto,Bushido,1,7,2018-09-21,2018-09-27,2018,9
8,Capital Bra feat. Juju,Melodien,Bushido,7,1,2018-09-21,2018-09-27,2018,9
9,Dardan,Facetime,Hypnotize Entertainment,5,7,2018-09-21,2018-09-27,2018,9
10,Kanye West & Lil Pump,I Love It,Def Jam,2,10,2018-09-21,2018-09-27,2018,9
11,Bonez MC & RAF Camora,Risiko,Universal Domestic Vertigo,4,2,2018-09-21,2018-09-27,2018,9
12,El Profesor,Bella ciao (Hugel Remix),Kontor Records,19,2,2018-09-21,2018-09-27,2018,9
13,Loud Luxury feat. Brando,Body,Kontor Records,17,7,2018-09-21,2018-09-27,2018,9
14,Clean Bandit feat. Demi Lovato,Solo,Atlantic,18,1,2018-09-21,2018-09-27,2018,9
15,Armin van Buuren,Blah Blah Blah,Kontor Records,10,11,2018-09-21,2018-09-27,2018,9
16,George Ezra,Shotgun,Columbia,9,12,2018-09-21,2018-09-27,2018,9
17,Leon Machère,Copacabana,PMR Music,8,13,2018-09-21,2018-09-27,2018,9
18,Maroon 5 feat. Cardi B,Girls Like You,Interscope,16,9,2018-09-21,2018-09-27,2018,9
19,"Benny Blanco, Halsey & Khalid",Eastside,Universal,10,18,2018-09-21,2018-09-27,2018,9
20,Jonas Blue feat. Jack & Jack,Rise,Virgin Records,17,8,2018-09-21,2018-09-27,2018,9
21,LEA x Cyril,Immer wenn wir uns sehn,Four Music,5,21,2018-09-21,2018-09-27,2018,9
22,Azzi Memo feat. Nimo,BlaBla,Generation Azzlack,2,14,2018-09-21,2018-09-27,2018,9
23,Marshmello & Bastille,Happier,Astralwerk,5,23,2018-09-21,2018-09-27,2018,9
24,Summer Cem & Bausa,Casanova,Banger Musik,17,4,2018-09-21,2018-09-27,2018,9
25,Eno feat. Raschid Moussa,Cane cane,Alles Oder Nix Records,1,25,2018-09-21,2018-09-27,2018,9
26,Bausa,Vagabund,Warner Music Germany,4,10,2018-09-21,2018-09-27,2018,9
27,Eminem feat. Joyner Lucas,Lucky You,Interscope,3,19,2018-09-21,2018-09-27,2018,9
28,Panic! At The Disco,High Hopes,Atlantic,7,28,2018-09-21,2018-09-27,2018,9
29,Eno,Mercedes,Alles Oder Nix Records,9,6,2018-09-21,2018-09-27,2018,9
30,"Alle Farben, Kelvin Jones & Younotus",Only Thing We Know,B1 Recordings,12,20,2018-09-21,2018-09-27,2018,9
31,"Cardi B, Bad Bunny & J Balvin",I Like It,Atlantic,23,14,2018-09-21,2018-09-27,2018,9
32,David Guetta feat. Anne-Marie,Don't Leave Me Alone,Parlophone Label Group,8,32,2018-09-21,2018-09-27,2018,9
33,Namika feat. Black M,Je ne parle pas français (Beatgees Remix),Jive Germany,23,1,2018-09-21,2018-09-27,2018,9
34,Dennis Lloyd,Nevermind,Warner Music International,26,3,2018-09-21,2018-09-27,2018,9
35,Robin Schulz & Piso 21,Oh Child,Warner Music Germany,13,19,2018-09-21,2018-09-27,2018,9
36,AK Ausserkontrolle feat. Veysel,Unterwegs,Universal Domestic Vertigo,3,26,2018-09-21,2018-09-27,2018,9
37,Drake,In My Feelings,Republic Records,12,4,2018-09-21,2018-09-27,2018,9
38,Calvin Harris & Dua Lipa,One Kiss,Columbia,24,1,2018-09-21,2018-09-27,2018,9
39,Josh.,Cordula Grün,echopilot music,4,39,2018-09-21,2018-09-27,2018,9
40,Capital Bra,One Night Stand,Team Kuku,17,1,2018-09-21,2018-09-27,2018,9
41,Nico Santos,Safe,Virgin Records,12,24,2018-09-21,2018-09-27,2018,9
42,Dean Lewis,Be Alright,Universal,5,42,2018-09-21,2018-09-27,2018,9
43,6ix9ine feat. Nicki Minaj & Murda Beatz,Fefe,ScumGang Records,9,16,2018-09-21,2018-09-27,2018,9
44,Capital Bra feat. Ufo361,Neymar,Team Kuku,21,1,2018-09-21,2018-09-27,2018,9
45,Kygo & Imagine Dragons,Born To Be Yours,B1 Recordings,14,22,2018-09-21,2018-09-27,2018,9
46,Kris Kross Amsterdam x The Boy Next Door feat. Conor Maynard,Whenever,Spinnin' Records,3,46,2018-09-21,2018-09-27,2018,9
47,Anne-Marie,2002,Atlantic,18,18,2018-09-21,2018-09-27,2018,9
48,"Cro, Trettmann & KitschKrieg",10419,Truworks Records,2,24,2018-09-21,2018-09-27,2018,9
49,Miami Yacine,Testarossa,KMN Gang,5,21,2018-09-21,2018-09-27,2018,9
50,Tiësto & Dzeko feat. Preme & Post Malone,Jackie Chan,Virgin Records,14,25,2018-09-21,2018-09-27,2018,9
51,"DJ Khaled feat. Justin Bieber, Chance The Rapper & Quavo",No Brainer,Epic,8,15,2018-09-21,2018-09-27,2018,9
52,Felix Jaehn feat. R. City & Bori,Jennie,Virgin Records,14,40,2018-09-21,2018-09-27,2018,9
53,Jason Derulo x David Guetta feat. Nicki Minaj and Willy William,Goodbye,Beluga Heights,4,53,2018-09-21,2018-09-27,2018,9
54,LEA,Zu dir,Four Music,12,54,2018-09-21,2018-09-27,2018,9
55,Alvaro Soler,La cintura,Airforce1,25,7,2018-09-21,2018-09-27,2018,9
56,Bushido feat. Samra & Capital Bra,Für euch alle,Bushido,11,1,2018-09-21,2018-09-27,2018,9
57,Azet,Nike Pullover,KMN Gang,7,18,2018-09-21,2018-09-27,2018,9
58,Imagine Dragons,Natural,Interscope,5,58,2018-09-21,2018-09-27,2018,9
59,Luciano [DE],Ballin,Universal Domestic Urban,10,10,2018-09-21,2018-09-27,2018,9
60,Ed Sheeran,Perfect,Atlantic,60,1,2018-09-21,2018-09-27,2018,9
61,Juice WRLD,Lucid Dreams (Forget Me),Juice WRLD Mixtape,16,36,2018-09-21,2018-09-27,2018,9
62,David Guetta & Sia,Flames,Parlophone Label Group,26,7,2018-09-21,2018-09-27,2018,9
63,Post Malone,Better Now,Universal,21,11,2018-09-21,2018-09-27,2018,9
64,LSD (Labrinth / Sia / Diplo),Thunderclouds,Columbia,3,56,2018-09-21,2018-09-27,2018,9
65,Eminem,Fall,Interscope,3,37,2018-09-21,2018-09-27,2018,9
66,Veysel,Habibo,Universal Domestic Urban,12,9,2018-09-21,2018-09-27,2018,9
67,Martin Garrix feat. Khalid,Ocean,B1 Recordings,14,38,2018-09-21,2018-09-27,2018,9
68,Gringo feat. 6ix9ine,Gigi (Zkittlez),SLS Music,7,6,2018-09-21,2018-09-27,2018,9
69,Khalid,Better,Right Hand Music Group,1,69,2018-09-21,2018-09-27,2018,9
70,Mert,Ekşi,Husla Music,2,52,2018-09-21,2018-09-27,2018,9
71,"David Guetta, Bebe Rexha & J Balvin",Say My Name,Parlophone Label Group,1,71,2018-09-21,2018-09-27,2018,9
72,Katja Krasavice,Sex Tape,PMR Music,6,6,2018-09-21,2018-09-27,2018,9
73,Summer Cem,Tamam Tamam,Banger Musik,22,7,2018-09-21,2018-09-27,2018,9
74,Zedd & Elley Duhé,Happy Now,Umgri,9,64,2018-09-21,2018-09-27,2018,9
75,Eno,Penthouse,Alles Oder Nix Records,14,30,2018-09-21,2018-09-27,2018,9
76,Eminem,The Ringer,Interscope,3,21,2018-09-21,2018-09-27,2018,9
77,PA Sports,30 km/h,Universal Domestic Vertigo,1,77,2018-09-21,2018-09-27,2018,9
78,Loredana,Sonnenbrille,Loredana,13,12,2018-09-21,2018-09-27,2018,9
79,Die Fantastischen Vier feat. Clueso,Zusammen,Columbia Domestic,26,2,2018-09-21,2018-09-27,2018,9
80,Bausa,Was du Liebe nennst,Warner Music Germany,51,1,2018-09-21,2018-09-27,2018,9
81,Silk City & Dua Lipa feat. Diplo & Mark Ronson,Electricity,Columbia,2,64,2018-09-21,2018-09-27,2018,9
82,Capital Bra,Berlin lebt,Team Kuku,15,1,2018-09-21,2018-09-27,2018,9
83,Ariana Grande,God Is A Woman,Universal,10,20,2018-09-21,2018-09-27,2018,9
84,Eli,Change Your Mind,Prime Entertainment Records,23,14,2018-09-21,2018-09-27,2018,9
85,XXXTentacion,Sad!,Bad Vibes Forever,22,12,2018-09-21,2018-09-27,2018,9
86,Noizy feat. RAF Camora,Toto,Warner Music Germany,14,18,2018-09-21,2018-09-27,2018,9
87,Bazzi,Beautiful,Atlantic,5,79,2018-09-21,2018-09-27,2018,9
88,Capital Bra feat. King Khalil,Kennzeichen B-TK,Team Kuku,13,4,2018-09-21,2018-09-27,2018,9
89,Travis Scott,Sicko Mode,Epic,7,43,2018-09-21,2018-09-27,2018,9
90,Martin Garrix & Justin Mylo feat. Dewain Whitmore,Burn Out,Epic,1,90,2018-09-21,2018-09-27,2018,9
91,Bebe Rexha,I'm A Mess,Warner Music International,5,86,2018-09-21,2018-09-27,2018,9
92,Alligatoah,Ein Problem mit Alkohol,Trailerpark,1,92,2018-09-21,2018-09-27,2018,9
93,Alligatoah feat. Felix Brummer,Beinebrechen,Trailerpark,1,93,2018-09-21,2018-09-27,2018,9
94,Ed Sheeran,Shape Of You,Atlantic,88,1,2018-09-21,2018-09-27,2018,9
95,Ariana Grande,No Tears Left To Cry,Universal,22,2,2018-09-21,2018-09-27,2018,9
96,Olexesh feat. Edin,Magisch,385ideal,30,1,2018-09-21,2018-09-27,2018,9
97,Marshmello & Anne-Marie,Friends,Atlantic,31,1,2018-09-21,2018-09-27,2018,9
98,Ufo361,40K,Stay High,6,13,2018-09-21,2018-09-27,2018,9
99,Ariana Grande,Breathin,Universal,5,35,2018-09-21,2018-09-27,2018,9
