current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,Shawn Mendes & Camila Cabello,Señorita,Island,6,1,2019-08-02,2019-08-08,2019,8
2,Ufo361 feat. RAF Camora,Nummer,Stay High,1,2,2019-08-02,2019-08-08,2019,8
3,Lil Nas X,Old Town Road,SME - Columbia,18,1,2019-08-02,2019-08-08,2019,8
4,Meduza feat. Goodboys,Piece Of Your Heart,Virgin Records,13,4,2019-08-02,2019-08-08,2019,8
5,Ed Sheeran & Justin Bieber,I Don't Care,Atlantic,12,2,2019-08-02,2019-08-08,2019,8
6,Capital Bra x Samra,Tilidin,Universal Domestic Urban,6,1,2019-08-02,2019-08-08,2019,8
7,Billie Eilish,Bad Guy,Universal,18,4,2019-08-02,2019-08-08,2019,8
8,Ed Sheeran feat. Khalid,Beautiful People,Atlantic,5,8,2019-08-02,2019-08-08,2019,8
9,Loredana,Jetzt rufst du an,Loredana,4,2,2019-08-02,2019-08-08,2019,8
10,DJ Snake & J Balvin feat. Tyga,Loco contigo,Geffen Records,7,10,2019-08-02,2019-08-08,2019,8
11,Mero,Mein Kopf,Groove Attack TraX,1,11,2019-08-02,2019-08-08,2019,8
12,Sarah Connor,Vincent,Universal Domestic Polydor,17,9,2019-08-02,2019-08-08,2019,8
13,Samra x Capital Bra,Zombie,Universal Domestic Urban,3,1,2019-08-02,2019-08-08,2019,8
14,KC Rebell & RAF Camora,Neptun,Rebell Army,2,2,2019-08-02,2019-08-08,2019,8
15,Juju feat. Henning May,Vermissen,Jinx Music,13,1,2019-08-02,2019-08-08,2019,8
16,Azet,Money Money,KMN Gang,1,16,2019-08-02,2019-08-08,2019,8
17,Younotus & Janieck & Senex,Narcotic,SME - B1 Recordings,8,17,2019-08-02,2019-08-08,2019,8
18,Samra & Capital Bra,Wieder Lila,Universal Domestic Urban,11,1,2019-08-02,2019-08-08,2019,8
19,Shirin David feat. Maître Gims,On Off,Shirin David Music,5,3,2019-08-02,2019-08-08,2019,8
20,Luciano [DE],Im Film,Universal Domestic Urban,2,12,2019-08-02,2019-08-08,2019,8
21,Katja Krasavice,Gucci Girl,Katja Krasavice,1,21,2019-08-02,2019-08-08,2019,8
22,Summer Cem feat. Capital Bra,Diamonds,Banger Musik,7,3,2019-08-02,2019-08-08,2019,8
23,Summer Cem feat. Elias,Bayram,Banger Musik,1,23,2019-08-02,2019-08-08,2019,8
24,Ufo361 feat. Gunna,On Time,Stay High,2,10,2019-08-02,2019-08-08,2019,8
25,Daddy Yankee feat. Snow,Con calma,Universal,24,6,2019-08-02,2019-08-08,2019,8
26,Robin Schulz feat. Harlœ,All This Love,Warner Music Germany,12,26,2019-08-02,2019-08-08,2019,8
27,Post Malone feat. Young Thug,Goodbyes,Republic Records,4,16,2019-08-02,2019-08-08,2019,8
28,Vize feat. Laniia,Stars,Kontor Records,6,28,2019-08-02,2019-08-08,2019,8
29,Kygo x Whitney Houston,Higher Love,SME - RCA International,5,29,2019-08-02,2019-08-08,2019,8
30,Sido feat. Luciano,Energie,Universal Domestic Urban,3,10,2019-08-02,2019-08-08,2019,8
31,OneRepublic,Rescue Me,Interscope,11,24,2019-08-02,2019-08-08,2019,8
32,Summer Cem x Gringo,Yallah Goodbye,Banger Musik,4,5,2019-08-02,2019-08-08,2019,8
33,Ufo361 feat. Data Luv,Shot,Stay High,5,4,2019-08-02,2019-08-08,2019,8
34,AK Ausserkontrolle,Berlin,XY Records,1,34,2019-08-02,2019-08-08,2019,8
35,Shindy,Raffaello,SME - Friends With Money,3,4,2019-08-02,2019-08-08,2019,8
36,Pedro Capó,Calma,SME - Sony Music,9,33,2019-08-02,2019-08-08,2019,8
37,R3hab x A Touch Of Class,All Around The World (La La La),Virgin Records,9,29,2019-08-02,2019-08-08,2019,8
38,Lewis Capaldi,Someone You Loved,Universal Domestic Vertigo,26,18,2019-08-02,2019-08-08,2019,8
39,Bausa,Mary,Warner Music Germany,18,8,2019-08-02,2019-08-08,2019,8
40,Martin Garrix feat. Macklemore & Patrick Stump of Fall Out Boy,Summer Days,SME - Epic,13,24,2019-08-02,2019-08-08,2019,8
41,Dardan,Kadale,Universal Domestic Urban,2,23,2019-08-02,2019-08-08,2019,8
42,Seeed,Lass sie gehn,BMG,1,42,2019-08-02,2019-08-08,2019,8
43,Mabel [UK],Don't Call Me Up,Polydor,24,10,2019-08-02,2019-08-08,2019,8
44,Sam Smith,How Do You Sleep?,Capitol,2,44,2019-08-02,2019-08-08,2019,8
45,The Chainsmokers & Illenium feat. Lennon Stella,Takeaway,SME - Disruptor Records,1,45,2019-08-02,2019-08-08,2019,8
