current_rank,artist,title,label,in_charts,peak,weekbegin,weekend,year,month
1,The Weeknd,Blinding Lights,Republic Records,14,1,2020-03-06,2020-03-12,2020,3
2,Apache 207,Matrix,SME - Two Sides,2,2,2020-03-06,2020-03-12,2020,3
3,Capital Bra & Samra,100k Cash,Urban,1,3,2020-03-06,2020-03-12,2020,3
4,Topic feat. A7S,Breaking Me,Virgin Records,9,4,2020-03-06,2020-03-12,2020,3
5,Dardan,D A YYY T O N A,Hypnotize Entertainment,1,5,2020-03-06,2020-03-12,2020,3
6,Apache 207,Roller,SME - Two Sides,28,1,2020-03-06,2020-03-12,2020,3
7,Joker Bra & Vize,Baby,Urban,5,1,2020-03-06,2020-03-12,2020,3
8,Tones And I,Dance Monkey,Bad Batch Records,30,1,2020-03-06,2020-03-12,2020,3
9,Luciano [DE],Mios mit Bars,Urban,3,2,2020-03-06,2020-03-12,2020,3
10,Azet x Dhurata Dora,Lass los,Dora,1,10,2020-03-06,2020-03-12,2020,3
11,Robin Schulz feat. Alida,In Your Eyes,Warner Music Germany,8,11,2020-03-06,2020-03-12,2020,3
12,SAINt JHN,Roses (Imanbek Remix),B1 Recordings,14,12,2020-03-06,2020-03-12,2020,3
13,Ufo361,Rich Rich,Stay High,2,2,2020-03-06,2020-03-12,2020,3
14,Juju x Loredana,Kein Wort,Jinx Music,7,1,2020-03-06,2020-03-12,2020,3
15,Capo,Karakol,Warner Music Germany,1,15,2020-03-06,2020-03-12,2020,3
16,Samra,Weiss,Urban,4,3,2020-03-06,2020-03-12,2020,3
17,Samra,SchÃ¼sse im Regen,Urban,2,3,2020-03-06,2020-03-12,2020,3
18,Roddy Ricch,The Box,Atlantic,9,13,2020-03-06,2020-03-12,2020,3
19,Ufo361 x Bausa x The Cratez,Schlafen,SME - RBK,1,19,2020-03-06,2020-03-12,2020,3
20,Regard,Ride It,B1 Recordings,24,4,2020-03-06,2020-03-12,2020,3
21,Lady Gaga,Stupid Love,Interscope,1,21,2020-03-06,2020-03-12,2020,3
